ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
PER,5,17,-70.53171957,-11.97269888,-74.08343953,-14.09164833,549.5355445
PER,5,18,-70.83904631,-16.86027059,-74.08343953,-14.09164833,553.4621615
PER,5,19,-75.30763472,-10.39655007,-74.08343953,-14.09164833,550.2549516
PER,5,20,-80.33586071,-5.13336099,-74.08343953,-14.09164833,411.1799338
PER,5,21,-69.95307962,-14.93333917,-74.08343953,-14.09164833,548.6108592
PER,5,22,-76.72912743,-7.039530615,-74.08343953,-14.09164833,326.9427127
PER,5,23,-70.27755984,-17.64416077,-74.08343953,-14.09164833,461.235923
PER,5,24,-80.54525512,-3.857496081,-74.08343953,-14.09164833,172.4839964
PER,5,25,-73.44492865,-9.621717782,-74.08343953,-14.09164833,465.3429896
PER,6,1,-78.05017218,-5.077252864,-78.74559581,-6.430283524,2295.918671
PER,6,2,-77.67179525,-9.40712495,-78.74559581,-6.430283524,1959.160128
PER,6,3,-72.97537807,-14.02771348,-78.74559581,-6.430283524,748.433141
PER,6,4,-72.4755394,-15.84352375,-78.74559581,-6.430283524,656.2470407
PER,6,5,-74.08343953,-14.09164833,-78.74559581,-6.430283524,809.3389401
PER,6,7,-69.75730774,-15.68030893,-78.74559581,-6.430283524,644.2140428
PER,6,8,-72.15360886,-13.19106821,-78.74559581,-6.430283524,816.4724926
PER,6,9,-75.00276985,-13.02388758,-78.74559581,-6.430283524,891.0249269
PER,6,10,-76.04064201,-9.421675603,-78.74559581,-6.430283524,1483.158487
PER,6,11,-75.57482117,-14.23509723,-78.74559581,-6.430283524,878.9111651
PER,6,12,-74.87696792,-11.54178273,-78.74559581,-6.430283524,1079.519488
PER,6,13,-78.37023831,-7.92139022,-78.74559581,-6.430283524,2361.951217
PER,6,14,-79.82411326,-6.353049181,-78.74559581,-6.430283524,2367.516685
PER,6,15,-76.62769784,-11.78596373,-78.74559581,-6.430283524,3716.910714
PER,6,16,-74.42411546,-4.124846854,-78.74559581,-6.430283524,1166.451715
PER,6,17,-70.53171957,-11.97269888,-78.74559581,-6.430283524,565.9328695
PER,6,18,-70.83904631,-16.86027059,-78.74559581,-6.430283524,376.0912797
PER,6,19,-75.30763472,-10.39655007,-78.74559581,-6.430283524,1039.596344
PER,6,20,-80.33586071,-5.13336099,-78.74559581,-6.430283524,3131.365131
PER,6,21,-69.95307962,-14.93333917,-78.74559581,-6.430283524,414.6649396
PER,6,22,-76.72912743,-7.039530615,-78.74559581,-6.430283524,1559.498597
PER,6,23,-70.27755984,-17.64416077,-78.74559581,-6.430283524,312.3664511
PER,6,24,-80.54525512,-3.857496081,-78.74559581,-6.430283524,1355.218468
PER,6,25,-73.44492865,-9.621717782,-78.74559581,-6.430283524,857.7532281
PER,7,1,-78.05017218,-5.077252864,-69.75730774,-15.68030893,292.6741124
PER,7,2,-77.67179525,-9.40712495,-69.75730774,-15.68030893,498.886099
PER,7,3,-72.97537807,-14.02771348,-69.75730774,-15.68030893,1078.044235
PER,7,4,-72.4755394,-15.84352375,-69.75730774,-15.68030893,1360.398203
