ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
GUF,1,2,-52.79487042,2.84350138,-53.319927,5.271849603,2.410278906
GUF,1,3,-52.79487042,2.84350138,-52.76907504,4.934979474,32.35112761
GUF,1,4,-52.79487042,2.84350138,-52.51352494,4.980039544,12.29765047
GUF,1,5,-52.79487042,2.84350138,-52.34020071,4.830764229,36.36433768
GUF,1,6,-52.79487042,2.84350138,-52.50897388,4.807916397,2.877459853
GUF,1,7,-52.79487042,2.84350138,-51.8101835,4.192937925,0.206962194
GUF,1,8,-52.79487042,2.84350138,-52.52391055,3.938725912,1.284541624
GUF,1,9,-52.79487042,2.84350138,-52.28893283,4.896766038,95.52922554
GUF,1,10,-52.79487042,2.84350138,-52.51012275,4.465489682,3.580243473
GUF,1,11,-52.79487042,2.84350138,-53.10094035,4.526404386,1.163643943
GUF,1,12,-52.79487042,2.84350138,-52.12654829,3.749628596,5.951527283
GUF,1,13,-52.79487042,2.84350138,-53.01195307,5.229058879,3.957304291
GUF,1,14,-52.79487042,2.84350138,-54.27019189,4.837609967,8.042001584
GUF,1,15,-52.79487042,2.84350138,-53.91459937,5.685149529,1.452677408
GUF,1,16,-52.79487042,2.84350138,-54.17181247,4.386009202,6.417827192
GUF,1,17,-52.79487042,2.84350138,-53.64961077,4.988266414,11.10443344
GUF,1,18,-52.79487042,2.84350138,-53.75069916,2.981851692,12.47530695
GUF,1,19,-52.79487042,2.84350138,-54.0437054,4.042426645,6.36041217
GUF,1,20,-52.79487042,2.84350138,-53.9837053,4.967412704,46.18757603
GUF,1,21,-52.79487042,2.84350138,-53.40299754,3.923469375,0.35801125
GUF,2,1,-53.319927,5.271849603,-52.79487042,2.84350138,1.505698548
GUF,2,3,-53.319927,5.271849603,-52.76907504,4.934979474,29.97665283
GUF,2,4,-53.319927,5.271849603,-52.51352494,4.980039544,11.1649901
GUF,2,5,-53.319927,5.271849603,-52.34020071,4.830764229,31.54357027
GUF,2,6,-53.319927,5.271849603,-52.50897388,4.807916397,2.525844511
GUF,2,7,-53.319927,5.271849603,-51.8101835,4.192937925,0.153462692
GUF,2,8,-53.319927,5.271849603,-52.52391055,3.938725912,0.921677286
GUF,2,9,-53.319927,5.271849603,-52.28893283,4.896766038,83.47135638
