ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
SLV,1,2,-89.50516127,14.11760513,-89.90191115,13.85753791,667.8735373
SLV,1,3,-89.68425638,13.69417285,-89.90191115,13.85753791,657.4020197
SLV,1,4,-89.07460249,14.13117611,-89.90191115,13.85753791,543.2821986
SLV,1,5,-89.36265532,13.7042149,-89.90191115,13.85753791,618.387351
SLV,1,6,-89.1654302,13.76328557,-89.90191115,13.85753791,1526.671471
SLV,1,7,-89.02002293,13.83559499,-89.90191115,13.85753791,499.9539705
SLV,1,8,-88.96411666,13.47524392,-89.90191115,13.85753791,481.3830736
SLV,1,9,-88.70883855,13.87702643,-89.90191115,13.85753791,450.5428592
SLV,1,10,-88.72111079,13.60134505,-89.90191115,13.85753791,430.9631992
SLV,1,11,-88.49040234,13.38213829,-89.90191115,13.85753791,413.2484942
SLV,1,12,-88.25469007,13.53607609,-89.90191115,13.85753791,420.1923989
SLV,1,13,-88.1067483,13.7664523,-89.90191115,13.85753791,357.0252143
SLV,1,14,-87.88939811,13.52314037,-89.90191115,13.85753791,337.6669829
SLV,2,1,-89.90191115,13.85753791,-89.50516127,14.11760513,1020.383137
SLV,2,3,-89.68425638,13.69417285,-89.50516127,14.11760513,1051.011405
SLV,2,4,-89.07460249,14.13117611,-89.50516127,14.11760513,945.731006
SLV,2,5,-89.36265532,13.7042149,-89.50516127,14.11760513,1030.402412
SLV,2,6,-89.1654302,13.76328557,-89.50516127,14.11760513,2588.452717
SLV,2,7,-89.02002293,13.83559499,-89.50516127,14.11760513,855.92367
SLV,2,8,-88.96411666,13.47524392,-89.50516127,14.11760513,807.4940046
SLV,2,9,-88.70883855,13.87702643,-89.50516127,14.11760513,775.6993298
SLV,2,10,-88.72111079,13.60134505,-89.50516127,14.11760513,756.0904942
SLV,2,11,-88.49040234,13.38213829,-89.50516127,14.11760513,699.2739126
SLV,2,12,-88.25469007,13.53607609,-89.50516127,14.11760513,717.2568583
SLV,2,13,-88.1067483,13.7664523,-89.50516127,14.11760513,614.2411993
SLV,2,14,-87.88939811,13.52314037,-89.50516127,14.11760513,577.9551594
SLV,3,1,-89.90191115,13.85753791,-89.68425638,13.69417285,870.6163221
SLV,3,2,-89.50516127,14.11760513,-89.68425638,13.69417285,884.7238173
SLV,3,4,-89.07460249,14.13117611,-89.68425638,13.69417285,751.8790899
SLV,3,5,-89.36265532,13.7042149,-89.68425638,13.69417285,869.9816875
SLV,3,6,-89.1654302,13.76328557,-89.68425638,13.69417285,2141.728239
SLV,3,7,-89.02002293,13.83559499,-89.68425638,13.69417285,699.8365636
SLV,3,8,-88.96411666,13.47524392,-89.68425638,13.69417285,679.2411434
SLV,3,9,-88.70883855,13.87702643,-89.68425638,13.69417285,630.4658553
SLV,3,10,-88.72111079,13.60134505,-89.68425638,13.69417285,625.9036604
SLV,3,11,-88.49040234,13.38213829,-89.68425638,13.69417285,601.4186691
SLV,3,12,-88.25469007,13.53607609,-89.68425638,13.69417285,610.1956306
SLV,3,13,-88.1067483,13.7664523,-89.68425638,13.69417285,516.8880703
SLV,3,14,-87.88939811,13.52314037,-89.68425638,13.69417285,474.9145275
SLV,4,1,-89.90191115,13.85753791,-89.07460249,14.13117611,359.6259353
SLV,4,2,-89.50516127,14.11760513,-89.07460249,14.13117611,397.9180495
SLV,4,3,-89.68425638,13.69417285,-89.07460249,14.13117611,364.9651255
SLV,4,5,-89.36265532,13.7042149,-89.07460249,14.13117611,367.1698303
SLV,4,6,-89.1654302,13.76328557,-89.07460249,14.13117611,945.6297651
SLV,4,7,-89.02002293,13.83559499,-89.07460249,14.13117611,318.9067594
SLV,4,8,-88.96411666,13.47524392,-89.07460249,14.13117611,297.4356846
SLV,4,9,-88.70883855,13.87702643,-89.07460249,14.13117611,293.9852281
SLV,4,10,-88.72111079,13.60134505,-89.07460249,14.13117611,283.2691033
SLV,4,11,-88.49040234,13.38213829,-89.07460249,14.13117611,270.4484129
