ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
BRA,11,12,-70.44666618,-9.309916736,-62.85654951,-10.89856477,1844.529868
BRA,11,13,-64.69348645,-4.192629778,-62.85654951,-10.89856477,2432.444451
BRA,11,14,-61.39801946,2.084692212,-62.85654951,-10.89856477,667.2660873
BRA,11,15,-53.06252533,-3.973380319,-62.85654951,-10.89856477,962.3116064
BRA,11,16,-51.96103309,1.440043429,-62.85654951,-10.89856477,429.2338444
BRA,11,17,-48.3300012,-10.15018372,-62.85654951,-10.89856477,478.7285045
BRA,11,21,-45.28740689,-5.068699304,-62.85654951,-10.89856477,331.1466933
BRA,11,22,-42.96912486,-7.384484438,-62.85654951,-10.89856477,248.1005606
BRA,11,23,-39.6179021,-5.091464291,-62.85654951,-10.89856477,208.6879982
BRA,11,24,-36.68216571,-5.84698535,-62.85654951,-10.89856477,109.173441
BRA,11,25,-36.87254734,-7.142568559,-62.85654951,-10.89856477,116.5899966
BRA,11,26,-37.99888227,-8.326044243,-62.85654951,-10.89856477,190.2459617
BRA,11,27,-36.62319562,-9.515553614,-62.85654951,-10.89856477,107.2628073
BRA,11,28,-37.44606645,-10.59088956,-62.85654951,-10.89856477,122.3509827
BRA,11,29,-41.73007713,-12.47331113,-62.85654951,-10.89856477,322.2275708
BRA,11,31,-44.65770348,-18.45798563,-62.85654951,-10.89856477,1162.784564
BRA,11,32,-40.66114896,-19.64267182,-62.85654951,-10.89856477,195.6755533
BRA,11,33,-42.66135386,-22.19491892,-62.85654951,-10.89856477,453.5987539
BRA,11,35,-48.73276064,-22.26541286,-62.85654951,-10.89856477,4023.095773
BRA,11,41,-51.62375032,-24.6368312,-62.85654951,-10.89856477,595.3890675
BRA,11,42,-50.46626651,-27.25191559,-62.85654951,-10.89856477,306.8956675
BRA,11,43,-53.31683674,-29.7378389,-62.85654951,-10.89856477,364.2309421
BRA,11,50,-54.84547026,-20.32589839,-62.85654951,-10.89856477,892.3913004
BRA,11,51,-55.91920097,-12.94959988,-62.85654951,-10.89856477,1384.174722
BRA,11,52,-49.62332081,-16.04442885,-62.85654951,-10.89856477,764.9660837
BRA,11,53,-47.79722597,-15.78111952,-62.85654951,-10.89856477,555.4840626
BRA,12,11,-62.85654951,-10.89856477,-70.44666618,-9.309916736,1439.018134
BRA,12,13,-64.69348645,-4.192629778,-70.44666618,-9.309916736,1552.319594
BRA,12,14,-61.39801946,2.084692212,-70.44666618,-9.309916736,384.1091664
BRA,12,15,-53.06252533,-3.973380319,-70.44666618,-9.309916736,295.8506137
BRA,12,16,-51.96103309,1.440043429,-70.44666618,-9.309916736,156.4032725
BRA,12,17,-48.3300012,-10.15018372,-70.44666618,-9.309916736,120.2510458
BRA,12,21,-45.28740689,-5.068699304,-70.44666618,-9.309916736,89.52587277
BRA,12,22,-42.96912486,-7.384484438,-70.44666618,-9.309916736,64.06486903
BRA,12,23,-39.6179021,-5.091464291,-70.44666618,-9.309916736,55.11333991
BRA,12,24,-36.68216571,-5.84698535,-70.44666618,-9.309916736,28.35189529
BRA,12,25,-36.87254734,-7.142568559,-70.44666618,-9.309916736,29.88052773
BRA,12,26,-37.99888227,-8.326044243,-70.44666618,-9.309916736,48.28741474
BRA,12,27,-36.62319562,-9.515553614,-70.44666618,-9.309916736,26.9478783
BRA,12,28,-37.44606645,-10.59088956,-70.44666618,-9.309916736,30.54196901
BRA,12,29,-41.73007713,-12.47331113,-70.44666618,-9.309916736,79.75201444
BRA,12,31,-44.65770348,-18.45798563,-70.44666618,-9.309916736,293.6783176
BRA,12,32,-40.66114896,-19.64267182,-70.44666618,-9.309916736,49.39183256
BRA,12,33,-42.66135386,-22.19491892,-70.44666618,-9.309916736,118.391422
BRA,12,35,-48.73276064,-22.26541286,-70.44666618,-9.309916736,1102.986227
BRA,12,41,-51.62375032,-24.6368312,-70.44666618,-9.309916736,179.1112978
BRA,12,42,-50.46626651,-27.25191559,-70.44666618,-9.309916736,95.50129802
BRA,12,43,-53.31683674,-29.7378389,-70.44666618,-9.309916736,126.9104993
BRA,12,50,-54.84547026,-20.32589839,-70.44666618,-9.309916736,258.2998071
BRA,12,51,-55.91920097,-12.94959988,-70.44666618,-9.309916736,342.7586053
BRA,12,52,-49.62332081,-16.04442885,-70.44666618,-9.309916736,191.6362079
BRA,12,53,-47.79722597,-15.78111952,-70.44666618,-9.309916736,138.2511878
BRA,13,11,-62.85654951,-10.89856477,-64.69348645,-4.192629778,5153.398208
BRA,13,12,-70.44666618,-9.309916736,-64.69348645,-4.192629778,4087.055213
BRA,13,14,-61.39801946,2.084692212,-64.69348645,-4.192629778,3400.214782
BRA,13,15,-53.06252533,-3.973380319,-64.69348645,-4.192629778,2292.847444
BRA,13,16,-51.96103309,1.440043429,-64.69348645,-4.192629778,1378.79134
BRA,13,17,-48.3300012,-10.15018372,-64.69348645,-4.192629778,727.386511
BRA,13,21,-45.28740689,-5.068699304,-64.69348645,-4.192629778,657.3072088
BRA,13,22,-42.96912486,-7.384484438,-64.69348645,-4.192629778,436.7782618
BRA,13,23,-39.6179021,-5.091464291,-64.69348645,-4.192629778,399.4905686
BRA,13,24,-36.68216571,-5.84698535,-64.69348645,-4.192629778,200.8195435
BRA,13,25,-36.87254734,-7.142568559,-64.69348645,-4.192629778,205.0360532
BRA,13,26,-37.99888227,-8.326044243,-64.69348645,-4.192629778,321.1549493
BRA,13,27,-36.62319562,-9.515553614,-64.69348645,-4.192629778,173.8043787
