ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
PAN,1,2,-82.57931628,9.214783267,-82.398494,8.489045377,581.3192883
PAN,1,3,-82.57931628,9.214783267,-80.42621768,8.557446027,264.8096726
PAN,1,4,-82.57931628,9.214783267,-80.01406582,9.189316251,261.9614998
PAN,1,5,-82.57931628,9.214783267,-77.9158002,8.170134327,38.59425438
PAN,1,6,-82.57931628,9.214783267,-77.76504709,8.232835672,43.44440218
PAN,1,7,-82.57931628,9.214783267,-80.70050975,7.854820913,121.8005744
PAN,1,8,-82.57931628,9.214783267,-78.31549502,9.174796187,0
PAN,1,9,-82.57931628,9.214783267,-80.39270222,7.582484127,93.2598797
PAN,1,10,-82.57931628,9.214783267,-81.77034764,8.658102486,206.4753526
PAN,1,11,-82.57931628,9.214783267,-79.12259026,9.004058643,1611.412746
PAN,1,12,-82.57931628,9.214783267,-81.13151401,8.091252215,264.6245402
PAN,2,1,-82.398494,8.489045377,-82.57931628,9.214783267,206.7653627
PAN,2,3,-82.398494,8.489045377,-80.42621768,8.557446027,325.1928139
PAN,2,4,-82.398494,8.489045377,-80.01406582,9.189316251,313.0562038
PAN,2,5,-82.398494,8.489045377,-77.9158002,8.170134327,47.43110288
PAN,2,6,-82.398494,8.489045377,-77.76504709,8.232835672,53.29593945
PAN,2,7,-82.398494,8.489045377,-80.70050975,7.854820913,154.3593555
PAN,2,8,-82.398494,8.489045377,-78.31549502,9.174796187,0
PAN,2,9,-82.398494,8.489045377,-80.39270222,7.582484127,118.5238974
PAN,2,10,-82.398494,8.489045377,-81.77034764,8.658102486,255.4675577
PAN,2,11,-82.398494,8.489045377,-79.12259026,9.004058643,1943.310203
PAN,2,12,-82.398494,8.489045377,-81.13151401,8.091252215,335.2746487
PAN,3,1,-80.42621768,8.557446027,-82.57931628,9.214783267,163.1757617
PAN,3,2,-80.42621768,8.557446027,-82.398494,8.489045377,561.6026926
PAN,3,4,-80.42621768,8.557446027,-80.01406582,9.189316251,383.2901067
PAN,3,5,-80.42621768,8.557446027,-77.9158002,8.170134327,59.90274622
PAN,3,6,-80.42621768,8.557446027,-77.76504709,8.232835672,67.35195403
PAN,3,7,-80.42621768,8.557446027,-80.70050975,7.854820913,172.5202306
PAN,3,8,-80.42621768,8.557446027,-78.31549502,9.174796187,0
PAN,3,9,-80.42621768,8.557446027,-80.39270222,7.582484127,135.5236527
PAN,3,10,-80.42621768,8.557446027,-81.77034764,8.658102486,224.8659169
PAN,3,11,-80.42621768,8.557446027,-79.12259026,9.004058643,2448.126531
PAN,3,12,-80.42621768,8.557446027,-81.13151401,8.091252215,346.4950451
PAN,4,1,-80.01406582,9.189316251,-82.57931628,9.214783267,146.5457863
PAN,4,2,-80.01406582,9.189316251,-82.398494,8.489045377,490.8177933
PAN,4,3,-80.01406582,9.189316251,-80.42621768,8.557446027,346.8942301
PAN,4,5,-80.01406582,9.189316251,-77.9158002,8.170134327,57.72912845
PAN,4,6,-80.01406582,9.189316251,-77.76504709,8.232835672,65.17369639
PAN,4,7,-80.01406582,9.189316251,-80.70050975,7.854820913,145.9703125
PAN,4,8,-80.01406582,9.189316251,-78.31549502,9.174796187,0
PAN,4,9,-80.01406582,9.189316251,-80.39270222,7.582484127,115.776079
PAN,4,10,-80.01406582,9.189316251,-81.77034764,8.658102486,197.1822621
PAN,4,11,-80.01406582,9.189316251,-79.12259026,9.004058643,2444.638452
PAN,4,12,-80.01406582,9.189316251,-81.13151401,8.091252215,294.1997801
PAN,5,1,-77.9158002,8.170134327,-82.57931628,9.214783267,101.7559586
PAN,5,2,-77.9158002,8.170134327,-82.398494,8.489045377,350.462274
PAN,5,3,-77.9158002,8.170134327,-80.42621768,8.557446027,255.5087395
PAN,5,4,-77.9158002,8.170134327,-80.01406582,9.189316251,271.2339811
PAN,5,6,-77.9158002,8.170134327,-77.76504709,8.232835672,83.48039711
PAN,5,7,-77.9158002,8.170134327,-80.70050975,7.854820913,114.8463326
PAN,5,8,-77.9158002,8.170134327,-78.31549502,9.174796187,0
PAN,5,9,-77.9158002,8.170134327,-80.39270222,7.582484127,96.29264044
PAN,5,10,-77.9158002,8.170134327,-81.77034764,8.658102486,140.0213543
PAN,5,11,-77.9158002,8.170134327,-79.12259026,9.004058643,2127.492222
PAN,5,12,-77.9158002,8.170134327,-81.13151401,8.091252215,220.7001072
PAN,6,1,-77.76504709,8.232835672,-82.57931628,9.214783267,122.6359432
PAN,6,2,-77.76504709,8.232835672,-82.398494,8.489045377,421.6563805
