ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
GTM,1,2,-90.13243637,15.63553327,-90.3710782,15.10119718,673.3919524
GTM,1,3,-90.13243637,15.63553327,-90.92037503,14.69391258,946.3345542
GTM,1,4,-90.13243637,15.63553327,-89.41827525,14.6901145,562.7636643
GTM,1,5,-90.13243637,15.63553327,-90.08054763,14.89484082,386.6448122
GTM,1,6,-90.13243637,15.63553327,-90.99640772,14.16376911,1074.527281
GTM,1,7,-90.13243637,15.63553327,-90.48779733,14.62976735,4796.16924
GTM,1,8,-90.13243637,15.63553327,-91.54556455,15.65936746,1831.960617
GTM,1,9,-90.13243637,15.63553327,-89.03859295,15.55097289,683.2428756
GTM,1,10,-90.13243637,15.63553327,-89.94503544,14.62016411,481.7018956
GTM,1,11,-90.13243637,15.63553327,-89.89224635,14.21148354,632.7872058
GTM,1,12,-90.13243637,15.63553327,-90.01503014,16.9735673,967.4283325
GTM,1,13,-90.13243637,15.63553327,-91.71413083,14.78749072,1105.852001
GTM,1,14,-90.13243637,15.63553327,-90.93634274,15.43250294,1508.208721
GTM,1,15,-90.13243637,15.63553327,-91.78942619,14.41869354,438.8762734
GTM,1,16,-90.13243637,15.63553327,-90.74148206,14.55277043,547.8880929
GTM,1,17,-90.13243637,15.63553327,-91.93232156,15.01935358,1256.377619
GTM,1,18,-90.13243637,15.63553327,-90.3339631,14.1669681,504.7303475
GTM,1,19,-90.13243637,15.63553327,-91.25894678,14.71662228,655.897371
GTM,1,20,-90.13243637,15.63553327,-91.40865742,14.40343665,760.9875337
GTM,1,21,-90.13243637,15.63553327,-91.37723643,15.01312356,703.2313791
GTM,1,22,-90.13243637,15.63553327,-89.50699998,15.0352529,549.3812344
GTM,2,1,-90.3710782,15.10119718,-90.13243637,15.63553327,1286.411354
GTM,2,3,-90.3710782,15.10119718,-90.92037503,14.69391258,719.6014351
GTM,2,4,-90.3710782,15.10119718,-89.41827525,14.6901145,406.0962574
GTM,2,5,-90.3710782,15.10119718,-90.08054763,14.89484082,288.1517011
GTM,2,6,-90.3710782,15.10119718,-90.99640772,14.16376911,821.0087915
GTM,2,7,-90.3710782,15.10119718,-90.48779733,14.62976735,3665.490051
GTM,2,8,-90.3710782,15.10119718,-91.54556455,15.65936746,1311.442365
GTM,2,9,-90.3710782,15.10119718,-89.03859295,15.55097289,462.6738911
GTM,2,10,-90.3710782,15.10119718,-89.94503544,14.62016411,359.0974506
GTM,2,11,-90.3710782,15.10119718,-89.89224635,14.21148354,474.4350384
GTM,2,12,-90.3710782,15.10119718,-90.01503014,16.9735673,632.6038143
GTM,2,13,-90.3710782,15.10119718,-91.71413083,14.78749072,826.0306066
GTM,2,14,-90.3710782,15.10119718,-90.93634274,15.43250294,1089.179909
GTM,2,15,-90.3710782,15.10119718,-91.78942619,14.41869354,330.8489619
GTM,2,16,-90.3710782,15.10119718,-90.74148206,14.55277043,418.6766196
GTM,2,17,-90.3710782,15.10119718,-91.93232156,15.01935358,928.4298511
GTM,2,18,-90.3710782,15.10119718,-90.3339631,14.1669681,384.0573204
GTM,2,19,-90.3710782,15.10119718,-91.25894678,14.71662228,494.7962609
GTM,2,20,-90.3710782,15.10119718,-91.40865742,14.40343665,577.0078737
GTM,2,21,-90.3710782,15.10119718,-91.37723643,15.01312356,522.8453396
GTM,2,22,-90.3710782,15.10119718,-89.50699998,15.0352529,388.6307019
GTM,3,1,-90.92037503,14.69391258,-90.13243637,15.63553327,1797.764673
GTM,3,2,-90.92037503,14.69391258,-90.3710782,15.10119718,714.9167196
GTM,3,4,-90.92037503,14.69391258,-89.41827525,14.6901145,581.8883514
GTM,3,5,-90.92037503,14.69391258,-90.08054763,14.89484082,410.3120178
GTM,3,6,-90.92037503,14.69391258,-90.99640772,14.16376911,1354.541807
GTM,3,7,-90.92037503,14.69391258,-90.48779733,14.62976735,5629.339127
GTM,3,8,-90.92037503,14.69391258,-91.54556455,15.65936746,2033.438211
GTM,3,9,-90.92037503,14.69391258,-89.03859295,15.55097289,644.9644978
GTM,3,10,-90.92037503,14.69391258,-89.94503544,14.62016411,523.8310188
GTM,3,11,-90.92037503,14.69391258,-89.89224635,14.21148354,712.260111
GTM,3,12,-90.92037503,14.69391258,-90.01503014,16.9735673,895.3970276
GTM,3,13,-90.92037503,14.69391258,-91.71413083,14.78749072,1359.575736
GTM,3,14,-90.92037503,14.69391258,-90.93634274,15.43250294,1637.304797
GTM,3,15,-90.92037503,14.69391258,-91.78942619,14.41869354,550.9114674
GTM,3,16,-90.92037503,14.69391258,-90.74148206,14.55277043,676.6591789
GTM,3,17,-90.92037503,14.69391258,-91.93232156,15.01935358,1511.062904
GTM,3,18,-90.92037503,14.69391258,-90.3339631,14.1669681,597.8633453
GTM,3,19,-90.92037503,14.69391258,-91.25894678,14.71662228,819.9501548
GTM,3,20,-90.92037503,14.69391258,-91.40865742,14.40343665,963.4599396
GTM,3,21,-90.92037503,14.69391258,-91.37723643,15.01312356,845.3379516
GTM,3,22,-90.92037503,14.69391258,-89.50699998,15.0352529,547.2186337
GTM,4,1,-89.41827525,14.6901145,-90.13243637,15.63553327,1527.431196
GTM,4,2,-89.41827525,14.6901145,-90.3710782,15.10119718,576.5569189
GTM,4,3,-89.41827525,14.6901145,-90.92037503,14.69391258,830.6094989
GTM,4,5,-89.41827525,14.6901145,-90.08054763,14.89484082,354.6548821
GTM,4,6,-89.41827525,14.6901145,-90.99640772,14.16376911,985.9098908
GTM,4,7,-89.41827525,14.6901145,-90.48779733,14.62976735,4371.433747
GTM,4,8,-89.41827525,14.6901145,-91.54556455,15.65936746,1469.635669
GTM,4,9,-89.41827525,14.6901145,-89.03859295,15.55097289,631.8850863
GTM,4,10,-89.41827525,14.6901145,-89.94503544,14.62016411,469.7092105
GTM,4,11,-89.41827525,14.6901145,-89.89224635,14.21148354,639.716961
GTM,4,12,-89.41827525,14.6901145,-90.01503014,16.9735673,765.5380368
GTM,4,13,-89.41827525,14.6901145,-91.71413083,14.78749072,940.9603818
GTM,4,14,-89.41827525,14.6901145,-90.93634274,15.43250294,1221.009223
GTM,4,15,-89.41827525,14.6901145,-91.78942619,14.41869354,382.4818213
GTM,4,16,-89.41827525,14.6901145,-90.74148206,14.55277043,493.78212
GTM,4,17,-89.41827525,14.6901145,-91.93232156,15.01935358,1049.738846
GTM,4,18,-89.41827525,14.6901145,-90.3339631,14.1669681,487.6847136
GTM,4,19,-89.41827525,14.6901145,-91.25894678,14.71662228,567.2572274
GTM,4,20,-89.41827525,14.6901145,-91.40865742,14.40343665,671.9288764
GTM,4,21,-89.41827525,14.6901145,-91.37723643,15.01312356,590.922548
GTM,4,22,-89.41827525,14.6901145,-89.50699998,15.0352529,534.5400066
GTM,5,1,-90.08054763,14.89484082,-90.13243637,15.63553327,1432.593027
GTM,5,2,-90.08054763,14.89484082,-90.3710782,15.10119718,558.3449205
GTM,5,3,-90.08054763,14.89484082,-90.92037503,14.69391258,799.6069893
GTM,5,4,-90.08054763,14.89484082,-89.41827525,14.6901145,483.6795826
GTM,5,6,-90.08054763,14.89484082,-90.99640772,14.16376911,930.012477
GTM,5,7,-90.08054763,14.89484082,-90.48779733,14.62976735,4177.026162
GTM,5,8,-90.08054763,14.89484082,-91.54556455,15.65936746,1423.855966
GTM,5,9,-90.08054763,14.89484082,-89.03859295,15.55097289,538.5671089
GTM,5,10,-90.08054763,14.89484082,-89.94503544,14.62016411,427.6465158
GTM,5,11,-90.08054763,14.89484082,-89.89224635,14.21148354,562.4380143
GTM,5,12,-90.08054763,14.89484082,-90.01503014,16.9735673,702.9780388
GTM,5,13,-90.08054763,14.89484082,-91.71413083,14.78749072,908.6963506
GTM,5,14,-90.08054763,14.89484082,-90.93634274,15.43250294,1182.010671
GTM,5,15,-90.08054763,14.89484082,-91.78942619,14.41869354,366.9070492
GTM,5,16,-90.08054763,14.89484082,-90.74148206,14.55277043,471.883172
GTM,5,17,-90.08054763,14.89484082,-91.93232156,15.01935358,1016.385862
GTM,5,18,-90.08054763,14.89484082,-90.3339631,14.1669681,447.2354562
GTM,5,19,-90.08054763,14.89484082,-91.25894678,14.71662228,546.8964807
GTM,5,20,-90.08054763,14.89484082,-91.40865742,14.40343665,642.9490277
GTM,5,21,-90.08054763,14.89484082,-91.37723643,15.01312356,572.4340354
GTM,5,22,-90.08054763,14.89484082,-89.50699998,15.0352529,458.795516
GTM,6,1,-90.99640772,14.16376911,-90.13243637,15.63553327,1251.26166
GTM,6,2,-90.99640772,14.16376911,-90.3710782,15.10119718,500.168164
GTM,6,3,-90.99640772,14.16376911,-90.92037503,14.69391258,829.6124375
GTM,6,4,-90.99640772,14.16376911,-89.41827525,14.6901145,422.6209467
GTM,6,5,-90.99640772,14.16376911,-90.08054763,14.89484082,292.1065543
GTM,6,7,-90.99640772,14.16376911,-90.48779733,14.62976735,4041.843344
GTM,6,8,-90.99640772,14.16376911,-91.54556455,15.65936746,1421.845559
GTM,6,9,-90.99640772,14.16376911,-89.03859295,15.55097289,457.8311255
GTM,6,10,-90.99640772,14.16376911,-89.94503544,14.62016411,380.4910007
GTM,6,11,-90.99640772,14.16376911,-89.89224635,14.21148354,531.9306278
GTM,6,12,-90.99640772,14.16376911,-90.01503014,16.9735673,619.5113564
GTM,6,13,-90.99640772,14.16376911,-91.71413083,14.78749072,988.9725097
GTM,6,14,-90.99640772,14.16376911,-90.93634274,15.43250294,1131.838632
GTM,6,15,-90.99640772,14.16376911,-91.78942619,14.41869354,413.81587
GTM,6,16,-90.99640772,14.16376911,-90.74148206,14.55277043,486.9717539
