ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
HTI,1,2,-74.13162481,18.50858166,-71.98036537,19.0125619,995.8827773
HTI,1,3,-72.56452989,19.33131589,-71.98036537,19.0125619,1368.898007
HTI,1,4,-73.39671161,18.43242078,-71.98036537,19.0125619,967.5484868
HTI,1,5,-71.88761556,19.51162047,-71.98036537,19.0125619,1113.62492
HTI,1,6,-73.03544544,19.82056075,-71.98036537,19.0125619,962.6050946
HTI,1,7,-72.29439494,19.60000956,-71.98036537,19.0125619,1162.297603
HTI,1,8,-72.42591447,18.57889242,-71.98036537,19.0125619,3191.860469
HTI,1,9,-72.3570431,18.25279442,-71.98036537,19.0125619,877.396881
HTI,1,10,-73.72224915,18.28053854,-71.98036537,19.0125619,728.6079593
HTI,2,1,-71.98036537,19.0125619,-74.13162481,18.50858166,626.4867611
HTI,2,3,-72.56452989,19.33131589,-74.13162481,18.50858166,739.5249971
HTI,2,4,-73.39671161,18.43242078,-74.13162481,18.50858166,671.0924183
HTI,2,5,-71.88761556,19.51162047,-74.13162481,18.50858166,565.2555488
HTI,2,6,-73.03544544,19.82056075,-74.13162481,18.50858166,570.2687527
HTI,2,7,-72.29439494,19.60000956,-74.13162481,18.50858166,599.5052001
HTI,2,8,-72.42591447,18.57889242,-74.13162481,18.50858166,1734.796572
HTI,2,9,-72.3570431,18.25279442,-74.13162481,18.50858166,486.4453943
HTI,2,10,-73.72224915,18.28053854,-74.13162481,18.50858166,548.5324968
HTI,3,1,-71.98036537,19.0125619,-72.56452989,19.33131589,2918.861501
HTI,3,2,-74.13162481,18.50858166,-72.56452989,19.33131589,2298.543867
HTI,3,4,-73.39671161,18.43242078,-72.56452989,19.33131589,2283.717926
HTI,3,5,-71.88761556,19.51162047,-72.56452989,19.33131589,2593.558192
HTI,3,6,-73.03544544,19.82056075,-72.56452989,19.33131589,2495.891973
HTI,3,7,-72.29439494,19.60000956,-72.56452989,19.33131589,2877.929022
HTI,3,8,-72.42591447,18.57889242,-72.56452989,19.33131589,7437.053206
HTI,3,9,-72.3570431,18.25279442,-72.56452989,19.33131589,2016.763268
HTI,3,10,-73.72224915,18.28053854,-72.56452989,19.33131589,1805.139921
HTI,4,1,-71.98036537,19.0125619,-73.39671161,18.43242078,777.8276177
HTI,4,2,-74.13162481,18.50858166,-73.39671161,18.43242078,823.0755769
HTI,4,3,-72.56452989,19.33131589,-73.39671161,18.43242078,864.8829343
HTI,4,5,-71.88761556,19.51162047,-73.39671161,18.43242078,694.3185949
HTI,4,6,-73.03544544,19.82056075,-73.39671161,18.43242078,702.0273617
HTI,4,7,-72.29439494,19.60000956,-73.39671161,18.43242078,763.170229
HTI,4,8,-72.42591447,18.57889242,-73.39671161,18.43242078,2264.885047
HTI,4,9,-72.3570431,18.25279442,-73.39671161,18.43242078,637.7424254
