,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
11650,Central Coast (C) (NSW),2016,"99,032",6.4
11650,Central Coast (C) (NSW),2017,"101,296",-
11700,Central Darling (A),2011,-,3.4
11700,Central Darling (A),2013,324,-
11700,Central Darling (A),2014,344,-
11700,Central Darling (A),2015,352,-
11700,Central Darling (A),2016,293,3.4
11700,Central Darling (A),2017,311,-
11720,Cessnock (C),2011,-,6.5
11720,Cessnock (C),2013,"13,106",-
11720,Cessnock (C),2014,"13,897",-
11720,Cessnock (C),2015,"14,636",-
11720,Cessnock (C),2016,"15,090",7.2
11720,Cessnock (C),2017,"15,337",-
11730,Clarence Valley (A),2011,-,7.6
11730,Clarence Valley (A),2013,"10,120",-
11730,Clarence Valley (A),2014,"11,408",-
11730,Clarence Valley (A),2015,"12,041",-
11730,Clarence Valley (A),2016,"12,621",8.4
11730,Clarence Valley (A),2017,"12,743",-
11750,Cobar (A),2011,-,3.3
11750,Cobar (A),2013,"1,344",-
11750,Cobar (A),2014,"1,469",-
11750,Cobar (A),2015,"1,541",-
11750,Cobar (A),2016,"1,599",4.0
11750,Cobar (A),2017,"1,602",-
11800,Coffs Harbour (C),2011,-,5.9
11800,Coffs Harbour (C),2013,"17,277",-
11800,Coffs Harbour (C),2014,"19,299",-
11800,Coffs Harbour (C),2015,"20,581",-
11800,Coffs Harbour (C),2016,"21,289",6.2
11800,Coffs Harbour (C),2017,"21,755",-
12000,Coolamon (A),2011,-,5.2
12000,Coolamon (A),2013,"1,359",-
12000,Coolamon (A),2014,"1,436",-
12000,Coolamon (A),2015,"1,501",-
12000,Coolamon (A),2016,"1,265",5.4
12000,Coolamon (A),2017,"1,554",-
12150,Coonamble (A),2011,-,6.5
12150,Coonamble (A),2013,952,-
12150,Coonamble (A),2014,"1,015",-
12150,Coonamble (A),2015,"1,082",-
12150,Coonamble (A),2016,982,7.1
12150,Coonamble (A),2017,"1,097",-
12160,Cootamundra-Gundagai Regional (A),2011,-,6.5
12160,Cootamundra-Gundagai Regional (A),2013,"3,024",-
12160,Cootamundra-Gundagai Regional (A),2014,"3,326",-
12160,Cootamundra-Gundagai Regional (A),2015,"3,414",-
12160,Cootamundra-Gundagai Regional (A),2016,"3,476",6.9
12350,Cowra (A),2011,-,6.6
12350,Cowra (A),2013,"2,899",-
12350,Cowra (A),2014,"3,088",-
12350,Cowra (A),2015,"3,351",-
12350,Cowra (A),2016,"3,523",7.1
12350,Cowra (A),2017,"3,545",-
12380,Cumberland (A),2011,-,5.3
12380,Cumberland (A),2013,"35,364",-
12380,Cumberland (A),2014,"38,649",-
12380,Cumberland (A),2015,"40,604",-
12380,Cumberland (A),2016,"42,410",5.8
12380,Cumberland (A),2017,"43,419",-
12390,Dubbo Regional (A),2011,-,5.3
12390,Dubbo Regional (A),2013,"12,742",-
12390,Dubbo Regional (A),2014,"14,123",-
12390,Dubbo Regional (A),2015,"15,068",-
12390,Dubbo Regional (A),2016,"15,963",5.7
12700,Dungog (A),2011,-,5.9
12700,Dungog (A),2013,"2,988",-
12700,Dungog (A),2014,"3,196",-
12700,Dungog (A),2015,"3,307",-
12700,Dungog (A),2016,"3,418",5.7
12700,Dungog (A),2017,"3,446",-
12730,Edward River (A),2011,-,5.6
12730,Edward River (A),2013,"2,973",-
12730,Edward River (A),2014,"3,223",-
12730,Edward River (A),2015,"3,409",-
12730,Edward River (A),2016,"2,890",6.2
12730,Edward River (A),2017,"3,288",-
12750,Eurobodalla (A),2011,-,6.9
12750,Eurobodalla (A),2013,"7,972",-
12750,Eurobodalla (A),2014,"8,885",-
12750,Eurobodalla (A),2015,"9,422",-
12750,Eurobodalla (A),2016,"10,008",7.7
12750,Eurobodalla (A),2017,"10,364",-
12850,Fairfield (C),2011,-,7.0
12850,Fairfield (C),2013,"26,896",-
12850,Fairfield (C),2014,"30,228",-
12850,Fairfield (C),2015,"31,915",-
12850,Fairfield (C),2016,"33,575",8.5
12850,Fairfield (C),2017,"33,921",-
12870,Federation (A),2011,-,4.9
12870,Federation (A),2013,"3,499",-
12870,Federation (A),2014,"3,797",-
12870,Federation (A),2015,"4,001",-
12870,Federation (A),2016,"3,916",5.4
12870,Federation (A),2017,"4,125",-
12900,Forbes (A),2011,-,5.9
12900,Forbes (A),2013,"2,310",-
12900,Forbes (A),2014,"2,537",-
12900,Forbes (A),2015,"2,683",-
12900,Forbes (A),2016,"2,850",5.5
12900,Forbes (A),2017,"2,910",-
12930,Georges River (A),2011,-,4.4
12930,Georges River (A),2013,"47,072",-
12930,Georges River (A),2014,"49,906",-
12930,Georges River (A),2015,"52,158",-
12930,Georges River (A),2016,"53,706",4.9
12930,Georges River (A),2017,"54,696",-
12950,Gilgandra (A),2011,-,6.0
12950,Gilgandra (A),2013,954,-
12950,Gilgandra (A),2014,"1,096",-
12950,Gilgandra (A),2015,"1,192",-
12950,Gilgandra (A),2016,"1,236",7.3
12950,Gilgandra (A),2017,"1,256",-
13010,Glen Innes Severn (A),2011,-,7.1
13010,Glen Innes Severn (A),2013,"1,965",-
13010,Glen Innes Severn (A),2014,"2,207",-
13010,Glen Innes Severn (A),2015,"2,289",-
13010,Glen Innes Severn (A),2016,"2,290",6.8
13010,Glen Innes Severn (A),2017,"2,324",-
13310,Goulburn Mulwaree (A),2011,-,6.0
13310,Goulburn Mulwaree (A),2013,"6,865",-
13310,Goulburn Mulwaree (A),2014,"7,714",-
13310,Goulburn Mulwaree (A),2015,"8,163",-
13310,Goulburn Mulwaree (A),2016,"8,543",6.4
13310,Goulburn Mulwaree (A),2017,"8,648",-
13340,Greater Hume Shire (A),2011,-,5.2
13340,Greater Hume Shire (A),2013,"3,565",-
13340,Greater Hume Shire (A),2014,"3,925",-
13340,Greater Hume Shire (A),2015,"4,126",-
13340,Greater Hume Shire (A),2016,"4,113",5.7
13340,Greater Hume Shire (A),2017,"4,383",-
13450,Griffith (C),2011,-,4.9
13450,Griffith (C),2013,"7,629",-
13450,Griffith (C),2014,"8,259",-
13450,Griffith (C),2015,"8,566",-
13450,Griffith (C),2016,"8,459",5.4
13450,Griffith (C),2017,"8,941",-
13550,Gunnedah (A),2011,-,4.8
13550,Gunnedah (A),2013,"3,254",-
13550,Gunnedah (A),2014,"3,694",-
13550,Gunnedah (A),2015,"3,888",-
13550,Gunnedah (A),2016,"4,005",5.5
13550,Gunnedah (A),2017,"4,134",-
13660,Gwydir (A),2011,-,7.1
13660,Gwydir (A),2013,"1,302",-
13660,Gwydir (A),2014,"1,427",-
13660,Gwydir (A),2015,"1,512",-
13660,Gwydir (A),2016,"1,482",7.0
13660,Gwydir (A),2017,"1,569",-
13800,Hawkesbury (C),2011,-,4.0
13800,Hawkesbury (C),2013,"18,748",-
13800,Hawkesbury (C),2014,"20,439",-
13800,Hawkesbury (C),2015,"21,685",-
13800,Hawkesbury (C),2016,"22,397",4.7
13800,Hawkesbury (C),2017,"22,911",-
13850,Hay (A),2011,-,5.6
13850,Hay (A),2013,836,-
13850,Hay (A),2014,922,-
13850,Hay (A),2015,926,-
13850,Hay (A),2016,950,5.0
13850,Hay (A),2017,959,-
13910,Hilltops (A),2011,-,6.0
13910,Hilltops (A),2013,"4,858",-
13910,Hilltops (A),2014,"5,397",-
13910,Hilltops (A),2015,"5,629",-
13910,Hilltops (A),2016,"5,742",6.2
13910,Hilltops (A),2017,"5,908",-
14000,Hornsby (A),2011,-,3.9
14000,Hornsby (A),2013,"62,353",-
14000,Hornsby (A),2014,"65,252",-
14000,Hornsby (A),2015,"67,369",-
14000,Hornsby (A),2016,"69,050",4.3
14000,Hornsby (A),2017,"70,459",-
14100,Hunters Hill (A),2011,-,5.1
14100,Hunters Hill (A),2013,"6,491",-
14100,Hunters Hill (A),2014,"6,770",-
14100,Hunters Hill (A),2015,"7,138",-
14100,Hunters Hill (A),2016,"7,216",6.0
14100,Hunters Hill (A),2017,"7,205",-
14170,Inner West (A),2011,-,4.3
14170,Inner West (A),2013,"63,303",-
14170,Inner West (A),2014,"67,629",-
14170,Inner West (A),2015,"70,782",-
14170,Inner West (A),2016,"73,843",4.5
14170,Inner West (A),2017,"75,549",-
14200,Inverell (A),2011,-,5.7
14200,Inverell (A),2013,"3,621",-
14200,Inverell (A),2014,"4,307",-
14200,Inverell (A),2015,"4,456",-
14200,Inverell (A),2016,"4,642",6.5
14200,Inverell (A),2017,"4,778",-
14300,Junee (A),2011,-,4.5
14300,Junee (A),2013,"1,510",-
14300,Junee (A),2014,"1,611",-
