,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
17150,Sutherland Shire (A),2017,"105,310",-
17200,Sydney (C),2011,-,2.5
17200,Sydney (C),2013,"62,665",-
17200,Sydney (C),2014,"67,305",-
17200,Sydney (C),2015,"72,713",-
17200,Sydney (C),2016,"76,965",2.4
17200,Sydney (C),2017,"79,514",-
17310,Tamworth Regional (A),2011,-,5.3
17310,Tamworth Regional (A),2013,"15,360",-
17310,Tamworth Regional (A),2014,"16,856",-
17310,Tamworth Regional (A),2015,"17,780",-
17310,Tamworth Regional (A),2016,"18,633",5.6
17310,Tamworth Regional (A),2017,"19,191",-
17350,Temora (A),2011,-,6.8
17350,Temora (A),2013,"1,924",-
17350,Temora (A),2014,"2,094",-
17350,Temora (A),2015,"2,151",-
17350,Temora (A),2016,"2,160",6.5
17350,Temora (A),2017,"2,232",-
17400,Tenterfield (A),2011,-,6.9
17400,Tenterfield (A),2013,"1,699",-
17400,Tenterfield (A),2014,"1,814",-
17400,Tenterfield (A),2015,"1,882",-
17400,Tenterfield (A),2016,"1,951",6.2
17400,Tenterfield (A),2017,"1,988",-
17420,The Hills Shire (A),2011,-,2.6
17420,The Hills Shire (A),2013,"67,153",-
17420,The Hills Shire (A),2014,"70,987",-
17420,The Hills Shire (A),2015,"74,858",-
17420,The Hills Shire (A),2016,"76,188",3.2
17420,The Hills Shire (A),2017,"79,643",-
17550,Tweed (A),2011,-,6.9
17550,Tweed (A),2013,"20,682",-
17550,Tweed (A),2014,"23,153",-
17550,Tweed (A),2015,"24,659",-
17550,Tweed (A),2016,"26,264",7.1
17550,Tweed (A),2017,"27,286",-
17620,Upper Hunter Shire (A),2011,-,4.4
17620,Upper Hunter Shire (A),2013,"4,388",-
17620,Upper Hunter Shire (A),2014,"4,714",-
17620,Upper Hunter Shire (A),2015,"4,917",-
17620,Upper Hunter Shire (A),2016,"4,842",4.7
17620,Upper Hunter Shire (A),2017,"5,083",-
17640,Upper Lachlan Shire (A),2011,-,5.3
17640,Upper Lachlan Shire (A),2013,"2,418",-
17640,Upper Lachlan Shire (A),2014,"2,645",-
17640,Upper Lachlan Shire (A),2015,"2,830",-
17640,Upper Lachlan Shire (A),2016,"2,887",5.9
17640,Upper Lachlan Shire (A),2017,"2,985",-
17650,Uralla (A),2011,-,4.8
17650,Uralla (A),2013,"1,700",-
17650,Uralla (A),2014,"1,914",-
17650,Uralla (A),2015,"2,040",-
17650,Uralla (A),2016,"1,991",5.8
17650,Uralla (A),2017,"2,091",-
17750,Wagga Wagga (C),2011,-,4.2
17750,Wagga Wagga (C),2013,"18,550",-
17750,Wagga Wagga (C),2014,"19,586",-
17750,Wagga Wagga (C),2015,"20,575",-
17750,Wagga Wagga (C),2016,"21,573",4.9
17750,Wagga Wagga (C),2017,"21,910",-
17850,Walcha (A),2011,-,5.2
17850,Walcha (A),2013,"1,090",-
17850,Walcha (A),2014,"1,201",-
17850,Walcha (A),2015,"1,247",-
17850,Walcha (A),2016,"1,257",4.9
17850,Walcha (A),2017,"1,272",-
17900,Walgett (A),2011,-,6.3
17900,Walgett (A),2013,"1,193",-
17900,Walgett (A),2014,"1,290",-
17900,Walgett (A),2015,"1,354",-
17900,Walgett (A),2016,"1,151",6.3
17900,Walgett (A),2017,"1,300",-
17950,Warren (A),2011,-,4.8
17950,Warren (A),2013,887,-
17950,Warren (A),2014,947,-
17950,Warren (A),2015,975,-
17950,Warren (A),2016,"1,013",4.4
17950,Warren (A),2017,988,-
18020,Warrumbungle Shire (A),2011,-,7.0
18020,Warrumbungle Shire (A),2013,"2,285",-
18020,Warrumbungle Shire (A),2014,"2,442",-
18020,Warrumbungle Shire (A),2015,"2,558",-
18020,Warrumbungle Shire (A),2016,"2,549",7.3
18020,Warrumbungle Shire (A),2017,"2,653",-
18050,Waverley (A),2011,-,2.8
18050,Waverley (A),2013,"28,471",-
18050,Waverley (A),2014,"30,250",-
18050,Waverley (A),2015,"31,633",-
18050,Waverley (A),2016,"32,386",3.0
18050,Waverley (A),2017,"33,450",-
18100,Weddin (A),2011,-,7.0
18100,Weddin (A),2013,"1,141",-
18100,Weddin (A),2014,"1,208",-
18100,Weddin (A),2015,"1,264",-
18100,Weddin (A),2016,"1,213",7.8
18100,Weddin (A),2017,"1,291",-
18200,Wentworth (A),2011,-,5.2
18200,Wentworth (A),2013,"1,652",-
18200,Wentworth (A),2014,"1,749",-
18200,Wentworth (A),2015,"1,901",-
18200,Wentworth (A),2016,"1,815",5.4
18200,Wentworth (A),2017,"2,032",-
18250,Willoughby (C),2011,-,3.0
18250,Willoughby (C),2013,"31,915",-
18250,Willoughby (C),2014,"33,655",-
18250,Willoughby (C),2015,"35,223",-
18250,Willoughby (C),2016,"35,909",3.4
18250,Willoughby (C),2017,"37,022",-
18350,Wingecarribee (A),2011,-,5.2
18350,Wingecarribee (A),2013,"15,352",-
18350,Wingecarribee (A),2014,"16,453",-
18350,Wingecarribee (A),2015,"17,458",-
18350,Wingecarribee (A),2016,"18,151",5.6
18350,Wingecarribee (A),2017,"18,925",-
18400,Wollondilly (A),2011,-,3.8
18400,Wollondilly (A),2013,"13,683",-
18400,Wollondilly (A),2014,"15,077",-
18400,Wollondilly (A),2015,"16,103",-
18400,Wollondilly (A),2016,"16,673",4.6
18400,Wollondilly (A),2017,"17,471",-
18450,Wollongong (C),2011,-,5.8
18450,Wollongong (C),2013,"56,115",-
18450,Wollongong (C),2014,"60,476",-
18450,Wollongong (C),2015,"64,172",-
18450,Wollongong (C),2016,"65,955",6.4
18450,Wollongong (C),2017,"67,952",-
18500,Woollahra (A),2011,-,2.4
18500,Woollahra (A),2013,"28,279",-
18500,Woollahra (A),2014,"29,681",-
18500,Woollahra (A),2015,"31,026",-
18500,Woollahra (A),2016,"31,026",2.7
18500,Woollahra (A),2017,"31,868",-
18710,Yass Valley (A),2011,-,4.1
18710,Yass Valley (A),2013,"5,989",-
18710,Yass Valley (A),2014,"6,507",-
18710,Yass Valley (A),2015,"6,796",-
18710,Yass Valley (A),2016,"7,023",4.3
18710,Yass Valley (A),2017,"7,193",-
19399,Unincorporated NSW,2011,-,3.1
19399,Unincorporated NSW,2013,246,-
19399,Unincorporated NSW,2014,246,-
19399,Unincorporated NSW,2015,267,-
19399,Unincorporated NSW,2016,276,2.8
19399,Unincorporated NSW,2017,309,-
19499,No usual address (NSW),2016,-,4.7
19799,Migratory - Offshore - Shipping (NSW),2016,-,8.5
20110,Alpine (S),2011,-,5.7
20110,Alpine (S),2013,"2,868",-
20110,Alpine (S),2014,"3,146",-
20110,Alpine (S),2015,"3,324",-
20110,Alpine (S),2016,"3,444",5.3
20110,Alpine (S),2017,"3,428",-
20260,Ararat (RC),2011,-,6.6
20260,Ararat (RC),2013,"2,026",-
20260,Ararat (RC),2014,"2,221",-
20260,Ararat (RC),2015,"2,280",-
20260,Ararat (RC),2016,"2,342",6.5
20260,Ararat (RC),2017,"2,312",-
20570,Ballarat (C),2011,-,5.7
20570,Ballarat (C),2013,"27,027",-
20570,Ballarat (C),2014,"28,637",-
20570,Ballarat (C),2015,"29,883",-
20570,Ballarat (C),2016,"30,748",6.2
20570,Ballarat (C),2017,"31,355",-
20660,Banyule (C),2011,-,4.8
20660,Banyule (C),2013,"43,930",-
20660,Banyule (C),2014,"45,919",-
20660,Banyule (C),2015,"47,474",-
20660,Banyule (C),2016,"48,813",5.0
20660,Banyule (C),2017,"49,384",-
20740,Bass Coast (S),2011,-,6.0
20740,Bass Coast (S),2013,"6,257",-
20740,Bass Coast (S),2014,"6,677",-
20740,Bass Coast (S),2015,"7,111",-
20740,Bass Coast (S),2016,"7,474",6.6
20740,Bass Coast (S),2017,"7,859",-
20830,Baw Baw (S),2011,-,4.9
20830,Baw Baw (S),2013,"9,908",-
20830,Baw Baw (S),2014,"10,798",-
20830,Baw Baw (S),2015,"11,473",-
20830,Baw Baw (S),2016,"11,983",5.6
20830,Baw Baw (S),2017,"12,421",-
20910,Bayside (C),2011,-,4.0
20910,Bayside (C),2013,"45,807",-
20910,Bayside (C),2014,"48,172",-
20910,Bayside (C),2015,"50,307",-
20910,Bayside (C),2016,"51,710",4.3
20910,Bayside (C),2017,"52,477",-
21010,Benalla (RC),2011,-,6.2
21010,Benalla (RC),2013,"2,573",-
21010,Benalla (RC),2014,"2,743",-
21010,Benalla (RC),2015,"2,874",-
21010,Benalla (RC),2016,"2,916",6.8
21010,Benalla (RC),2017,"2,882",-
21110,Boroondara (C),2011,-,3.7
21110,Boroondara (C),2013,"78,443",-
21110,Boroondara (C),2014,"81,755",-
21110,Boroondara (C),2015,"84,564",-
21110,Boroondara (C),2016,"86,715",3.8
21110,Boroondara (C),2017,"87,459",-
21180,Brimbank (C),2011,-,5.8
21180,Brimbank (C),2013,"28,514",-
21180,Brimbank (C),2014,"31,032",-
21180,Brimbank (C),2015,"32,462",-
21180,Brimbank (C),2016,"33,769",6.4
21180,Brimbank (C),2017,"34,128",-
21270,Buloke (S),2011,-,6.7
21270,Buloke (S),2013,"1,961",-
21270,Buloke (S),2014,"2,026",-
21270,Buloke (S),2015,"2,075",-
21270,Buloke (S),2016,"1,995",7.4
21270,Buloke (S),2017,"1,988",-
21370,Campaspe (S),2011,-,5.9
21370,Campaspe (S),2013,"7,697",-
21370,Campaspe (S),2014,"8,393",-
21370,Campaspe (S),2015,"8,862",-
21370,Campaspe (S),2016,"9,042",6.4
21370,Campaspe (S),2017,"9,134",-
21450,Cardinia (S),2011,-,3.8
21450,Cardinia (S),2013,"19,265",-
21450,Cardinia (S),2014,"21,162",-
21450,Cardinia (S),2015,"22,915",-
21450,Cardinia (S),2016,"24,348",4.2
21450,Cardinia (S),2017,"25,529",-
21610,Casey (C),2011,-,4.1
21610,Casey (C),2013,"54,602",-
21610,Casey (C),2014,"60,678",-
21610,Casey (C),2015,"64,899",-
21610,Casey (C),2016,"68,231",4.7
21610,Casey (C),2017,"70,823",-
21670,Central Goldfields (S),2011,-,8.6
21670,Central Goldfields (S),2013,"1,830",-
21670,Central Goldfields (S),2014,"1,875",-
21670,Central Goldfields (S),2015,"1,918",-
21670,Central Goldfields (S),2016,"1,885",8.9
21670,Central Goldfields (S),2017,"1,913",-
21750,Colac-Otway (S),2011,-,6.0
21750,Colac-Otway (S),2013,"4,919",-
21750,Colac-Otway (S),2014,"5,247",-
21750,Colac-Otway (S),2015,"5,307",-
21750,Colac-Otway (S),2016,"5,505",6.4
21750,Colac-Otway (S),2017,"5,604",-
21830,Corangamite (S),2011,-,5.5
21830,Corangamite (S),2013,"3,799",-
21830,Corangamite (S),2014,"4,012",-
21830,Corangamite (S),2015,"4,104",-
21830,Corangamite (S),2016,"4,042",5.7
21830,Corangamite (S),2017,"4,080",-
21890,Darebin (C),2011,-,5.9
21890,Darebin (C),2013,"35,889",-
21890,Darebin (C),2014,"38,587",-
21890,Darebin (C),2015,"40,799",-
21890,Darebin (C),2016,"43,031",6.0
21890,Darebin (C),2017,"44,732",-
22110,East Gippsland (S),2011,-,6.5
22110,East Gippsland (S),2013,"7,414",-
22110,East Gippsland (S),2014,"7,911",-
22110,East Gippsland (S),2015,"8,254",-
22110,East Gippsland (S),2016,"8,386",6.8
22110,East Gippsland (S),2017,"8,450",-
22170,Frankston (C),2011,-,4.5
22170,Frankston (C),2013,"31,366",-
22170,Frankston (C),2014,"33,617",-
22170,Frankston (C),2015,"35,443",-
22170,Frankston (C),2016,"36,732",5.4
22170,Frankston (C),2017,"37,092",-
22250,Gannawarra (S),2011,-,6.2
22250,Gannawarra (S),2013,"2,446",-
22250,Gannawarra (S),2014,"2,598",-
22250,Gannawarra (S),2015,"2,650",-
22250,Gannawarra (S),2016,"2,622",6.5
22250,Gannawarra (S),2017,"2,684",-
22310,Glen Eira (C),2011,-,4.3
22310,Glen Eira (C),2013,"55,727",-
22310,Glen Eira (C),2014,"58,853",-
22310,Glen Eira (C),2015,"61,299",-
22310,Glen Eira (C),2016,"62,944",4.4
22310,Glen Eira (C),2017,"64,245",-
22410,Glenelg (S),2011,-,6.0
22410,Glenelg (S),2013,"4,025",-
22410,Glenelg (S),2014,"4,397",-
22410,Glenelg (S),2015,"4,590",-
22410,Glenelg (S),2016,"4,682",6.8
22410,Glenelg (S),2017,"4,721",-
22490,Golden Plains (S),2011,-,4.5
22490,Golden Plains (S),2013,"5,661",-
22490,Golden Plains (S),2014,"6,161",-
22490,Golden Plains (S),2015,"6,537",-
22490,Golden Plains (S),2016,"6,752",4.6
22490,Golden Plains (S),2017,"6,998",-
22620,Greater Bendigo (C),2011,-,5.5
22620,Greater Bendigo (C),2013,"26,522",-
22620,Greater Bendigo (C),2014,"28,129",-
22620,Greater Bendigo (C),2015,"29,540",-
22620,Greater Bendigo (C),2016,"30,324",5.9
22620,Greater Bendigo (C),2017,"30,596",-
22670,Greater Dandenong (C),2011,-,6.2
22670,Greater Dandenong (C),2013,"17,731",-
22670,Greater Dandenong (C),2014,"19,891",-
22670,Greater Dandenong (C),2015,"21,473",-
22670,Greater Dandenong (C),2016,"22,781",6.4
22670,Greater Dandenong (C),2017,"23,706",-
22750,Greater Geelong (C),2011,-,5.6
22750,Greater Geelong (C),2013,"63,100",-
22750,Greater Geelong (C),2014,"68,107",-
22750,Greater Geelong (C),2015,"71,392",-
22750,Greater Geelong (C),2016,"74,081",6.0
22750,Greater Geelong (C),2017,"76,622",-
22830,Greater Shepparton (C),2011,-,5.4
22830,Greater Shepparton (C),2013,"13,065",-
22830,Greater Shepparton (C),2014,"13,886",-
22830,Greater Shepparton (C),2015,"14,521",-
22830,Greater Shepparton (C),2016,"14,652",6.0
22830,Greater Shepparton (C),2017,"14,728",-
22910,Hepburn (S),2011,-,5.6
22910,Hepburn (S),2013,"3,428",-
22910,Hepburn (S),2014,"3,732",-
22910,Hepburn (S),2015,"3,866",-
22910,Hepburn (S),2016,"3,941",5.9
22910,Hepburn (S),2017,"4,071",-
22980,Hindmarsh (S),2011,-,7.9
22980,Hindmarsh (S),2013,"1,353",-
22980,Hindmarsh (S),2014,"1,420",-
22980,Hindmarsh (S),2015,"1,425",-
22980,Hindmarsh (S),2016,"1,392",7.7
22980,Hindmarsh (S),2017,"1,392",-
23110,Hobsons Bay (C),2011,-,5.2
23110,Hobsons Bay (C),2013,"23,661",-
23110,Hobsons Bay (C),2014,"25,848",-
23110,Hobsons Bay (C),2015,"27,108",-
23110,Hobsons Bay (C),2016,"28,327",5.6
23110,Hobsons Bay (C),2017,"29,312",-
23190,Horsham (RC),2011,-,5.5
23190,Horsham (RC),2013,"4,673",-
23190,Horsham (RC),2014,"5,015",-
23190,Horsham (RC),2015,"5,166",-
23190,Horsham (RC),2016,"5,271",6.0
23190,Horsham (RC),2017,"5,234",-
23270,Hume (C),2011,-,5.3
23270,Hume (C),2013,"30,810",-
23270,Hume (C),2014,"33,476",-
23270,Hume (C),2015,"35,627",-
23270,Hume (C),2016,"37,424",6.3
23270,Hume (C),2017,"38,718",-
23350,Indigo (S),2011,-,5.0
23350,Indigo (S),2013,"4,150",-
23350,Indigo (S),2014,"4,555",-
23350,Indigo (S),2015,"4,829",-
23350,Indigo (S),2016,"4,961",4.9
23350,Indigo (S),2017,"4,981",-
23430,Kingston (C) (Vic.),2011,-,4.7
23430,Kingston (C) (Vic.),2013,"48,809",-
23430,Kingston (C) (Vic.),2014,"52,403",-
23430,Kingston (C) (Vic.),2015,"54,681",-
23430,Kingston (C) (Vic.),2016,"56,330",5.0
23430,Kingston (C) (Vic.),2017,"57,631",-
23670,Knox (C),2011,-,4.2
23670,Knox (C),2013,"49,454",-
23670,Knox (C),2014,"52,517",-
23670,Knox (C),2015,"54,440",-
23670,Knox (C),2016,"55,793",4.8
23670,Knox (C),2017,"56,444",-
23810,Latrobe (C) (Vic.),2011,-,6.3
23810,Latrobe (C) (Vic.),2013,"14,944",-
23810,Latrobe (C) (Vic.),2014,"15,791",-
23810,Latrobe (C) (Vic.),2015,"16,260",-
23810,Latrobe (C) (Vic.),2016,"16,312",7.0
23810,Latrobe (C) (Vic.),2017,"16,114",-
23940,Loddon (S),2011,-,7.3
23940,Loddon (S),2013,"1,872",-
23940,Loddon (S),2014,"1,954",-
23940,Loddon (S),2015,"1,993",-
23940,Loddon (S),2016,"1,868",7.4
23940,Loddon (S),2017,"1,911",-
24130,Macedon Ranges (S),2011,-,3.8
24130,Macedon Ranges (S),2013,"14,378",-
24130,Macedon Ranges (S),2014,"15,403",-
24130,Macedon Ranges (S),2015,"16,118",-
24130,Macedon Ranges (S),2016,"16,603",4.1
24130,Macedon Ranges (S),2017,"17,197",-
24210,Manningham (C),2011,-,4.5
24210,Manningham (C),2013,"47,214",-
24210,Manningham (C),2014,"49,502",-
24210,Manningham (C),2015,"51,122",-
24210,Manningham (C),2016,"51,813",5.0
24210,Manningham (C),2017,"52,521",-
24250,Mansfield (S),2011,-,4.8
24250,Mansfield (S),2013,"2,095",-
24250,Mansfield (S),2014,"2,252",-
24250,Mansfield (S),2015,"2,343",-
24250,Mansfield (S),2016,"2,437",4.5
24250,Mansfield (S),2017,"2,538",-
24330,Maribyrnong (C),2011,-,4.6
24330,Maribyrnong (C),2013,"18,127",-
24330,Maribyrnong (C),2014,"20,089",-
24330,Maribyrnong (C),2015,"21,815",-
24330,Maribyrnong (C),2016,"23,184",4.7
24330,Maribyrnong (C),2017,"24,293",-
24410,Maroondah (C),2011,-,4.5
24410,Maroondah (C),2013,"35,712",-
24410,Maroondah (C),2014,"37,965",-
24410,Maroondah (C),2015,"39,662",-
24410,Maroondah (C),2016,"40,590",5.0
24410,Maroondah (C),2017,"41,333",-
24600,Melbourne (C),2011,-,2.0
24600,Melbourne (C),2013,"31,608",-
24600,Melbourne (C),2014,"34,260",-
24600,Melbourne (C),2015,"37,141",-
24600,Melbourne (C),2016,"39,812",1.7
24600,Melbourne (C),2017,"41,247",-
24650,Melton (C),2011,-,4.1
24650,Melton (C),2013,"21,214",-
24650,Melton (C),2014,"23,468",-
24650,Melton (C),2015,"25,503",-
24650,Melton (C),2016,"26,681",4.9
24650,Melton (C),2017,"26,054",-
24780,Mildura (RC),2011,-,5.9
24780,Mildura (RC),2013,"12,947",-
24780,Mildura (RC),2014,"13,980",-
24780,Mildura (RC),2015,"14,607",-
24780,Mildura (RC),2016,"15,343",6.8
24780,Mildura (RC),2017,"15,391",-
24850,Mitchell (S),2011,-,4.6
24850,Mitchell (S),2013,"7,688",-
24850,Mitchell (S),2014,"8,376",-
24850,Mitchell (S),2015,"8,814",-
24850,Mitchell (S),2016,"9,264",4.9
24850,Mitchell (S),2017,"9,662",-
24900,Moira (S),2011,-,6.5
24900,Moira (S),2013,"5,482",-
24900,Moira (S),2014,"5,919",-
24900,Moira (S),2015,"6,305",-
24900,Moira (S),2016,"6,520",6.7
24900,Moira (S),2017,"6,547",-
24970,Monash (C),2011,-,4.6
24970,Monash (C),2013,"59,206",-
24970,Monash (C),2014,"62,602",-
24970,Monash (C),2015,"64,808",-
24970,Monash (C),2016,"66,020",4.8
24970,Monash (C),2017,"67,351",-
25060,Moonee Valley (C),2011,-,5.0
25060,Moonee Valley (C),2013,"39,712",-
25060,Moonee Valley (C),2014,"42,361",-
25060,Moonee Valley (C),2015,"44,501",-
25060,Moonee Valley (C),2016,"46,062",5.2
25060,Moonee Valley (C),2017,"47,289",-
25150,Moorabool (S),2011,-,4.7
25150,Moorabool (S),2013,"7,157",-
25150,Moorabool (S),2014,"7,786",-
25150,Moorabool (S),2015,"8,229",-
25150,Moorabool (S),2016,"8,510",5.1
25150,Moorabool (S),2017,"8,849",-
25250,Moreland (C),2011,-,6.2
25250,Moreland (C),2013,"40,050",-
25250,Moreland (C),2014,"43,321",-
25250,Moreland (C),2015,"46,058",-
25250,Moreland (C),2016,"48,313",6.2
25250,Moreland (C),2017,"50,963",-
25340,Mornington Peninsula (S),2011,-,4.8
25340,Mornington Peninsula (S),2013,"46,749",-
25340,Mornington Peninsula (S),2014,"49,942",-
25340,Mornington Peninsula (S),2015,"52,944",-
25340,Mornington Peninsula (S),2016,"54,430",5.5
25340,Mornington Peninsula (S),2017,"56,080",-
25430,Mount Alexander (S),2011,-,4.7
25430,Mount Alexander (S),2013,"3,571",-
25430,Mount Alexander (S),2014,"3,870",-
25430,Mount Alexander (S),2015,"3,995",-
25430,Mount Alexander (S),2016,"4,038",5.0
25430,Mount Alexander (S),2017,"4,182",-
25490,Moyne (S),2011,-,4.1
25490,Moyne (S),2013,"3,829",-
25490,Moyne (S),2014,"4,035",-
25490,Moyne (S),2015,"4,240",-
25490,Moyne (S),2016,"4,321",4.5
25490,Moyne (S),2017,"4,484",-
25620,Murrindindi (S),2011,-,5.1
25620,Murrindindi (S),2013,"3,298",-
25620,Murrindindi (S),2014,"3,503",-
25620,Murrindindi (S),2015,"3,638",-
25620,Murrindindi (S),2016,"3,675",5.6
25620,Murrindindi (S),2017,"3,791",-
25710,Nillumbik (S),2011,-,2.4
25710,Nillumbik (S),2013,"26,192",-
25710,Nillumbik (S),2014,"27,352",-
25710,Nillumbik (S),2015,"28,093",-
25710,Nillumbik (S),2016,"28,335",3.3
25710,Nillumbik (S),2017,"28,654",-
25810,Northern Grampians (S),2011,-,7.9
25810,Northern Grampians (S),2013,"2,207",-
25810,Northern Grampians (S),2014,"2,403",-
25810,Northern Grampians (S),2015,"2,494",-
25810,Northern Grampians (S),2016,"2,479",7.6
25810,Northern Grampians (S),2017,"2,407",-
25900,Port Phillip (C),2011,-,3.0
25900,Port Phillip (C),2013,"39,628",-
25900,Port Phillip (C),2014,"42,265",-
25900,Port Phillip (C),2015,"44,425",-
25900,Port Phillip (C),2016,"44,939",3.2
25900,Port Phillip (C),2017,"46,408",-
25990,Pyrenees (S),2011,-,7.0
25990,Pyrenees (S),2013,"1,437",-
25990,Pyrenees (S),2014,"1,565",-
25990,Pyrenees (S),2015,"1,621",-
25990,Pyrenees (S),2016,"1,606",7.0
25990,Pyrenees (S),2017,"1,697",-
26080,Queenscliffe (B),2011,-,6.2
26080,Queenscliffe (B),2013,"1,327",-
26080,Queenscliffe (B),2014,"1,408",-
26080,Queenscliffe (B),2015,"1,398",-
26080,Queenscliffe (B),2016,"1,404",4.7
26080,Queenscliffe (B),2017,"1,433",-
26170,South Gippsland (S),2011,-,5.3
26170,South Gippsland (S),2013,"6,206",-
26170,South Gippsland (S),2014,"6,589",-
26170,South Gippsland (S),2015,"6,829",-
26170,South Gippsland (S),2016,"6,869",5.5
26170,South Gippsland (S),2017,"7,143",-
26260,Southern Grampians (S),2011,-,5.8
26260,Southern Grampians (S),2013,"3,982",-
26260,Southern Grampians (S),2014,"4,173",-
26260,Southern Grampians (S),2015,"4,203",-
26260,Southern Grampians (S),2016,"4,233",5.6
26260,Southern Grampians (S),2017,"4,249",-
26350,Stonnington (C),2011,-,3.2
26350,Stonnington (C),2013,"46,008",-
26350,Stonnington (C),2014,"48,442",-
26350,Stonnington (C),2015,"50,880",-
26350,Stonnington (C),2016,"51,753",3.3
26350,Stonnington (C),2017,"53,662",-
26430,Strathbogie (S),2011,-,6.6
26430,Strathbogie (S),2013,"2,474",-
26430,Strathbogie (S),2014,"2,616",-
26430,Strathbogie (S),2015,"2,748",-
26430,Strathbogie (S),2016,"2,789",6.8
26430,Strathbogie (S),2017,"2,862",-
26490,Surf Coast (S),2011,-,3.4
26490,Surf Coast (S),2013,"10,243",-
26490,Surf Coast (S),2014,"11,061",-
26490,Surf Coast (S),2015,"11,789",-
26490,Surf Coast (S),2016,"12,105",3.5
26490,Surf Coast (S),2017,"12,821",-
26610,Swan Hill (RC),2011,-,5.4
26610,Swan Hill (RC),2013,"4,516",-
26610,Swan Hill (RC),2014,"4,879",-
26610,Swan Hill (RC),2015,"5,078",-
26610,Swan Hill (RC),2016,"5,054",5.4
26610,Swan Hill (RC),2017,"5,120",-
26670,Towong (S),2011,-,5.5
26670,Towong (S),2013,"1,667",-
26670,Towong (S),2014,"1,853",-
26670,Towong (S),2015,"1,924",-
26670,Towong (S),2016,"1,929",5.7
26670,Towong (S),2017,"1,974",-
26700,Wangaratta (RC),2011,-,5.5
26700,Wangaratta (RC),2013,"6,119",-
26700,Wangaratta (RC),2014,"6,627",-
26700,Wangaratta (RC),2015,"6,905",-
26700,Wangaratta (RC),2016,"7,025",5.7
26700,Wangaratta (RC),2017,"6,976",-
26730,Warrnambool (C),2011,-,4.8
26730,Warrnambool (C),2013,"6,713",-
26730,Warrnambool (C),2014,"7,340",-
26730,Warrnambool (C),2015,"7,628",-
26730,Warrnambool (C),2016,"7,882",5.5
26730,Warrnambool (C),2017,"7,984",-
26810,Wellington (S),2011,-,5.6
26810,Wellington (S),2013,"8,095",-
26810,Wellington (S),2014,"8,625",-
26810,Wellington (S),2015,"9,182",-
26810,Wellington (S),2016,"9,348",5.9
26810,Wellington (S),2017,"9,359",-
26890,West Wimmera (S),2011,-,5.7
26890,West Wimmera (S),2013,"1,062",-
26890,West Wimmera (S),2014,"1,118",-
26890,West Wimmera (S),2015,"1,193",-
26890,West Wimmera (S),2016,"1,189",5.0
26890,West Wimmera (S),2017,"1,236",-
26980,Whitehorse (C),2011,-,4.3
26980,Whitehorse (C),2013,"57,628",-
26980,Whitehorse (C),2014,"60,613",-
26980,Whitehorse (C),2015,"62,615",-
26980,Whitehorse (C),2016,"62,820",4.7
26980,Whitehorse (C),2017,"64,516",-
27070,Whittlesea (C),2011,-,5.2
27070,Whittlesea (C),2013,"35,118",-
27070,Whittlesea (C),2014,"39,014",-
27070,Whittlesea (C),2015,"41,928",-
27070,Whittlesea (C),2016,"44,110",5.7
27070,Whittlesea (C),2017,"46,535",-
27170,Wodonga (C),2011,-,5.0
27170,Wodonga (C),2013,"8,834",-
27170,Wodonga (C),2014,"9,672",-
27170,Wodonga (C),2015,"10,387",-
27170,Wodonga (C),2016,"10,545",5.8
27170,Wodonga (C),2017,"10,811",-
27260,Wyndham (C),2011,-,3.4
27260,Wyndham (C),2013,"37,445",-
27260,Wyndham (C),2014,"41,599",-
27260,Wyndham (C),2015,"45,128",-
27260,Wyndham (C),2016,"47,101",3.9
27260,Wyndham (C),2017,"50,932",-
27350,Yarra (C),2011,-,3.8
27350,Yarra (C),2013,"29,841",-
27350,Yarra (C),2014,"32,686",-
27350,Yarra (C),2015,"34,900",-
27350,Yarra (C),2016,"36,127",3.5
27350,Yarra (C),2017,"38,245",-
27450,Yarra Ranges (S),2011,-,3.8
27450,Yarra Ranges (S),2013,"41,683",-
27450,Yarra Ranges (S),2014,"44,533",-
27450,Yarra Ranges (S),2015,"46,402",-
27450,Yarra Ranges (S),2016,"46,857",4.6
27450,Yarra Ranges (S),2017,"47,941",-
27630,Yarriambiack (S),2011,-,8.6
27630,Yarriambiack (S),2013,"1,931",-
27630,Yarriambiack (S),2014,"1,978",-
27630,Yarriambiack (S),2015,"1,975",-
27630,Yarriambiack (S),2016,"1,873",8.9
27630,Yarriambiack (S),2017,"1,943",-
29399,Unincorporated Vic,2011,-,1.6
29399,Unincorporated Vic,2013,99,-
29399,Unincorporated Vic,2014,96,-
29399,Unincorporated Vic,2015,103,-
29399,Unincorporated Vic,2016,105,0.9
29399,Unincorporated Vic,2017,104,-
29499,No usual address (Vic.),2016,-,4.5
30250,Aurukun (S),2011,-,3.1
30250,Aurukun (S),2013,23,-
30250,Aurukun (S),2014,24,-
30250,Aurukun (S),2016,29,3.9
30250,Aurukun (S),2017,36,-
30300,Balonne (S),2011,-,3.4
30300,Balonne (S),2013,"1,434",-
30300,Balonne (S),2014,"1,445",-
30300,Balonne (S),2015,"1,467",-
30300,Balonne (S),2016,"1,387",4.4
30300,Balonne (S),2017,"1,472",-
30370,Banana (S),2011,-,3.3
