Name	Native	Status	Population
Sanam Chai Khet	อำเภอสนามชัยเขต	District	66,093	61,501
Tha Takiap	อำเภอท่าตะเกียบ	District	37,421	36,441
Chainat	จังหวัดชัยนาท	Province	359,829	305,587
Hankha	อำเภอหันคา	District	58,113	50,728
Manorom	อำเภอมโนรมย์	District	35,993	29,974
Mueang Chainat	อำเภอเมืองชัยนาท	District	78,026	67,918
Noen Kham	อำเภอเนินขาม	District	17,659	14,795
Nong Mamong	อำเภอหนองมะโมง	District	19,450	17,465
Sankhaburi	อำเภอสรรคบุรี	District	72,255	60,184
Sapphaya	อำเภอสรรพยา	District	50,634	41,666
Wat Sing	อำเภอวัดสิงห์	District	27,699	22,857
Chaiyaphum	จังหวัดชัยภูมิ	Province	1,095,360	963,907
Bamnet Narong	อำเภอบำเหน็จณรงค์	District	54,750	46,858
Ban Khwao	อำเภอบ้านเขว้า	District	51,643	39,978
Ban Thaen	อำเภอบ้านแท่น	District	43,992	38,375
Chatturat	อำเภอจัตุรัส	District	74,548	65,546
Kaeng Khro	อำเภอแก้งคร้อ	District	87,663	81,785
Kaset Sombun	อำเภอเกษตรสมบูรณ์	District	111,376	98,702
Khon San	อำเภอคอนสาร	District	58,867	49,502
Khon Sawan	อำเภอคอนสวรรค์	District	54,313	45,423
Mueang Chaiyaphum	อำเภอเมืองชัยภูมิ	District	184,921	162,361
Noen Sa-nga	อำเภอเนินสง่า	District	24,125	20,900
Nong Bua Daeng	อำเภอหนองบัวแดง	District	92,766	80,653
Nong Bua Rawe	อำเภอหนองบัวระเหว	District	33,631	33,943
Phakdi Chumphon	อำเภอภักดีชุมพล	District	28,111	23,856
Phu Khiao	อำเภอภูเขียว	District	120,792	108,193
Sap Yai	อำเภอซับใหญ่	District	11,958	11,578
Thep Sathit	อำเภอเทพสถิต	District	61,904	56,254
Chanthaburi	จังหวัดจันทบุรี	Province	480,064	485,611
Kaeng Hang Maeo	อำเภอแก่งหางแมว	District	34,920	37,698
Khao Khitchakut	อำเภอเขาคิชฌกูฏ	District	24,433	25,893
Khlung	อำเภอขลุง	District	54,937	49,199
Laem Sing	อำเภอแหลมสิงห์	District	31,172	28,663
Makham	อำเภอมะขาม	District	28,341	29,996
Mueang Chanthaburi	อำเภอเมืองจันทบุรี	District	124,462	121,549
Na Yai Am	อำเภอนายายอาม	District	31,973	31,609
Pong Nam Ron	อำเภอโป่งน้ำร้อน	District	33,376	37,601
Soi Dao	อำเภอสอยดาว	District	48,256	60,104
Tha Mai	อำเภอท่าใหม่	District	68,194	63,300
Chiang Mai	จังหวัดเชียงใหม่	Province	1,500,127	1,737,041
Chai Prakan	อำเภอไชยปราการ	District	42,204	38,802
Chiang Dao	อำเภอเชียงดาว	District	69,215	80,205
Chom Thong	อำเภอจอมทอง	District	60,710	70,546
Doi Lo	อำเภอดอยหล่อ	District	26,597	28,409
Doi Saket	อำเภอดอยสะเก็ด	District	59,283	57,544
Doi Tao	อำเภอดอยเต่า	District	25,507	24,694
Fang	อำเภอฝาง	District	95,547	116,263
Galyani Vadhana [← Mae Chaem]	อำเภอกัลยาณิวัฒนา	District	...	10,190
Hang Dong	อำเภอหางดง	District	66,795	84,325
Hot	อำเภอฮอด	District	40,055	39,086
Mae Ai	อำเภอแม่อาย	District	68,136	68,652
Mae Chaem	อำเภอแม่แจ่ม	District	...	58,079
Mae On	อำเภอแม่ออน	District	20,250	22,427
Mae Rim	อำเภอแม่ริม	District	71,897	86,093
Mae Taeng	อำเภอแม่แตง	District	71,271	74,144
Mae Wang	อำเภอแม่วาง	District	28,980	33,106
Mueang Chiang Mai	อำเภอเมืองเชียงใหม่	District	248,479	346,746
Omkoi	อำเภออมก๋อย	District	43,736	59,830
Phrao	อำเภอพร้าว	District	50,945	47,736
Samoeng	อำเภอสะเมิง	District	21,438	24,866
San Kamphaeng	อำเภอสันกำแพง	District	72,253	81,355
San Pa Tong	อำเภอสันป่าตอง	District	75,143	76,431
San Sai	อำเภอสันทราย	District	88,714	113,285
Saraphi	อำเภอสารภี	District	73,232	71,021
Wiang Haeng	อำเภอเวียงแหง	District	20,568	23,203
Chiang Rai	จังหวัดเชียงราย	Province	1,129,701	1,172,928
Chiang Khong	อำเภอเชียงของ	District	60,996	61,321
Chiang Saen	อำเภอเชียงแสน	District	48,310	49,026
Doi Luang	อำเภอดอยหลวง	District	20,644	17,233
Khun Tan	อำเภอขุนตาล	District	31,480	31,041
Mae Chan	อำเภอแม่จัน	District	106,751	97,930
Mae Fa Luang	อำเภอแม่ฟ้าหลวง	District	61,888	67,061
Mae Lao	อำเภอแม่ลาว	District	28,793	29,530
Mae Sai	อำเภอแม่สาย	District	76,673	84,843
Mae Suai	อำเภอแม่สรวย	District	71,854	77,710
Mueang Chiang Rai	อำเภอเมืองเชียงราย	District	199,699	224,436
Pa Daet	อำเภอป่าแดด	District	24,468	24,605
Phan	อำเภอพาน	District	121,747	121,778
Phaya Mengrai	อำเภอพญาเม็งราย	District	39,964	39,023
Thoeng	อำเภอเทิง	District	76,989	82,687
Wiang Chai	อำเภอเวียงชัย	District	43,465	43,005
Wiang Chiang Rung	อำเภอเวียงเชียงรุ้ง	District	23,954	25,667
Wiang Kaen	อำเภอเวียงแก่น	District	29,362	30,097
Wiang Pa Pao	อำเภอเวียงป่าเป้า	District	62,664	65,935
Chonburi	จังหวัดชลบุรี	Province	1,040,865	1,555,358
