Name	Native	Status	Population
Krok Phra	อำเภอโกรกพระ	District	35,289	32,873
Lat Yao	อำเภอลาดยาว	District	92,322	74,117
Mae Poen	อำเภอแม่เปิน	District	17,343	18,876
Mae Wong	อำเภอแม่วงก์	District	50,516	34,699
Mueang Nakhon Sawan	อำเภอเมืองนครสวรรค์	District	230,065	258,882
Nong Bua	อำเภอหนองบัว	District	69,411	55,579
Phaisali	อำเภอไพศาลี	District	71,061	63,764
Phayuha Khiri	อำเภอพยุหะคีรี	District	65,058	57,415
Tak Fa	อำเภอตากฟ้า	District	43,777	39,281
Takhli	อำเภอตาคลี	District	128,257	100,747
Tha Tako	อำเภอท่าตะโก	District	71,055	63,132
Nakhon Si Thammarat	จังหวัดนครศรีธรรมราช	Province	1,519,811	1,450,466
Bang Khan	อำเภอบางขัน	District	34,486	46,798
Chaloem Phra Kiat	อำเภอเฉลิมพระเกียรติ	District	35,465	29,319
Chang Klang	อำเภอช้างกลาง	District	31,706	29,610
Cha-uat	อำเภอชะอวด	District	85,016	79,422
Chawang	อำเภอฉวาง	District	69,246	70,053
Chian Yai	อำเภอเชียรใหญ่	District	49,416	38,292
Chulabhorn	อำเภอจุฬาภรณ์	District	30,447	30,973
Hua Sai	อำเภอหัวไทร	District	71,297	61,868
Khanom	อำเภอขนอม	District	26,796	32,759
Lan Saka	อำเภอลานสกา	District	39,717	40,786
Mueang Nakhon Si Thammarat	อำเภอเมืองนครศรีธรรมราช	District	267,560	237,174
Na Bon	อำเภอนาบอน	District	27,677	23,421
Nopphitam	อำเภอนบพิตำ	District	27,489	30,648
Pak Phanang	อำเภอปากพนัง	District	117,346	85,487
Phipun	อำเภอพิปูน	District	27,834	30,443
Phra Phrom	อำเภอพระพรหม	District	41,152	44,621
Phrom Khiri	อำเภอพรหมคีรี	District	34,938	36,756
Ron Phibun	อำเภอร่อนพิบูลย์	District	87,707	75,406
Sichon	อำเภอสิชล	District	80,357	82,010
Tham Phannara	อำเภอถ้ำพรรณรา	District	16,989	20,989
Tha Sala	อำเภอท่าศาลา	District	105,750	105,952
Thung Song	อำเภอทุ่งสง	District	147,333	144,123
Thung Yai	อำเภอทุ่งใหญ่	District	64,087	73,555
Nan	จังหวัดน่าน	Province	458,041	452,814
Ban Luang	อำเภอบ้านหลวง	District	11,455	11,197
Bo Kluea	อำเภอบ่อเกลือ	District	14,883	14,077
Chaloem Phra Kiat	อำเภอเฉลิมพระเกียรติ	District	7,517	10,460
Chiang Klang	อำเภอเชียงกลาง	District	27,520	25,560
Mae Charim	อำเภอแม่จริม	District	15,550	15,752
Mueang Nan	อำเภอเมืองน่าน	District	77,269	84,098
Na Muen	อำเภอนาหมื่น	District	14,628	13,763
Na Noi	อำเภอนาน้อย	District	32,047	30,246
Phu Phiang	อำเภอภูเพียง	District	33,318	35,190
Pua	อำเภอปัว	District	62,056	57,693
Santi Suk	อำเภอสันติสุข	District	14,788	14,257
Song Khwae	อำเภอสองแคว	District	10,481	10,454
Tha Wang Pha	อำเภอท่าวังผา	District	49,275	45,940
Thung Chang	อำเภอทุ่งช้าง	District	20,064	16,267
Wiang Sa	อำเภอเวียงสา	District	67,190	67,861
Narathiwat	จังหวัดนราธิวาส	Province	662,350	670,002
Bacho	อำเภอบาเจาะ	District	45,352	47,066
Chanae	อำเภอจะแนะ	District	28,053	33,534
Cho-airong	อำเภอเจาะไอร้อง	District	34,806	36,881
Mueang Narathiwat	อำเภอเมืองนราธิวาส	District	104,615	104,051
Ra-ngae	อำเภอระแงะ	District	80,550	75,802
Rueso	อำเภอรือเสาะ	District	59,108	60,595
Si Sakhon	อำเภอศรีสาคร	District	25,986	34,966
Sukhirin	อำเภอสุคิริน	District	20,715	22,898
Su-ngai Kolok	อำเภอสุไหงโก-ลก	District	64,640	61,638
Su-ngai Padi	อำเภอสุไหงปาดี	District	54,445	48,153
Tak Bai	อำเภอตากใบ	District	61,157	57,776
Waeng	อำเภอแว้ง	District	43,050	48,063
Yi-ngo	อำเภอยี่งอ	District	39,873	38,579
Nong Bua Lamphu	จังหวัดหนองบัวลำภู	Province	482,207	485,974
Mueang Nong Bua Lamphu	อำเภอเมืองหนองบัวลำภู	District	125,757	134,116
Na Klang	อำเภอนากลาง	District	90,857	87,690
Na Wang	อำเภอนาวัง	District	36,483	34,347
Non Sang	อำเภอโนนสัง	District	62,142	60,687
Si Bun Rueang	อำเภอศรีบุญเรือง	District	103,635	103,518
Suwannakhuha	อำเภอสุวรรณคูหา	District	63,333	65,616
Nong Khai	จังหวัดหนองคาย	Province	498,651	458,772
Fao Rai	อำเภอเฝ้าไร่	District	49,153	45,472
Mueang Nong Khai	อำเภอเมืองหนองคาย	District	137,923	131,965
Phon Phisai	อำเภอโพนพิสัย	District	94,566	87,241
Pho Tak	อำเภอโพธิ์ตาก	District	14,709	13,431
Rattanawapi	อำเภอรัตนวาปี	District	36,718	33,729
Sakhrai	อำเภอสระใคร	District	23,545	23,147
Sangkhom	อำเภอสังคม	District	22,243	21,440
Si Chiang Mai	อำเภอศรีเชียงใหม่	District	35,003	27,745
Tha Bo	อำเภอท่าบ่อ	District	84,791	74,602
Nonthaburi	จังหวัดนนทบุรี	Province	816,614	1,334,083
Bang Bua Thong	อำเภอบางบัวทอง	District	130,076	256,290
Bang Kruai	อำเภอบางกรวย	District	81,900	111,631
Bang Yai	อำเภอบางใหญ่	District	55,228	129,594
Mueang Nonthaburi	อำเภอเมืองนนทบุรี	District	332,388	481,487
Pak Kret	อำเภอปากเกร็ด	District	177,282	294,223
Sai Noi	อำเภอไทรน้อย	District	39,740	60,858
Pathum Thani	จังหวัดปทุมธานี	Province	677,649	1,327,147
Khlong Luang	อำเภอคลองหลวง	District	150,871	420,211
Lam Luk Ka	อำเภอลำลูกกา	District	139,456	265,870
Lat Lum Kaeo	อำเภอลาดหลุมแก้ว	District	43,014	74,970
Mueang Pathum Thani	อำเภอเมืองปทุมธานี	District	129,649	220,154
Nong Suea	อำเภอหนองเสือ	District	46,565	56,955
Sam Khok	อำเภอสามโคก	District	44,712	61,288
Thanyaburi	อำเภอธัญบุรี	District	123,382	227,699
Pattani	จังหวัดปัตตานี	Province	595,985	609,015
Kapho	อำเภอกะพ้อ	District	14,298	15,550
Khok Pho	อำเภอโคกโพธิ์	District	61,330	56,418
Mae Lan	อำเภอแม่ลาน	District	13,848	14,384
Mai Kaen	อำเภอไม้แก่น	District	10,072	10,257
Mayo	อำเภอมายอ	District	50,244	47,801
Mueang Pattani	อำเภอเมืองปัตตานี	District	108,271	109,226
Nong Chik	อำเภอหนองจิก	District	70,118	64,304
Panare	อำเภอปะนาเระ	District	40,243	41,065
Sai Buri	อำเภอสายบุรี	District	57,873	65,144
Thung Yang Daeng	อำเภอทุ่งยางแดง	District	17,403	20,009
Yarang	อำเภอยะรัง	District	78,740	83,922
Yaring	อำเภอยะหริ่ง	District	73,545	80,934
Phang Nga	จังหวัดพังงา	Province	234,188	258,535
Kapong	อำเภอกะปง	District	12,692	14,609
Khura Buri	อำเภอคุระบุรี	District	22,011	23,594
Ko Yao	อำเภอเกาะยาว	District	12,548	12,645
Mueang Phang Nga	อำเภอเมืองพังงา	District	36,747	40,480
Takua Pa	อำเภอตะกั่วป่า	District	43,459	47,755
Takua Thung	อำเภอตะกั่วทุ่ง	District	39,597	46,483
Thai Mueang	อำเภอท้ายเหมือง	District	43,829	49,898
Thap Put	อำเภอทับปุด	District	23,305	23,070
Phatthalung	จังหวัดพัทลุง	Province	498,471	480,976
Bang Kaeo	อำเภอบางแก้ว	District	24,940	25,485
Khao Chaison	อำเภอเขาชัยสน	District	44,136	43,912
Khuan Khanun	อำเภอควนขนุน	District	82,685	77,005
Kong Ra	อำเภอกงหรา	District	32,646	34,718
Mueang Phatthalung	อำเภอเมืองพัทลุง	District	124,208	106,454
Pa Bon	อำเภอป่าบอน	District	41,452	48,797
Pak Phayun	อำเภอปากพะยูน	District	49,880	43,406
Pa Phayom	อำเภอป่าพะยอม	District	31,221	33,293
Si Banphot	อำเภอศรีบรรพต	District	15,959	17,642
Srinagarindra	อำเภอศรีนครินทร์	District	24,148	24,334
Tamot	อำเภอตะโหมด	District	27,196	25,929
Phayao	จังหวัดพะเยา	Province	502,780	417,380
Chiang Kham	อำเภอเชียงคำ	District	78,843	65,826
Chiang Muan	อำเภอเชียงม่วน	District	19,950	16,834
Chun	อำเภอจุน	District	53,567	41,024
Dok Khamtai	อำเภอดอกคำใต้	District	75,119	61,754
Mae Chai	อำเภอแม่ใจ	District	37,482	29,123
Mueang Phayao	อำเภอเมืองพะเยา	District	125,450	110,738
Phu Kamyao	อำเภอภูกามยาว	District	22,951	19,623
Phu Sang	อำเภอภูซาง	District	36,111	26,295
Pong	อำเภอปง	District	53,307	46,163
Phetchabun	จังหวัดเพชรบูรณ	Province	965,784	940,076
Bueng Sam Phan	อำเภอบึงสามพัน	District	66,613	67,692
Chon Daen	อำเภอชนแดน	District	86,086	75,205
Khao Kho	อำเภอเขาค้อ	District	27,540	32,803
Lom Kao	อำเภอหล่มเก่า	District	60,228	62,885
Lom Sak	อำเภอหล่มสัก	District	150,680	149,577
Mueang Phetchabun	อำเภอเมืองเพชรบูรณ์	District	211,227	199,367
Nam Nao	อำเภอน้ำหนาว	District	15,485	16,285
Nong Phai	อำเภอหนองไผ่	District	115,832	107,060
Si Thep	อำเภอศรีเทพ	District	63,300	65,811
Wang Pong	อำเภอวังโป่ง	District	39,502	35,629
Wichian Buri	อำเภอวิเชียรบุรี	District	129,291	127,762
Phetchaburi	จังหวัดเพชรบุรี	Province	435,377	472,589
Ban Laem	อำเภอบ้านแหลม	District	54,544	55,781
Ban Lat	อำเภอบ้านลาด	District	47,656	52,513
Cha-am	อำเภอชะอำ	District	64,501	73,894
Kaeng Krachan	อำเภอแก่งกระจาน	District	24,458	28,569
Khao Yoi	อำเภอเขาย้อย	District	35,868	39,254
Mueang Phetchaburi	อำเภอเมืองเพชรบุรี	District	115,000	121,712
Nong Ya Plong	อำเภอหนองหญ้าปล้อง	District	12,556	15,027
Tha Yang	อำเภอท่ายาง	District	80,794	85,839
Phichit	จังหวัดพิจิตร	Province	572,989	548,242
Bang Mun Nak	อำเภอบางมูลนาก	District	51,715	42,426
Bueng Na Rang	อำเภอบึงนาราง	District	27,013	30,367
Dong Charoen	อำเภอดงเจริญ	District	19,628	22,095
Mueang Phichit	อำเภอเมืองพิจิตร	District	114,255	112,827
Pho Prathap Chang	อำเภอโพธิ์ประทับช้าง	District	42,630	47,290
Pho Thale	อำเภอโพทะเล	District	61,529	60,719
Sak Lek	อำเภอสากเหล็ก	District	23,256	22,362
Sam Ngam	อำเภอสามง่าม	District	45,353	41,774
Taphan Hin	อำเภอตะพานหิน	District	76,825	65,485
Tap Khlo	อำเภอทับคล้อ	District	52,902	43,674
Wachirabarami	อำเภอวชิรบารมี	District	28,954	35,084
Wang Sai Phun	อำเภอวังทรายพูน	District	28,929	24,137
Phitsanulok	จังหวัดพิษณุโลก	Province	792,678	912,827
Bang Krathum	อำเภอบางกระทุ่ม	District	51,273	52,519
Bang Rakam	อำเภอบางระกำ	District	88,946	103,294
Chat Trakan	อำเภอชาติตระการ	District	33,750	44,801
Mueang Phitsanulok	อำเภอเมืองพิษณุโลก	District	246,772	306,594
Nakhon Thai	อำเภอนครไทย	District	79,084	95,074
Noen Maprang	อำเภอเนินมะปราง	District	57,871	55,072
Phrom Phiram	อำเภอพรหมพิราม	District	86,323	93,593
Wang Thong	อำเภอวังทอง	District	112,771	118,879
Wat Bot	อำเภอวัดโบสถ์	District	35,888	43,001
Phrae	จังหวัดแพร่	Province	492,561	427,398
Den Chai	อำเภอเด่นชัย	District	38,557	29,971
Long	อำเภอลอง	District	60,285	48,682
Mueang Phrae	อำเภอเมืองแพร่	District	128,128	120,894
Nong Muang Khai	อำเภอหนองม่วงไข่	District	20,566	17,890
Rong Kwang	อำเภอร้องกวาง	District	52,885	47,132
Song	อำเภอสอง	District	59,716	47,985
Sung Men	อำเภอสูงเม่น	District	83,609	73,038
Wang Chin	อำเภอวังชิ้น	District	48,815	41,806
Phra Nakhon Si Ayutthaya	จังหวัดพระนครศรีอยุธยา	Province	727,277	870,671
Bang Ban	อำเภอบางบาล	District	34,404	31,615
Bang Pahan	อำเภอบางปะหัน	District	38,799	40,115
Bang Pa-in	อำเภอบางปะอิน	District	73,630	136,733
Bang Sai (1404)	อำเภอบางไทร	District	44,764	47,362
Bang Sai (1413)	อำเภอบางซ้าย	District	19,973	17,229
Ban Phraek	อำเภอบ้านแพรก	District	9,437	7,661
Lat Bua Luang	อำเภอลาดบัวหลวง	District	36,186	37,978
Maha Rat	อำเภอมหาราช	District	23,282	21,105
Nakhon Luang	อำเภอนครหลวง	District	33,197	50,170
Phachi	อำเภอภาชี	District	30,481	29,265
Phak Hai	อำเภอผักไห่	District	44,436	32,685
Phra Nakhon Si Ayutthaya	อำเภอพระนครศรีอยุธยา	District	131,222	150,856
Sena	อำเภอเสนา	District	64,436	60,524
Tha Ruea	อำเภอท่าเรือ	District	48,872	44,563
Uthai	อำเภออุทัย	District	39,943	76,469
Wang Noi	อำเภอวังน้อย	District	54,215	86,342
Phuket	จังหวัดภูเก็ต	Province	249,446	525,709
Kathu	อำเภอกะทู้	District	36,971	101,410
Mueang Phuket	อำเภอเมืองภูเก็ต	District	151,763	311,585
Thalang	อำเภอถลาง	District	60,712	112,714
Prachinburi	จังหวัดปราจีนบุรี	Province	406,732	546,996
Ban Sang	อำเภอบ้านสร้าง	District	29,715	38,245
Kabin Buri	อำเภอกบินทร์บุรี	District	117,240	140,056
Mueang Prachinburi	อำเภอเมืองปราจีนบุรี	District	104,304	132,066
Na Di	อำเภอนาดี	District	42,405	57,466
Prachantakham	อำเภอประจันตคาม	District	47,188	59,696
Si Maha Phot	อำเภอศรีมหาโพธิ	District	48,987	100,563
Si Mahosot	อำเภอศรีมโหสถ	District	16,893	18,903
Prachuap Khiri Khan	จังหวัดประจวบคีรีขันธ์	Province	449,467	467,466
Bang Saphan	อำเภอบางสะพาน	District	63,540	63,085
Bang Saphan Noi	อำเภอบางสะพานน้อย	District	31,229	29,069
Hua Hin	อำเภอหัวหิน	District	68,880	109,327
Kui Buri	อำเภอกุยบุรี	District	42,110	37,801
Mueang Prachuap Khiri Khan	อำเภอเมืองประจวบคีรีขันธ์	District	80,196	78,519
Pran Buri	อำเภอปราณบุรี	District	72,602	66,782
Sam Roi Yot	อำเภอสามร้อยยอด	District	40,365	41,685
Thap Sakae	อำเภอทับสะแก	District	50,545	41,197
Ranong	จังหวัดระนอง	Province	161,210	249,017
Kapoe	อำเภอกะเปอร์	District	18,643	24,522
Kra Buri	อำเภอกระบุรี	District	44,039	56,670
La-un	อำเภอละอุ่น	District	12,118	18,611
Mueang Ranong	อำเภอเมืองระนอง	District	78,029	135,564
Suk Samran	อำเภอสุขสำราญ	District	8,381	13,651
Ratchaburi	จังหวัดราชบุรี	Province	791,217	796,748
Bang Phae	อำเภอบางแพ	District	42,949	41,377
Ban Kha	อำเภอบ้านคา	District	19,354	22,813
Ban Pong	อำเภอบ้านโป่ง	District	157,689	153,094
Chom Bueng	อำเภอจอมบึง	District	57,070	60,410
Damnoen Saduak	อำเภอดำเนินสะดวก	District	98,994	83,860
Mueang Ratchaburi	อำเภอเมืองราชบุรี	District	183,528	188,722
Pak Tho	อำเภอปากท่อ	District	61,015	63,650
Photharam	อำเภอโพธาราม	District	128,434	132,457
Suan Phueng	อำเภอสวนผึ้ง	District	30,252	38,817
Wat Phleng	อำเภอวัดเพลง	District	11,932	11,548
Rayong	จังหวัดระยอง	Province	522,133	821,072
Ban Chang	อำเภอบ้านฉาง	District	47,071	63,659
Ban Khai	อำเภอบ้านค่าย	District	57,684	74,347
Khao Chamao	อำเภอเขาชะเมา	District	19,784	23,928
Klaeng	อำเภอแกลง	District	123,038	135,390
Mueang Rayong	อำเภอเมืองระยอง	District	188,208	364,544
Nikhom Phatthana	อำเภอนิคมพัฒนา	District	30,686	61,447
Pluak Daeng	อำเภอปลวกแดง	District	33,484	71,531
Wang Chan	อำเภอวังจันทร์	District	22,178	26,226
Roi Et	จังหวัดร้อยเอ็ด	Province	1,256,458	1,084,985
At Samat	อำเภออาจสามารถ	District	71,060	60,592
Changhan	อำเภอจังหาร	District	46,124	40,114
Chaturaphak Phiman	อำเภอจตุรพักตรพิมาน	District	78,361	68,103
Chiang Khwan	อำเภอเชียงขวัญ	District	27,054	23,351
Kaset Wisai	อำเภอเกษตรวิสัย	District	96,557	79,125
Moei Wadi	อำเภอเมยวดี	District	21,040	18,094
Mueang Roi Et	อำเภอเมืองร้อยเอ็ด	District	145,142	145,849
Mueang Suang	อำเภอเมืองสรวง	District	22,903	18,269
Nong Hi	อำเภอหนองฮี	District	25,587	18,191
Nong Phok	อำเภอหนองพอก	District	60,841	52,564
Pathum Rat	อำเภอปทุมรัตต์	District	49,139	44,743
Phanom Phrai	อำเภอพนมไพร	District	74,934	58,698
Pho Chai	อำเภอโพธิ์ชัย	District	52,889	48,872
Phon Sai	อำเภอโพนทราย	District	25,271	21,907
Phon Thong	อำเภอโพนทอง	District	101,908	86,547
Selaphum	อำเภอเสลภูมิ	District	118,646	96,618
Si Somdet	อำเภอศรีสมเด็จ	District	37,251	33,187
Suwannaphum	อำเภอสุวรรณภูมิ	District	111,871	93,537
Thawat Buri	อำเภอธวัชบุรี	District	66,429	58,493
Thung Khao Luang	อำเภอทุ่งเขาหลวง	District	23,451	18,135
Sa Kaeo	จังหวัดสระแก้ว	Province	485,632	555,961
Aranyaprathet	อำเภออรัญประเทศ	District	73,813	88,477
Khao Chakan	อำเภอเขาฉกรรจ์	District	51,424	57,234
Khlong Hat	อำเภอคลองหาด	District	31,509	37,108
Khok Sung	อำเภอโคกสูง	District	22,516	26,592
Mueang Sa Kaeo	อำเภอเมืองสระแก้ว	District	94,275	111,322
Ta Phraya	อำเภอตาพระยา	District	45,938	53,804
Wang Nam Yen	อำเภอวังน้ำเย็น	District	56,545	64,149
Wang Sombun	อำเภอวังสมบูรณ์	District	30,668	37,335
Watthana Nakhon	อำเภอวัฒนานคร	District	78,944	79,940
Sakon Nakhon	จังหวัดสกลนคร	Province	1,040,766	941,810
Akat Amnuai	อำเภออากาศอำนวย	District	61,859	62,240
Ban Muang	อำเภอบ้านม่วง	District	63,265	54,265
Charoen Sin	อำเภอเจริญศิลป์	District	39,523	34,003
Kham Ta Kla	อำเภอคำตากล้า	District	35,804	31,208
Khok Si Suphan	อำเภอโคกศรีสุพรรณ	District	31,980	30,751
Kusuman	อำเภอกุสุมาลย์	District	41,976	37,056
Kut Bak	อำเภอกุดบาก	District	31,209	27,111
Mueang Sakon Nakhon	อำเภอเมืองสกลนคร	District	172,944	168,495
Nikhom Nam Un	อำเภอนิคมน้ำอูน	District	14,263	11,896
Phang Khon	อำเภอพังโคน	District	49,984	42,871
Phanna Nikhom	อำเภอพรรณานิคม	District	75,370	68,838
Phon Na Kaeo	อำเภอโพนนาแก้ว	District	33,599	31,500
Phu Phan	อำเภอภูพาน	District	33,830	28,779
Sawang Daen Din	อำเภอสว่างแดนดิน	District	142,027	121,842
Song Dao	อำเภอส่องดาว	District	31,275	25,421
Tao Ngoi	อำเภอเต่างอย	District	22,071	22,991
Wanon Niwat	อำเภอวานรนิวาส	District	112,722	102,464
Waritchaphum	อำเภอวาริชภูมิ	District	47,065	40,080
Samut Prakan	จังหวัดสมุทรปราการ	Province	1,028,401	1,828,694
Bang Bo	อำเภอบางบ่อ	District	85,208	105,742
Bang Phli	อำเภอบางพลี	District	141,688	326,114
Bang Sao Thong	อำเภอบางเสาธง	District	69,516	201,624
Mueang Samut Prakan	อำเภอเมืองสมุทรปราการ	District	435,122	794,867
Phra Pradaeng	อำเภอพระประแดง	District	212,027	282,245
Phra Samut Chedi	อำเภอพระสมุทรเจดีย์	District	84,840	118,102
Samut Sakhon	จังหวัดสมุทรสาคร	Province	466,281	887,191
Ban Phaeo	อำเภอบ้านแพ้ว	District	95,524	86,663
Krathum Baen	อำเภอกระทุ่มแบน	District	152,642	264,206
Mueang Samut Sakhon	อำเภอเมืองสมุทรสาคร	District	218,115	536,323
Samut Songkhram	จังหวัดสมุทรสงคราม	Province	204,177	185,564
Amphawa	อำเภออัมพวา	District	62,149	49,252
Bang Khonthi	อำเภอบางคนที	District	36,397	39,183
Mueang Samut Songkhram	อำเภอเมืองสมุทรสงคราม	District	105,631	97,130
Saraburi	จังหวัดสระบุรี	Province	575,053	717,054
Ban Mo	อำเภอบ้านหมอ	District	39,489	45,206
Chaloem Phra Kiat	อำเภอเฉลิมพระเกียรติ	District	25,616	40,009
Don Phut	อำเภอดอนพุด	District	6,957	7,963
Kaeng Khoi	อำเภอแก่งคอย	District	82,404	115,212
Muak Lek	อำเภอมวกเหล็ก	District	45,782	61,999
Mueang Saraburi	อำเภอเมืองสระบุรี	District	106,107	127,431
Nong Don	อำเภอหนองโดน	District	13,876	15,069
Nong Khae	อำเภอหนองแค	District	88,213	106,878
Nong Saeng	อำเภอหนองแซง	District	14,781	20,128
Phra Phutthabat	อำเภอพระพุทธบาท	District	70,354	65,339
Sao Hai	อำเภอเสาไห้	District	27,789	40,708
Wang Muang	อำเภอวังม่วง	District	19,802	22,212
Wihan Daeng	อำเภอวิหารแดง	District	33,883	48,899
Satun	จังหวัดสตูล	Province	247,875	274,863
Khuan Don	อำเภอควนโดน	District	19,884	22,996
Khuan Kalong	อำเภอควนกาหลง	District	27,100	29,837
La-ngu	อำเภอละงู	District	56,348	65,068
Manang	อำเภอมะนัง	District	12,292	14,085
Mueang Satun	อำเภอเมืองสตูล	District	92,150	97,892
Tha Phae	อำเภอท่าแพ	District	22,138	24,618
Thung Wa	อำเภอทุ่งหว้า	District	17,963	20,367
Singburi	จังหวัดสิงห์บุรี	Province	232,766	199,982
Bang Rachan	อำเภอบางระจัน	District	37,936	32,059
In Buri	อำเภออินทร์บุรี	District	63,829	52,999
Khai Bang Rachan	อำเภอค่ายบางระจัน	District	29,813	26,881
Mueang Sing Buri	อำเภอเมืองสิงห์บุรี	District	58,044	53,252
Phrom Buri	อำเภอพรหมบุรี	District	26,887	22,129
Tha Chang	อำเภอท่าช้าง	District	16,257	12,662
Si Saket	จังหวัดศรีสะเกษ	Province	1,405,500	1,055,980
Benchalak	อำเภอเบญจลักษ์	District	34,639	26,107
Bueng Bun	อำเภอบึงบูรพ์	District	10,586	7,704
Huai Thap Than	อำเภอห้วยทับทัน	District	38,993	28,497
Kantharalak	อำเภอกันทรลักษ์	District	189,863	147,336
Kanthararom	อำเภอกันทรารมย์	District	99,178	73,020
Khukhan	อำเภอขุขันธ์	District	141,815	108,214
Khun Han	อำเภอขุนหาญ	District	98,843	77,936
Mueang Chan	อำเภอเมืองจันทร์	District	17,462	12,320
Mueang Si Sa Ket	อำเภอเมืองศรีสะเกษ	District	133,478	113,383
Nam Kliang	อำเภอน้ำเกลี้ยง	District	40,680	31,221
Non Khun	อำเภอโนนคูณ	District	36,266	29,598
Phayu	อำเภอพยุห์	District	37,314	24,018
Pho Si Suwan	อำเภอโพธิ์ศรีสุวรรณ	District	23,289	16,269
Phrai Bueng	อำเภอไพรบึง	District	46,360	35,778
Phu Sing	อำเภอภูสิงห์	District	47,138	36,504
Prang Ku	อำเภอปรางค์กู่	District	68,305	45,605
Rasi Salai	อำเภอราษีไศล	District	80,870	58,475
Sila Lat	อำเภอศิลาลาด	District	20,637	13,811
Si Rattana	อำเภอศรีรัตนะ	District	50,474	35,856
Uthumphon Phisai	อำเภออุทุมพรพิสัย	District	108,920	71,324
Wang Hin	อำเภอวังหิน	District	44,358	35,959
Yang Chum Noi	อำเภอยางชุมน้อย	District	36,032	27,045
Songkhla	จังหวัดสงขลา	Province	1,255,662	1,481,021
Bang Klam	อำเภอบางกล่ำ	District	26,180	34,559
Chana	อำเภอจะนะ	District	92,163	103,594
Hat Yai	อำเภอหาดใหญ่	District	324,596	438,576
Khlong Hoi Khong	อำเภอคลองหอยโข่ง	District	22,933	27,359
Khuan Niang	อำเภอควนเนียง	District	34,276	34,408
Krasae Sin	อำเภอกระแสสินธุ์	District	18,412	14,971
Mueang Songkhla	อำเภอเมืองสงขลา	District	162,700	198,594
Na Mom	อำเภอนาหม่อม	District	20,597	27,955
Na Thawi	อำเภอนาทวี	District	54,772	69,676
Ranot	อำเภอระโนด	District	78,387	62,220
Rattaphum	อำเภอรัตภูมิ	District	65,585	71,860
Saba Yoi	อำเภอสะบ้าย้อย	District	55,735	65,920
Sadao	อำเภอสะเดา	District	102,217	131,095
Sathing Phra	อำเภอสทิงพระ	District	52,907	46,832
Singhanakhon	อำเภอสิงหนคร	District	79,566	81,831
Thepha	อำเภอเทพา	District	64,636	71,572
Sukhothai	จังหวัดสุโขทัย	Province	593,264	629,707
Ban Dan Lan Hoi	อำเภอบ้านด่านลานหอย	District	41,906	47,537
Khiri Mat	อำเภอคีรีมาศ	District	53,507	61,014
Kong Krailat	อำเภอกงไกรลาศ	District	61,835	70,457
Mueang Sukhothai	อำเภอเมืองสุโขทัย	District	109,195	107,018
Sawankhalok	อำเภอสวรรคโลก	District	86,570	92,263
Si Nakhon	อำเภอศรีนคร	District	29,413	30,626
Si Samrong	อำเภอศรีสำโรง	District	70,140	77,075
Si Satchanalai	อำเภอศรีสัชนาลัย	District	92,293	94,408
Thung Saliam	อำเภอทุ่งเสลี่ยม	District	48,405	49,308
Suphanburi	จังหวัดสุพรรณบุรี	Province	855,949	845,561
Bang Pla Ma	อำเภอบางปลาม้า	District	86,947	79,965
Dan Chang	อำเภอด่านช้าง	District	61,540	65,886
Doem Bang Nang Buat	อำเภอเดิมบางนางบวช	District	77,804	73,012
Don Chedi	อำเภอดอนเจดีย์	District	46,062	43,691
Mueang Suphanburi	อำเภอเมืองสุพรรณบุรี	District	158,087	167,059
Nong Ya Sai	อำเภอหนองหญ้าไซ	District	49,894	48,019
Sam Chuk	อำเภอสามชุก	District	58,223	55,442
Si Prachan	อำเภอศรีประจันต์	District	64,995	62,811
Song Phi Nong	อำเภอสองพี่น้อง	District	130,064	128,471
U Thong	อำเภออู่ทอง	District	122,333	121,205
Surat Thani	จังหวัดสุราษฎร์ธานี	Province	869,410	1,009,351
Ban Na Doem	อำเภอบ้านนาเดิม	District	20,958	22,493
Ban Na San	อำเภอบ้านนาสาร	District	66,813	69,150
Ban Ta Khun	อำเภอบ้านตาขุน	District	13,519	14,989
Chai Buri	อำเภอชัยบุรี	District	18,933	25,539
Chaiya	อำเภอไชยา	District	43,630	50,308
Don Sak	อำเภอดอนสัก	District	33,436	36,781
Kanchanadit	อำเภอกาญจนดิษฐ์	District	90,782	101,578
Khian Sa	อำเภอเคียนซา	District	36,525	46,612
Khiri Rat Nikhom	อำเภอคีรีรัฐนิคม	District	37,592	42,351
Ko Pha-ngan	อำเภอเกาะพะงัน	District	9,866	15,254
Ko Samui	อำเภอเกาะสมุย	District	34,717	57,845
Mueang Surat Thani	อำเภอเมืองสุราษฎร์ธานี	District	150,954	172,412
Phanom	อำเภอพนม	District	29,250	36,605
Phrasaeng	อำเภอพระแสง	District	52,956	66,024
Phunphin	อำเภอพุนพิน	District	90,419	91,195
Tha Chana	อำเภอท่าชนะ	District	43,884	53,075
Tha Chang	อำเภอท่าฉาง	District	28,961	32,571
Vibhavadi	อำเภอวิภาวดี	District	9,877	14,286
Wiang Sa	อำเภอเวียงสระ	District	56,338	60,283
Surin	จังหวัดสุรินทร์	Province	1,327,901	1,122,900
Buachet	อำเภอบัวเชด	District	36,320	33,862
Chom Phra	อำเภอจอมพระ	District	58,778	48,252
Chumphon Buri	อำเภอชุมพลบุรี	District	66,846	58,164
Kap Choeng	อำเภอกาบเชิง	District	61,416	45,668
