ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
RWA,1,2,29.77667963,-2.557730714,30.33323478,-1.50667599,1193.078973
RWA,1,3,29.77667963,-2.557730714,29.10796854,-2.474502364,1874.152526
RWA,1,4,29.77667963,-2.557730714,29.47963524,-2.508446202,2793.930744
RWA,1,5,29.77667963,-2.557730714,29.40645936,-1.785798028,1741.512933
RWA,1,6,29.77667963,-2.557730714,29.7921872,-2.07485419,3815.591492
RWA,1,7,29.77667963,-2.557730714,30.60854055,-2.042611076,1267.318116
RWA,1,8,29.77667963,-2.557730714,29.38568191,-2.097014611,1050.25308
RWA,1,9,29.77667963,-2.557730714,30.12001013,-2.035225738,9624.157277
RWA,1,10,29.77667963,-2.557730714,29.70174524,-1.530887288,1346.32456
RWA,2,1,30.33323478,-1.50667599,29.77667963,-2.557730714,1190.170202
RWA,2,3,30.33323478,-1.50667599,29.10796854,-2.474502364,1043.773219
RWA,2,4,30.33323478,-1.50667599,29.47963524,-2.508446202,982.62177
RWA,2,5,30.33323478,-1.50667599,29.40645936,-1.785798028,1690.017501
RWA,2,6,30.33323478,-1.50667599,29.7921872,-2.07485419,2085.171108
RWA,2,7,30.33323478,-1.50667599,30.60854055,-2.042611076,3796.775113
RWA,2,8,30.33323478,-1.50667599,29.38568191,-2.097014611,599.190438
RWA,2,9,30.33323478,-1.50667599,30.12001013,-2.035225738,11650.16922
RWA,2,10,30.33323478,-1.50667599,29.70174524,-1.530887288,4071.674612
RWA,3,1,29.10796854,-2.474502364,29.77667963,-2.557730714,1880.66987
RWA,3,2,29.10796854,-2.474502364,30.33323478,-1.50667599,1053.481816
RWA,3,4,29.10796854,-2.474502364,29.47963524,-2.508446202,2769.318278
RWA,3,5,29.10796854,-2.474502364,29.40645936,-1.785798028,1978.630864
RWA,3,6,29.10796854,-2.474502364,29.7921872,-2.07485419,1706.619737
RWA,3,7,29.10796854,-2.474502364,30.60854055,-2.042611076,943.2891901
RWA,3,8,29.10796854,-2.474502364,29.38568191,-2.097014611,1600.019643
RWA,3,9,29.10796854,-2.474502364,30.12001013,-2.035225738,3182.990416
RWA,3,10,29.10796854,-2.474502364,29.70174524,-1.530887288,1185.141189
RWA,4,1,29.47963524,-2.508446202,29.77667963,-2.557730714,2855.633648
RWA,4,2,29.47963524,-2.508446202,30.33323478,-1.50667599,1009.275683
RWA,4,3,29.47963524,-2.508446202,29.10796854,-2.474502364,2818.965732
RWA,4,5,29.47963524,-2.508446202,29.40645936,-1.785798028,1901.218287
RWA,4,6,29.47963524,-2.508446202,29.7921872,-2.07485419,3293.807443
