ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
IDN,11,12,99.05782724,2.189644386,96.90901216,4.221964173,14824.60183
IDN,11,13,100.4623963,-0.860827459,96.90901216,4.221964173,1600.619765
IDN,11,14,102.1189089,0.590315151,96.90901216,4.221964173,2628.271802
IDN,11,15,102.7219019,-1.697698884,96.90901216,4.221964173,816.7926656
IDN,11,16,104.5550272,-3.09254709,96.90901216,4.221964173,2876.170565
IDN,11,17,102.3446804,-3.558703057,96.90901216,4.221964173,551.3009871
IDN,11,18,105.0233914,-4.918390831,96.90901216,4.221964173,1289.101311
IDN,11,31,106.8336961,-6.199073865,96.90901216,4.221964173,2111.744559
IDN,11,32,107.3017545,-6.826441227,96.90901216,4.221964173,3711.528955
IDN,11,33,110.2000468,-7.258565339,96.90901216,4.221964173,5206.875313
IDN,11,34,110.4466309,-7.895079475,96.90901216,4.221964173,480.2203223
IDN,11,35,112.7334159,-7.719056677,96.90901216,4.221964173,3526.182829
IDN,11,51,115.1317309,-8.369652367,96.90901216,4.221964173,244.6037739
IDN,11,52,117.5102788,-8.602675608,96.90901216,4.221964173,318.3250306
IDN,11,53,122.1802155,-9.259291764,96.90901216,4.221964173,672.7366973
IDN,11,61,111.1206467,-0.086102145,96.90901216,4.221964173,531.3321438
IDN,11,62,113.4168125,-1.601037236,96.90901216,4.221964173,311.8789931
IDN,11,63,115.434942,-3.001507671,96.90901216,4.221964173,326.3667295
IDN,11,64,116.3820095,1.330310789,96.90901216,4.221964173,326.9104778
IDN,11,71,123.5558197,1.005186015,96.90901216,4.221964173,364.168153
IDN,11,72,121.2050796,-1.002906358,96.90901216,4.221964173,199.0232677
IDN,11,73,120.1702669,-3.70543101,96.90901216,4.221964173,923.8227849
IDN,11,73,119.3393019,-2.461240908,96.90901216,4.221964173,790.9370916
IDN,11,74,122.0828285,-4.140474687,96.90901216,4.221964173,239.4134464
IDN,11,81,128.9120532,-2.732396381,96.90901216,4.221964173,228.927045
IDN,11,94,137.3254608,-4.031217538,96.90901216,4.221964173,1.735684024
IDN,12,11,96.90901216,4.221964173,99.05782724,2.189644386,7572.478887
IDN,12,13,100.4623963,-0.860827459,99.05782724,2.189644386,8101.739582
IDN,12,14,102.1189089,0.590315151,99.05782724,2.189644386,13974.94249
IDN,12,15,102.7219019,-1.697698884,99.05782724,2.189644386,3197.594308
