ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
GEO,1,2,41.18145161,43.10375636,42.08188971,41.64885388,157.9414258
GEO,1,3,41.18145161,43.10375636,42.14579828,41.96392327,71.09714285
GEO,1,4,41.18145161,43.10375636,42.9552981,42.15691858,269.8225605
GEO,1,5,41.18145161,43.10375636,45.78057066,41.76068417,84.24866898
GEO,1,6,41.18145161,43.10375636,44.50687624,41.49391238,113.3810981
GEO,1,7,41.18145161,43.10375636,44.74343421,42.29462738,53.2543928
GEO,1,8,41.18145161,43.10375636,43.15852374,42.64531472,39.21553862
GEO,1,9,41.18145161,43.10375636,42.27527022,42.69772077,330.6110391
GEO,1,10,41.18145161,43.10375636,43.32539957,41.5379281,57.99251961
GEO,1,11,41.18145161,43.10375636,44.00797326,42.10666319,85.43049254
GEO,1,12,41.18145161,43.10375636,44.83289429,41.70169634,520.1843542
GEO,2,1,42.08188971,41.64885388,41.18145161,43.10375636,196.8357899
GEO,2,3,42.08188971,41.64885388,42.14579828,41.96392327,175.2862654
GEO,2,4,42.08188971,41.64885388,42.9552981,42.15691858,509.0644121
GEO,2,5,42.08188971,41.64885388,45.78057066,41.76068417,89.08876778
GEO,2,6,42.08188971,41.64885388,44.50687624,41.49391238,163.9100405
GEO,2,7,42.08188971,41.64885388,44.74343421,42.29462738,64.52698179
GEO,2,8,42.08188971,41.64885388,43.15852374,42.64531472,46.36159817
GEO,2,9,42.08188971,41.64885388,42.27527022,42.69772077,278.7557261
GEO,2,10,42.08188971,41.64885388,43.32539957,41.5379281,140.0899382
GEO,2,11,42.08188971,41.64885388,44.00797326,42.10666319,131.7060088
GEO,2,12,42.08188971,41.64885388,44.83289429,41.70169634,666.8111197
GEO,3,1,42.14579828,41.96392327,41.18145161,43.10375636,218.6668252
GEO,3,2,42.14579828,41.96392327,42.08188971,41.64885388,432.6223085
GEO,3,4,42.14579828,41.96392327,42.9552981,42.15691858,556.0270809
GEO,3,5,42.14579828,41.96392327,45.78057066,41.76068417,82.04041108
GEO,3,6,42.14579828,41.96392327,44.50687624,41.49391238,149.2865015
GEO,3,7,42.14579828,41.96392327,44.74343421,42.29462738,62.88202131
GEO,3,8,42.14579828,41.96392327,43.15852374,42.64531472,53.1892064
