都道府県名 	公開サイト 	運営者 	プロジェクト
浜松市 	https://stopcovid19-hamamatsu.netlify.app/ 	有志 	code-for-hamamatsu/covid19
愛知県 	https://stopcovid19.code4.nagoya/ 	有志 	code4nagoya/covid19
三重県 	https://mie.stopcovid19.jp/ 	高専生チーム(有志) 	FlexiblePrintedCircuits/covid19-mie
滋賀県 	https://stopcovid19.pref.shiga.jp/ 	滋賀県（公式) 	Shiga-pref-org/covid19
京都府 	https://stopcovid19-kyoto.netlify.app/ 	有志 	stopcovid19-kyoto/covid19
大阪府 	https://covid19-osaka.info/ 	大阪府（公式） 	codeforosaka/covid19
兵庫県 	https://stop-covid19-hyogo.org/ 	有志 	stop-covid19-hyogo/covid19
奈良県 	https://stopcovid19.code4nara.org/ 	有志 	code4nara/covid19
和歌山県 	https://stopcovid19.wakayama.jp/ 	エフエム和歌山 	sys-cube/covid19
鳥取県 	https://tottori-covid19.netlify.app/ 	有志 	tottori-covid19/covid19
島根県 	https://shimane-covid19.netlify.app/ 	島根出身学生有志 	TaigaMikami/covid19
岡山県 	https://okayama.stopcovid19.jp/ 	学生エンジニア(有志) 	stopcovid19-okayama/covid19
広島県 	https://covid19-hiroshima.netlify.app/ 	個人 	tatsuya1970/covid19
山口県 	https://covid19-yamaguchi.netlify.app 	有志 	nishidayoshikatsu/covid19-yamaguchi
香川県 	https://kagawa.stopcovid19.jp/ 	学生エンジニア(有志) 	codeforkagawa/covid19
香川県 	https://covid19-kagawa.jp/ 	学生エンジニア (有志) 	i15317/covid19
愛媛県 	https://ehime-covid19.com/ 	ボランティア(有志) 	ehime-covid19/covid19
高知県 	https://covid19-kochi.netlify.app 	学生エンジニア(有志)
福岡県 	https://fukuoka.stopcovid19.jp/ 	Code for Fukuoka, Code for Kurume 	Code-for-Fukuoka/covid19-fukuoka
福岡市 	https://stopcovid19.codeforfukuoka.org/ 	Code for Fukuoka 	Code-for-Fukuoka/covid19
北九州市 	https://stopcovid19-kitakyushu.jp/ 	Code for Kitakyushu 	covid19-kitakyushu/covid19
佐賀県 	https://stopcovid19.code4saga.org/ 	Code for Saga 	codeforsaga/covid19
長崎県 	https://stopcovid19-nagasaki.netlify.app/ 	Code for Nagasaki 	CodeForNagasaki/covid19
熊本県 	https://kumamoto.stopcovid19.jp/ 	Code for Kumamoto 	codeforkumamoto/covid19
大分県 	https://oita.stopcovid19.jp/ 	有志 	covid19-oita/covid19
宮崎県 	https://covid19-miyazaki.netlify.app/ 	有志 	covid19-miyazaki/covid19
鹿児島県 	https://covid19.code4kagoshima.org/ 	有志 	codeforkagoshima/covid19
沖縄県 	https://okinawa.stopcovid19.jp/ 	有志 	Code-for-OKINAWA/covid19
全国 	https://covid19.wlaboratory.com 	個人 	mm0202/covid19-jp
