国コード	第二行政区画コード	日本語表記	英語表記
JP	13115	杉並区	suginami-ku
JP	13116	豊島区	toshima-ku
JP	13117	北区	kita-ku
JP	13118	荒川区	arakawa-ku
JP	13119	板橋区	itabashi-ku
JP	13120	練馬区	nerima-ku
JP	13121	足立区	adachi-ku
JP	13122	葛飾区	katsushika-ku
JP	13123	江戸川区	edogawa-ku
JP	13201	八王子市	hachioji-shi
JP	13202	立川市	tachikawa-shi
JP	13203	武蔵野市	musashino-shi
JP	13204	三鷹市	mitaka-shi
JP	13205	青梅市	ome-shi
JP	13206	府中市	fuchyu-shi
JP	13207	昭島市	akishima-shi
JP	13208	調布市	chofu-shi
JP	13209	町田市	machida-shi
JP	13210	小金井市	koganei-shi
JP	13211	小平市	kodaira-shi
JP	13212	日野市	hino-shi
JP	13213	東村山市	higashimurayama-shi
JP	13214	国分寺市	kokubunji-shi
JP	13215	国立市	kunitachi-shi
JP	13218	福生市	fussa-shi
JP	13219	狛江市	komae-shi
JP	13220	東大和市	higashiyamato-shi
JP	13221	清瀬市	kiyose-shi
JP	13222	東久留米市	higashikurume-shi
JP	13223	武蔵村山市	musashimurayama-shi
JP	13224	多摩市	tama-shi
JP	13225	稲城市	inagi-shi
JP	13227	羽村市	hamura-shi
JP	13228	あきる野市	akiruno-shi
JP	13229	西東京市	nishitokyo-shi
JP	13303	瑞穂町	mizuho-machi
JP	13305	日の出町	hinode-machi
JP	13307	檜原村	hinohara-mura
JP	13308	奥多摩町	okutama-machi
JP	13361	大島町	oshima-machi
JP	13362	利島村	toshima-mura
JP	13363	新島村	niijima-mura
JP	13364	神津島村	kodhushima-mura
JP	13381	三宅村	miyake-mura
JP	13382	御蔵島村	mikurajima-mura
JP	13401	八丈町	hachijo-machi
JP	13402	青ヶ島村	aogashima-mura
JP	13421	小笠原村	ogasawara-mura
JP	14000	神奈川
JP	14100	横浜市	yokohama-shi
JP	14101	横浜市鶴見区	yokohama-shi tsurumi-ku
JP	14102	横浜市神奈川区	yokohama-shi kanagawa-ku
JP	14103	横浜市西区	yokohama-shi nishi-ku
JP	14104	横浜市中区	yokohama-shi naka-ku
JP	14105	横浜市南区	yokohama-shi minami-ku
JP	14106	横浜市保土ケ谷区	yokohama-shi hodogaya-ku
JP	14107	横浜市磯子区	yokohama-shi isogo-ku
JP	14108	横浜市金沢区	yokohama-shi kanazawa-ku
JP	14109	横浜市港北区	yokohama-shi kohoku-ku
JP	14110	横浜市戸塚区	yokohama-shi totsuka-ku
JP	14111	横浜市港南区	yokohama-shi konan-ku
JP	14112	横浜市旭区	yokohama-shi asahi-ku
JP	14113	横浜市緑区	yokohama-shi midori-ku
JP	14114	横浜市瀬谷区	yokohama-shi seya-ku
JP	14115	横浜市栄区	yokohama-shi sakae-ku
JP	14116	横浜市泉区	yokohama-shi izumi-ku
JP	14117	横浜市青葉区	yokohama-shi aoba-ku
JP	14118	横浜市都筑区	yokohama-shi tsudhuki-ku
JP	14130	川崎市	kawasaki-shi
JP	14131	川崎市川崎区	kawasaki-shi kawasaki-ku
JP	14132	川崎市幸区	kawasaki-shi saiwai-ku
JP	14133	川崎市中原区	kawasaki-shi nakahara-ku
JP	14134	川崎市高津区	kawasaki-shi takatsu-ku
JP	14135	川崎市多摩区	kawasaki-shi tama-ku
JP	14136	川崎市宮前区	kawasaki-shi miyamae-ku
JP	14137	川崎市麻生区	kawasaki-shi asao-ku
JP	14150	相模原市	sagamihara-shi
JP	14151	相模原市緑区	sagamihara-shi midori-ku
JP	14152	相模原市中央区	sagamihara-shi chuo-ku
JP	14153	相模原市南区	sagamihara-shi minami-ku
JP	14201	横須賀市	yokosuka-shi
JP	14203	平塚市	hiratsuka-shi
JP	14204	鎌倉市	kamakura-shi
JP	14205	藤沢市	fujisawa-shi
JP	14206	小田原市	odawara-shi
JP	14207	茅ヶ崎市	chigasaki-shi
JP	14208	逗子市	zushi-shi
JP	14209	相模原市	sagamihara-shi
JP	14210	三浦市	miura-shi
JP	14211	秦野市	hadano-shi
JP	14212	厚木市	atsugi-shi
JP	14213	大和市	yamato-shi
JP	14214	伊勢原市	isehara-shi
JP	14215	海老名市	ebina-shi
JP	14216	座間市	zama-shi
JP	14217	南足柄市	minamiashigara-shi
JP	14218	綾瀬市	ayase-shi
JP	14301	葉山町	hayama-machi
JP	14321	寒川町	samukawa-machi
JP	14341	大磯町	oiso-machi
JP	14342	二宮町	ninomiya-machi
JP	14361	中井町	nakai-machi
JP	14362	大井町	oi-machi
JP	14363	松田町	matsuda-machi
JP	14364	山北町	yamakita-machi
JP	14366	開成町	kaisei-machi
JP	14382	箱根町	hakone-machi
JP	14383	真鶴町	manadhuru-machi
JP	14384	湯河原町	yugawara-machi
JP	14401	愛川町	aikawa-machi
JP	14402	清川村	kiyokawa-mura
JP	15000	新潟
JP	15100	新潟市	niigata-shi
JP	15101	新潟市北区	niigata-shi kita-ku
JP	15102	新潟市東区	niigata-shi higashi-ku
JP	15103	新潟市中央区	niigata-shi chuo-ku
JP	15104	新潟市江南区	niigata-shi konan-ku
JP	15105	新潟市秋葉区	niigata-shi akiha-ku
JP	15106	新潟市南区	niigata-shi minami-ku
JP	15107	新潟市西区	niigata-shi nishi-ku
JP	15108	新潟市西蒲区	niigata-shi nishikan-ku
JP	15202	長岡市	nagaoka-shi
JP	15204	三条市	sanjo-shi
JP	15205	柏崎市	kashiwazaki-shi
JP	15206	新発田市	shibata-shi
JP	15208	小千谷市	odhiya-shi
JP	15209	加茂市	kamo-shi
JP	15210	十日町市	tokamachi-shi
JP	15211	見附市	mitsuke-shi
JP	15212	村上市	murakami-shi
JP	15213	燕市	tsubame-shi
JP	15216	糸魚川市	itoigawa-shi
JP	15217	妙高市	myoko-shi
JP	15218	五泉市	gosen-shi
JP	15222	上越市	joetsu-shi
JP	15223	阿賀野市	agano-shi
JP	15224	佐渡市	sado-shi
JP	15225	魚沼市	uonuma-shi
JP	15226	南魚沼市	minamiuonuma-shi
JP	15227	胎内市	tainai-shi
JP	15307	聖籠町	seiro-machi
JP	15342	弥彦村	yahiko-mura
JP	15361	田上町	tagami-machi
JP	15385	阿賀町	aga-machi
JP	15405	出雲崎町	izumozaki-machi
JP	15441	川口町	kawaguchi-machi
JP	15461	湯沢町	yuzawa-machi
JP	15482	津南町	tsunan-machi
JP	15504	刈羽村	kariwa-mura
JP	15581	関川村	sekikawa-mura
JP	15586	粟島浦村	awashimaura-mura
JP	16000	富山
JP	16201	富山市	toyama-shi
JP	16202	高岡市	takaoka-shi
JP	16204	魚津市	uodhu-shi
JP	16205	氷見市	himi-shi
JP	16206	滑川市	namerikawa-shi
JP	16207	黒部市	kurobe-shi
JP	16208	砺波市	tonami-shi
JP	16209	小矢部市	oyabe-shi
JP	16210	南砺市	nanto-shi
JP	16211	射水市	imizu-shi
JP	16321	舟橋村	funahashi-mura
JP	16322	上市町	kamiichi-machi
JP	16323	立山町	tateyama-machi
JP	16342	入善町	nyuzen-machi
JP	16343	朝日町	asahi-machi
JP	17000	石川
JP	17201	金沢市	kanazawa-shi
JP	17202	七尾市	nanao-shi
JP	17203	小松市	komatsu-shi
JP	17204	輪島市	wajima-shi
JP	17205	珠洲市	suzu-shi
JP	17206	加賀市	kaga-shi
JP	17207	羽咋市	hakui-shi
JP	17209	かほく市	kahoku-shi
JP	17210	白山市	hakusan-shi
JP	17211	能美市	nomi-shi
JP	17212	野々市市	nonoichi-shi
JP	17324	川北町	kawakita-machi
JP	17344	野々市町	nonoichi-machi
JP	17361	津幡町	tsubata-machi
JP	17365	内灘町	uchinada-machi
JP	17384	志賀町	shika-machi
JP	17386	宝達志水町	hodatsushimizu-cho
JP	17407	中能登町	nakanoto-machi
JP	17461	穴水町	anamizu-machi
JP	17463	能登町	noto-cho
JP	18000	福井
JP	18201	福井市	fukui-shi
JP	18202	敦賀市	tsuruga-shi
JP	18204	小浜市	obama-shi
JP	18205	大野市	ono-shi
JP	18206	勝山市	katsuyama-shi
JP	18207	鯖江市	sabae-shi
JP	18208	あわら市	awara-shi
JP	18209	越前市	echizen-shi
JP	18210	坂井市	sakai-shi
JP	18322	永平寺町	eiheiji-cho
JP	18382	池田町	ikeda-cho
JP	18404	南越前町	minamiechizen-cho
JP	18423	越前町	echizen-cho
JP	18442	美浜町	mihama-cho
JP	18481	高浜町	takahama-cho
JP	18483	おおい町	oi-cho
JP	18501	若狭町	wakasa-cho
JP	19000	山梨
JP	19201	甲府市	kofu-shi
JP	19202	富士吉田市	fujiyoshida-shi
JP	19204	都留市	tsuru-shi
JP	19205	山梨市	yamanashi-shi
JP	19206	大月市	otsuki-shi
JP	19207	韮崎市	nirasaki-shi
JP	19208	南アルプス市	minamiarupusu-shi
JP	19209	北杜市	hokuto-shi
JP	19210	甲斐市	kai-shi
JP	19211	笛吹市	fuefuki-shi
JP	19212	上野原市	uenohara-shi
JP	19213	甲州市	koshu-shi
JP	19214	中央市	chuo-shi
JP	19346	市川三郷町	ichikawamisato-cho
JP	19361	増穂町	masuho-cho
JP	19362	鰍沢町	kajikazawa-cho
JP	19364	早川町	hayakawa-cho
JP	19365	身延町	minobu-cho
JP	19366	南部町	nanbu-cho
JP	19368	富士川町	fujikawa-cho
JP	19384	昭和町	showa-cho
JP	19422	道志村	doshi-mura
JP	19423	西桂町	nishikatsura-cho
JP	19424	忍野村	oshino-mura
JP	19425	山中湖村	yamanakako-mura
JP	19429	鳴沢村	narusawa-mura
JP	19430	富士河口湖町	fujikawaguchiko-machi
JP	19442	小菅村	kosuge-mura
JP	19443	丹波山村	tabayama-mura
JP	20000	長野
JP	20201	長野市	nagano-shi
JP	20202	松本市	matsumoto-shi
JP	20203	上田市	ueda-shi
JP	20204	岡谷市	okaya-shi
JP	20205	飯田市	iida-shi
JP	20206	諏訪市	suwa-shi
JP	20207	須坂市	suzaka-shi
JP	20208	小諸市	komoro-shi
JP	20209	伊那市	ina-shi
JP	20210	駒ヶ根市	komagane-shi
JP	20211	中野市	nakano-shi
JP	20212	大町市	omachi-shi
JP	20213	飯山市	iiyama-shi
JP	20214	茅野市	chino-shi
JP	20215	塩尻市	shiojiri-shi
JP	20217	佐久市	saku-shi
JP	20218	千曲市	chikuma-shi
JP	20219	東御市	tomi-shi
JP	20220	安曇野市	adhumino-shi
JP	20303	小海町	komi-machi
JP	20304	川上村	kawakami-mura
JP	20305	南牧村	minamimaki-mura
JP	20306	南相木村	minamiaiki-mura
JP	20307	北相木村	kitaaiki-mura
JP	20309	佐久穂町	sakuho-machi
JP	20321	軽井沢町	karuizawa-machi
JP	20323	御代田町	miyota-machi
JP	20324	立科町	tateshina-machi
JP	20349	青木村	aoki-mura
JP	20350	長和町	nagawa-machi
JP	20361	下諏訪町	shimosuwa-machi
JP	20362	富士見町	fujimi-machi
JP	20363	原村	hara-mura
JP	20382	辰野町	tatsuno-machi
JP	20383	箕輪町	minowa-machi
JP	20384	飯島町	iijima-machi
JP	20385	南箕輪村	minamiminowa-mura
JP	20386	中川村	nakagawa-mura
JP	20388	宮田村	miyada-mura
JP	20402	松川町	matsukawa-machi
JP	20403	高森町	takamori-machi
JP	20404	阿南町	anan-cho
JP	20406	清内路村	seinaiji-mura
JP	20407	阿智村	achi-mura
JP	20409	平谷村	hiraya-mura
JP	20410	根羽村	neba-mura
JP	20411	下條村	shimojo-mura
JP	20412	売木村	urugi-mura
JP	20413	天龍村	tenryu-mura
JP	20414	泰阜村	yasuoka-mura
JP	20415	喬木村	takagi-mura
JP	20416	豊丘村	toyoka-mura
JP	20417	大鹿村	oshika-mura
JP	20422	上松町	agematsu-machi
JP	20423	南木曽町	nagiso-machi
JP	20425	木祖村	kiso-mura
JP	20429	王滝村	otaki-mura
JP	20430	大桑村	okuwa-mura
JP	20432	木曽町	kiso-machi
JP	20446	麻績村	omi-mura
JP	20448	生坂村	ikusaka-mura
JP	20449	波田町	hata-machi
JP	20450	山形村	yamagata-mura
JP	20451	朝日村	asahi-mura
JP	20452	筑北村	chikuhoku-mura
JP	20481	池田町	ikeda-machi
JP	20482	松川村	matsukawa-mura
JP	20485	白馬村	hakuba-mura
JP	20486	小谷村	otari-mura
JP	20521	坂城町	sakaki-machi
JP	20541	小布施町	obuse-machi
JP	20543	高山村	takayama-mura
JP	20561	山ノ内町	yamanochi-machi
JP	20562	木島平村	kijimadaira-mura
JP	20563	野沢温泉村	nozawaonsen-mura
JP	20581	信州新町	shinshushin-machi
JP	20583	信濃町	shinano-machi
JP	20588	小川村	ogawa-mura
JP	20589	中条村	nakajo-mura
JP	20590	飯綱町	iidhuna-machi
JP	20602	栄村	sakae-mura
JP	21000	岐阜
JP	21201	岐阜市	gifu-shi
JP	21202	大垣市	ogaki-shi
JP	21203	高山市	takayama-shi
JP	21204	多治見市	tajimi-shi
JP	21205	関市	seki-shi
JP	21206	中津川市	nakatsugawa-shi
JP	21207	美濃市	mino-shi
JP	21208	瑞浪市	mizunami-shi
JP	21209	羽島市	hashima-shi
JP	21210	恵那市	ena-shi
JP	21211	美濃加茂市	minokamo-shi
JP	21212	土岐市	toki-shi
JP	21213	各務原市	kakamigahara-shi
JP	21214	可児市	kani-shi
JP	21215	山県市	yamagata-shi
JP	21216	瑞穂市	mizuho-shi
JP	21217	飛騨市	hida-shi
JP	21218	本巣市	motosu-shi
JP	21219	郡上市	gujo-shi
JP	21220	下呂市	gero-shi
JP	21221	海津市	kaidhu-shi
JP	21302	岐南町	ginan-cho
JP	21303	笠松町	kasamatsu-cho
JP	21341	養老町	yoro-cho
JP	21361	垂井町	tarui-cho
JP	21362	関ケ原町	sekigahara-cho
JP	21381	神戸町	godo-cho
JP	21382	輪之内町	wanochi-cho
JP	21383	安八町	anpachi-cho
JP	21401	揖斐川町	ibigawa-cho
JP	21403	大野町	ono-cho
JP	21404	池田町	ikeda-cho
JP	21421	北方町	kitagata-cho
JP	21501	坂祝町	sakahogi-cho
JP	21502	富加町	tomika-cho
JP	21503	川辺町	kawabe-cho
JP	21504	七宗町	hichiso-cho
JP	21505	八百津町	yaotsu-cho
JP	21506	白川町	shirakawa-cho
JP	21507	東白川村	higashishirakawa-mura
JP	21521	御嵩町	mitake-cho
JP	21604	白川村	shirakawa-mura
JP	22000	静岡
JP	22100	静岡市	shizuoka-shi
JP	22101	静岡市葵区	shizuoka-shi aoi-ku
JP	22102	静岡市駿河区	shizuoka-shi suruga-ku
JP	22103	静岡市清水区	shizuoka-shi shimizu-ku
JP	22130	浜松市	hamamatsu-shi
JP	22131	浜松市中区	hamamatsu-shi naka-ku
JP	22132	浜松市東区	hamamatsu-shi higashi-ku
JP	22133	浜松市西区	hamamatsu-shi nishi-ku
JP	22134	浜松市南区	hamamatsu-shi minami-ku
JP	22135	浜松市北区	hamamatsu-shi kita-ku
JP	22136	浜松市浜北区	hamamatsu-shi hamakita-ku
JP	22137	浜松市天竜区	hamamatsu-shi tenryu-ku
JP	22203	沼津市	numadhu-shi
JP	22205	熱海市	atami-shi
JP	22206	三島市	mishima-shi
JP	22207	富士宮市	fujinomiya-shi
JP	22208	伊東市	ito-shi
JP	22209	島田市	shimada-shi
JP	22210	富士市	fuji-shi
JP	22211	磐田市	iwata-shi
JP	22212	焼津市	yaidhu-shi
JP	22213	掛川市	kakegawa-shi
JP	22214	藤枝市	fujieda-shi
JP	22215	御殿場市	gotenba-shi
JP	22216	袋井市	fukuroi-shi
JP	22219	下田市	shimoda-shi
JP	22220	裾野市	susono-shi
JP	22221	湖西市	kosai-shi
JP	22222	伊豆市	izu-shi
JP	22223	御前崎市	omaezaki-shi
JP	22224	菊川市	kikugawa-shi
JP	22225	伊豆の国市	izunokuni-shi
JP	22226	牧之原市	makinohara-shi
JP	22301	東伊豆町	higashiizu-cho
JP	22302	河津町	kawadhu-cho
JP	22304	南伊豆町	minamiizu-cho
JP	22305	松崎町	matsuzaki-cho
JP	22306	西伊豆町	nishiizu-cho
JP	22325	函南町	kannami-cho
JP	22341	清水町	shimizu-cho
JP	22342	長泉町	nagaizumi-cho
JP	22344	小山町	oyama-cho
JP	22361	芝川町	shibakawa-cho
JP	22381	富士川町	fujikawa-cho
JP	22383	由比町	yui-cho
JP	22401	岡部町	okabe-cho
JP	22402	大井川町	oigawa-cho
JP	22424	吉田町	yoshida-cho
JP	22429	川根本町	kawanehon-cho
JP	22461	森町	mori-machi
JP	22503	新居町	arai-cho
JP	23000	愛知
JP	23100	名古屋市	nagoya-shi
JP	23101	名古屋市千種区	nagoya-shi chikusa-ku
JP	23102	名古屋市東区	nagoya-shi higashi-ku
JP	23103	名古屋市北区	nagoya-shi kita-ku
JP	23104	名古屋市西区	nagoya-shi nishi-ku
JP	23105	名古屋市中村区	nagoya-shi nakamura-ku
JP	23106	名古屋市中区	nagoya-shi naka-ku
JP	23107	名古屋市昭和区	nagoya-shi showa-ku
JP	23108	名古屋市瑞穂区	nagoya-shi mizuho-ku
JP	23109	名古屋市熱田区	nagoya-shi atsuta-ku
JP	23110	名古屋市中川区	nagoya-shi nakagawa-ku
JP	23111	名古屋市港区	nagoya-shi minato-ku
JP	23112	名古屋市南区	nagoya-shi minami-ku
JP	23113	名古屋市守山区	nagoya-shi moriyama-ku
JP	23114	名古屋市緑区	nagoya-shi midori-ku
JP	23115	名古屋市名東区	nagoya-shi meito-ku
JP	23116	名古屋市天白区	nagoya-shi tenpaku-ku
JP	23201	豊橋市	toyohashi-shi
JP	23202	岡崎市	okazaki-shi
JP	23203	一宮市	ichinomiya-shi
JP	23204	瀬戸市	seto-shi
JP	23205	半田市	handa-shi
JP	23206	春日井市	kasugai-shi
JP	23207	豊川市	toyokawa-shi
JP	23208	津島市	tsushima-shi
JP	23209	碧南市	hekinan-shi
JP	23210	刈谷市	kariya-shi
JP	23211	豊田市	toyota-shi
JP	23212	安城市	anjo-shi
JP	23213	西尾市	nishio-shi
JP	23214	蒲郡市	gamagori-shi
JP	23215	犬山市	inuyama-shi
JP	23216	常滑市	tokoname-shi
JP	23217	江南市	konan-shi
JP	23219	小牧市	komaki-shi
JP	23220	稲沢市	inazawa-shi
JP	23221	新城市	shinshiro-shi
JP	23222	東海市	tokai-shi
JP	23223	大府市	obu-shi
JP	23224	知多市	chita-shi
JP	23225	知立市	chiryu-shi
JP	23226	尾張旭市	owariasahi-shi
JP	23227	高浜市	takahama-shi
JP	23228	岩倉市	iwakura-shi
JP	23229	豊明市	toyoake-shi
JP	23230	日進市	nisshin-shi
JP	23231	田原市	tahara-shi
JP	23232	愛西市	aisai-shi
JP	23233	清須市	kiyosu-shi
JP	23234	北名古屋市	kitanagoya-shi
JP	23235	弥富市	yatomi-shi
JP	23236	みよし市	miyoshi-shi
JP	23237	あま市	ama-shi
JP	23238	長久手市	nagakute-shi
JP	23302	東郷町	togo-cho
JP	23304	長久手町	nagakute-cho
JP	23342	豊山町	toyoyama-cho
JP	23345	春日町	haruhi-cho
JP	23361	大口町	oguchi-cho
JP	23362	扶桑町	fuso-cho
JP	23421	七宝町	shippo-cho
JP	23422	美和町	miwa-cho
JP	23423	甚目寺町	jimokuji-cho
JP	23424	大治町	oharu-cho
JP	23425	蟹江町	kanie-cho
JP	23427	飛島村	tobishima-mura
JP	23441	阿久比町	agui-cho
JP	23442	東浦町	higashiura-cho
JP	23445	南知多町	minamichita-cho
JP	23446	美浜町	mihama-cho
JP	23447	武豊町	taketoyo-cho
JP	23481	一色町	isshiki-cho
JP	23482	吉良町	kira-cho
JP	23483	幡豆町	hazu-cho
JP	23501	幸田町	kota-cho
JP	23521	三好町	miyoshi-cho
JP	23561	設楽町	shitara-cho
JP	23562	東栄町	toei-cho
JP	23563	豊根村	toyone-mura
JP	23603	小坂井町	kozakai-cho
JP	24000	三重
JP	24201	津市	tsu-shi
JP	24202	四日市市	yokkaichi-shi
JP	24203	伊勢市	ise-shi
JP	24204	松阪市	matsusaka-shi
JP	24205	桑名市	kuwana-shi
JP	24207	鈴鹿市	suzuka-shi
JP	24208	名張市	nabari-shi
JP	24209	尾鷲市	owase-shi
JP	24210	亀山市	kameyama-shi
JP	24211	鳥羽市	toba-shi
JP	24212	熊野市	kumano-shi
JP	24214	いなべ市	inabe-shi
JP	24215	志摩市	shima-shi
JP	24216	伊賀市	iga-shi
JP	24303	木曽岬町	kisosaki-cho
JP	24324	東員町	toin-cho
JP	24341	菰野町	komono-cho
JP	24343	朝日町	asahi-cho
JP	24344	川越町	kawagoe-cho
JP	24441	多気町	taki-cho
JP	24442	明和町	meiwa-cho
JP	24443	大台町	odai-cho
JP	24461	玉城町	tamaki-cho
JP	24470	度会町	watarai-cho
JP	24471	大紀町	taiki-cho
JP	24472	南伊勢町	minamiise-cho
JP	24543	紀北町	kihoku-cho
JP	24561	御浜町	mihama-cho
JP	24562	紀宝町	kiho-cho
JP	25000	滋賀
JP	25201	大津市	otsu-shi
JP	25202	彦根市	hikone-shi
JP	25203	長浜市	nagahama-shi
JP	25204	近江八幡市	omihachiman-shi
JP	25206	草津市	kusatsu-shi
JP	25207	守山市	moriyama-shi
JP	25208	栗東市	ritto-shi
JP	25209	甲賀市	koka-shi
JP	25210	野洲市	yasu-shi
JP	25211	湖南市	konan-shi
JP	25212	高島市	takashima-shi
JP	25213	東近江市	higashiomi-shi
JP	25214	米原市	maibara-shi
JP	25381	安土町	adhuchi-cho
JP	25383	日野町	hino-cho
JP	25384	竜王町	ryuo-cho
JP	25425	愛荘町	aisho-cho
JP	25441	豊郷町	toyosato-cho
JP	25442	甲良町	kora-cho
JP	25443	多賀町	taga-cho
JP	25482	虎姫町	torahime-cho
JP	25483	湖北町	kohoku-cho
JP	25501	高月町	takatsuki-cho
JP	25502	木之本町	kinomoto-cho
JP	25503	余呉町	yogo-cho
JP	25504	西浅井町	nishiazai-cho
JP	26000	京都
JP	26100	京都市	kyoto-shi
JP	26101	京都市北区	kyoto-shi kita-ku
JP	26102	京都市上京区	kyoto-shi kamigyo-ku
JP	26103	京都市左京区	kyoto-shi sakyo-ku
JP	26104	京都市中京区	kyoto-shi nakagyo-ku
JP	26105	京都市東山区	kyoto-shi higashiyama-ku
JP	26106	京都市下京区	kyoto-shi shimogyo-ku
JP	26107	京都市南区	kyoto-shi minami-ku
JP	26108	京都市右京区	kyoto-shi ukyo-ku
JP	26109	京都市伏見区	kyoto-shi fushimi-ku
JP	26110	京都市山科区	kyoto-shi yamashina-ku
JP	26111	京都市西京区	kyoto-shi nishikyo-ku
JP	26201	福知山市	fukuchiyama-shi
JP	26202	舞鶴市	maidhuru-shi
JP	26203	綾部市	ayabe-shi
JP	26204	宇治市	uji-shi
JP	26205	宮津市	miyadhu-shi
JP	26206	亀岡市	kameoka-shi
JP	26207	城陽市	joyo-shi
JP	26208	向日市	muko-shi
JP	26209	長岡京市	nagaokakyo-shi
JP	26210	八幡市	yawata-shi
JP	26211	京田辺市	kyotanabe-shi
JP	26212	京丹後市	kyotango-shi
JP	26213	南丹市	nantan-shi
JP	26214	木津川市	kidhugawa-shi
JP	26303	大山崎町	oyamazaki-cho
JP	26322	久御山町	kumiyama-cho
JP	26343	井手町	ide-cho
JP	26344	宇治田原町	ujitawara-cho
JP	26364	笠置町	kasagi-cho
JP	26365	和束町	wadhuka-cho
JP	26366	精華町	seika-cho
JP	26367	南山城村	minamiyamashiro-mura
JP	26407	京丹波町	kyotanba-cho
JP	26463	伊根町	ine-cho
JP	26465	与謝野町	yosano-cho
JP	27000	大阪
JP	27100	大阪市	osaka-shi
JP	27102	大阪市都島区	osaka-shi miyakojima-ku
JP	27103	大阪市福島区	osaka-shi fukushima-ku
JP	27104	大阪市此花区	osaka-shi konohana-ku
JP	27106	大阪市西区	osaka-shi nishi-ku
JP	27107	大阪市港区	osaka-shi minato-ku
JP	27108	大阪市大正区	osaka-shi taisho-ku
JP	27109	大阪市天王寺区	osaka-shi tennoji-ku
JP	27111	大阪市浪速区	osaka-shi naniwa-ku
JP	27113	大阪市西淀川区	osaka-shi nishiyodogawa-ku
JP	27114	大阪市東淀川区	osaka-shi higashiyodogawa-ku
JP	27115	大阪市東成区	osaka-shi higashinari-ku
JP	27116	大阪市生野区	osaka-shi ikuno-ku
JP	27117	大阪市旭区	osaka-shi asahi-ku
JP	27118	大阪市城東区	osaka-shi joto-ku
JP	27119	大阪市阿倍野区	osaka-shi abeno-ku
JP	27120	大阪市住吉区	osaka-shi sumiyoshi-ku
JP	27121	大阪市東住吉区	osaka-shi higashisumiyoshi-ku
JP	27122	大阪市西成区	osaka-shi nishinari-ku
JP	27123	大阪市淀川区	osaka-shi yodogawa-ku
JP	27124	大阪市鶴見区	osaka-shi tsurumi-ku
JP	27125	大阪市住之江区	osaka-shi suminoe-ku
JP	27126	大阪市平野区	osaka-shi hirano-ku
JP	27127	大阪市北区	osaka-shi kita-ku
JP	27128	大阪市中央区	osaka-shi chuo-ku
JP	27140	堺市	sakai-shi
JP	27141	堺市堺区	sakai-shi sakai-ku
JP	27142	堺市中区	sakai-shi naka-ku
JP	27143	堺市東区	sakai-shi higashi-ku
JP	27144	堺市西区	sakai-shi nishi-ku
JP	27145	堺市南区	sakai-shi minami-ku
JP	27146	堺市北区	sakai-shi kita-ku
JP	27147	堺市美原区	sakai-shi mihara-ku
JP	27202	岸和田市	kishiwada-shi
JP	27203	豊中市	toyonaka-shi
JP	27204	池田市	ikeda-shi
JP	27205	吹田市	suita-shi
JP	27206	泉大津市	izumiotsu-shi
JP	27207	高槻市	takatsuki-shi
JP	27208	貝塚市	kaidhuka-shi
JP	27209	守口市	moriguchi-shi
JP	27210	枚方市	hirakata-shi
JP	27211	茨木市	ibaraki-shi
JP	27212	八尾市	yao-shi
JP	27213	泉佐野市	izumisano-shi
JP	27214	富田林市	tondabayashi-shi
JP	27215	寝屋川市	neyagawa-shi
JP	27216	河内長野市	kawachinagano-shi
JP	27217	松原市	matsubara-shi
JP	27218	大東市	daito-shi
JP	27219	和泉市	izumi-shi
JP	27220	箕面市	mino-shi
JP	27221	柏原市	kashiwara-shi
JP	27222	羽曳野市	habikino-shi
JP	27223	門真市	kadoma-shi
JP	27224	摂津市	settsu-shi
JP	27225	高石市	takaishi-shi
JP	27226	藤井寺市	fujiidera-shi
JP	27227	東大阪市	higashiosaka-shi
JP	27228	泉南市	sennan-shi
JP	27229	四條畷市	shijonawate-shi
JP	27230	交野市	katano-shi
JP	27231	大阪狭山市	osakasayama-shi
JP	27232	阪南市	hannan-shi
JP	27301	島本町	shimamoto-cho
JP	27321	豊能町	toyono-cho
JP	27322	能勢町	nose-cho
JP	27341	忠岡町	tadaoka-cho
JP	27361	熊取町	kumatori-cho
JP	27362	田尻町	tajiri-cho
JP	27366	岬町	misaki-cho
JP	27381	太子町	taishi-cho
JP	27382	河南町	kanan-cho
JP	27383	千早赤阪村	chihayaakasaka-mura
JP	28000	兵庫
JP	28100	神戸市	kobe-shi
JP	28101	神戸市東灘区	kobe-shi higashinada-ku
JP	28102	神戸市灘区	kobe-shi nada-ku
JP	28105	神戸市兵庫区	kobe-shi hyogo-ku
JP	28106	神戸市長田区	kobe-shi nagata-ku
JP	28107	神戸市須磨区	kobe-shi suma-ku
JP	28108	神戸市垂水区	kobe-shi tarumi-ku
JP	28109	神戸市北区	kobe-shi kita-ku
JP	28110	神戸市中央区	kobe-shi chuo-ku
JP	28111	神戸市西区	kobe-shi nishi-ku
JP	28201	姫路市	himeji-shi
JP	28202	尼崎市	amagasaki-shi
JP	28203	明石市	akashi-shi
JP	28204	西宮市	nishinomiya-shi
JP	28205	洲本市	sumoto-shi
JP	28206	芦屋市	ashiya-shi
JP	28207	伊丹市	itami-shi
JP	28208	相生市	aioi-shi
JP	28209	豊岡市	toyoka-shi
JP	28210	加古川市	kakogawa-shi
JP	28212	赤穂市	ako-shi
JP	28213	西脇市	nishiwaki-shi
JP	28214	宝塚市	takaradhuka-shi
