国コード	第二行政区画コード	日本語表記	英語表記
JP	01346	八雲町	yakumo-cho
JP	01347	長万部町	oshamanbe-cho
JP	01361	江差町	esashi-cho
JP	01362	上ノ国町	kaminokuni-cho
JP	01363	厚沢部町	assabu-cho
JP	01364	乙部町	otobe-cho
JP	01367	奥尻町	okushiri-cho
JP	01370	今金町	imakane-cho
JP	01371	せたな町	setana-cho
JP	01391	島牧村	shimamaki-mura
JP	01392	寿都町	suttsu-cho
JP	01393	黒松内町	kuromatsunai-cho
JP	01394	蘭越町	rankoshi-cho
JP	01395	ニセコ町	niseko-cho
JP	01396	真狩村	makkari-mura
JP	01397	留寿都村	rusutsu-mura
JP	01398	喜茂別町	kimobetsu-cho
JP	01399	京極町	kyogoku-cho
JP	01400	倶知安町	kucchyan-cho
JP	01401	共和町	kyowa-cho
JP	01402	岩内町	iwanai-cho
JP	01403	泊村	tomari-mura
JP	01404	神恵内村	kamoenai-mura
JP	01405	積丹町	shakotan-cho
JP	01406	古平町	furubira-cho
JP	01407	仁木町	niki-cho
JP	01408	余市町	yoichi-cho
JP	01409	赤井川村	akaigawa-mura
JP	01423	南幌町	nanporo-cho
JP	01424	奈井江町	naie-cho
JP	01425	上砂川町	kamisunagawa-cho
JP	01427	由仁町	yuni-cho
JP	01428	長沼町	naganuma-cho
JP	01429	栗山町	kuriyama-cho
JP	01430	月形町	tsukigata-cho
JP	01431	浦臼町	urausu-cho
JP	01432	新十津川町	shintotsukawa-cho
JP	01433	妹背牛町	moseushi-cho
JP	01434	秩父別町	chippubetsu-cho
JP	01436	雨竜町	uryu-cho
JP	01437	北竜町	hokuryu-cho
JP	01438	沼田町	numata-cho
JP	01439	幌加内町	horokanai-cho
JP	01452	鷹栖町	takasu-cho
JP	01453	東神楽町	higashikagura-cho
JP	01454	当麻町	toma-cho
JP	01455	比布町	pippu-cho
JP	01456	愛別町	aibetsu-cho
JP	01457	上川町	kamikawa-cho
JP	01458	東川町	higashikawa-cho
JP	01459	美瑛町	biei-cho
JP	01460	上富良野町	kamifurano-cho
JP	01461	中富良野町	nakafurano-cho
JP	01462	南富良野町	minamifurano-cho
JP	01463	占冠村	shimukappu-mura
JP	01464	和寒町	wassamu-cho
JP	01465	剣淵町	kenbuchi-cho
JP	01468	下川町	shimokawa-cho
JP	01469	美深町	bifuka-cho
JP	01470	音威子府村	otoineppu-mura
JP	01471	中川町	nakagawa-cho
JP	01472	幌加内町	horokanai-cho
JP	01481	増毛町	mashike-cho
JP	01482	小平町	obira-cho
JP	01483	苫前町	tomamae-cho
JP	01484	羽幌町	haboro-cho
JP	01485	初山別村	shosanbetsu-mura
JP	01486	遠別町	enbetsu-cho
JP	01487	天塩町	teshio-cho
JP	01488	幌延町	horonobe-cho
JP	01511	猿払村	sarufutsu-mura
JP	01512	浜頓別町	hamatonbetsu-cho
JP	01513	中頓別町	nakatonbetsu-cho
JP	01514	枝幸町	esashi-cho
JP	01516	豊富町	toyotomi-cho
JP	01517	礼文町	rebun-cho
JP	01518	利尻町	rishiri-cho
JP	01519	利尻富士町	rishirifuji-cho
JP	01520	幌延町	horonobe-cho
JP	01543	美幌町	bihoro-cho
JP	01544	津別町	tsubetsu-cho
JP	01545	斜里町	shari-cho
JP	01546	清里町	kiyosato-cho
