region_schema	region_parent	region_child	pop_2020	no_exc
admin_1	af	af-kho	813710	True
admin_1	af	af-knr	510692	True
admin_1	af	af-lag	538406	True
admin_1	af	af-log	451556	True
admin_1	af	af-nan	1770363	True
admin_1	af	af-nim	184024	True
admin_1	af	af-nur	169666	True
admin_1	af	af-par	851715	True
admin_1	af	af-pia	468649	True
admin_1	af	af-pka	632275	True
admin_1	af	af-sam	438465	True
admin_1	af	af-sar	614825	True
admin_1	af	af-tak	1172315	True
admin_1	af	af-uru	924648	True
admin_1	af	af-war	687409	True
admin_1	af	af-zab	326975	True
admin_1	ag	ag-03	5156	True
admin_1	ag	ag-04	52167	True
admin_1	ag	ag-05	4265	True
admin_1	ag	ag-06	4870	True
admin_1	ag	ag-07	2063	True
admin_1	ag	ag-08	1817	True
admin_1	ag	ag-10	1871	True
admin_1	ag	ag-11	0	True
admin_1	ai	ai-x00	3	True
admin_1	ai	ai-x01~	1097	True
admin_1	ai	ai-x02~	18	True
admin_1	ai	ai-x03~	581	True
admin_1	ai	ai-x04~	0	True
admin_1	ai	ai-x05~	734	True
admin_1	ai	ai-x06~	215	True
admin_1	ai	ai-x07~	0	True
admin_1	ai	ai-x08~	1447	True
admin_1	ai	ai-x09~	571	True
admin_1	ai	ai-x10~	1297	True
admin_1	ai	ai-x11~	2564	True
admin_1	ai	ai-x12~	234	True
admin_1	ai	ai-x13~	744	True
admin_1	ai	ai-x14~	445	True
admin_1	al	al-02	280129	True
admin_1	al	al-04	259069	True
admin_1	al	al-06	189397	True
admin_1	al	al-07	66350	True
admin_1	al	al-10	194879	True
admin_1	al	al-br	110668	True
admin_1	al	al-di	101100	True
admin_1	al	al-dr	994336	True
admin_1	al	al-el	248647	True
admin_1	al	al-gj	54251	True
admin_1	al	al-le	121165	True
admin_1	al	al-vl	166191	True
admin_1	am	am-ag	143376	True
admin_1	am	am-ar	245571	True
admin_1	am	am-av	278233	True
admin_1	am	am-er	879916	True
admin_1	am	am-gr	215345	True
admin_1	am	am-kt	357728	True
admin_1	am	am-lo	191032	True
admin_1	am	am-sh	220689	True
admin_1	am	am-su	101621	True
admin_1	am	am-tv	109946	True
admin_1	am	am-vd	47235	True
admin_1	ao	ao-bgo	514417	True
admin_1	ao	ao-bgu	1973496	True
admin_1	ao	ao-bie	1079885	True
admin_1	ao	ao-cab	1320716	True
admin_1	ao	ao-ccu	408968	True
admin_1	ao	ao-cnn	1242229	True
admin_1	ao	ao-cno	350757	True
admin_1	ao	ao-cus	1884922	True
admin_1	ao	ao-hua	1685053	True
admin_1	ao	ao-hui	3205665	True
admin_1	ao	ao-lno	884714	True
admin_1	ao	ao-lsu	510819	True
admin_1	ao	ao-lua	16565867	True
admin_1	ao	ao-mal	955042	True
admin_1	ao	ao-mox	1197385	True
admin_1	ao	ao-nam	638000	True
admin_1	ao	ao-uig	910397	True
admin_1	ao	ao-zai	784488	True
admin_1	aq	aq-x01~	0	False
admin_1	aq	aq-x02~	0	False
admin_1	ar	ar-a	1391645	True
admin_1	ar	ar-b	16254234	True
admin_1	ar	ar-c	4813566	True
admin_1	ar	ar-d	521609	True
admin_1	ar	ar-e	1347242	True
admin_1	ar	ar-f	393450	True
admin_1	ar	ar-g	954568	True
admin_1	ar	ar-h	1143459	True
admin_1	ar	ar-j	762914	True
admin_1	ar	ar-k	411365	True
admin_1	ar	ar-l	352091	True
admin_1	ar	ar-m	1937989	True
admin_1	ar	ar-n	1257918	True
admin_1	ar	ar-p	595346	True
admin_1	ar	ar-q	639244	True
admin_1	ar	ar-r	723398	True
admin_1	ar	ar-s	3407558	True
admin_1	ar	ar-t	1584702	True
admin_1	ar	ar-u	639593	True
admin_1	ar	ar-v	146117	True
admin_1	ar	ar-w	1064758	True
admin_1	ar	ar-x	3623949	True
admin_1	ar	ar-y	748386	True
admin_1	ar	ar-z	392992	True
admin_1	as	as-x01~	10860	True
admin_1	as	as-x02~	334	True
admin_1	as	as-x03~	0	True
admin_1	as	as-x04~	3	True
admin_1	as	as-x05~	30386	True
admin_1	at	at-1	301288	True
admin_1	at	at-2	558152	True
admin_1	at	at-3	1902566	True
admin_1	at	at-4	1452291	True
admin_1	at	at-5	562689	True
admin_1	at	at-6	1238972	True
admin_1	at	at-7	751435	True
admin_1	at	at-8	407760	True
admin_1	at	at-9	1653108	True
admin_1	au	au-act	378374	True
admin_1	au	au-nsw	6790919	True
admin_1	au	au-nt	194299	True
admin_1	au	au-qld	4238636	True
admin_1	au	au-sa	1559123	True
admin_1	au	au-tas	465714	True
admin_1	au	au-vic	5243641	True
admin_1	au	au-wa	2174757	True
admin_1	au	au-x02~	376	True
admin_1	au	au-x03~	0	True
admin_1	au	au-x04~	0	True
admin_1	aw	aw-x01~	101587	True
admin_1	ax	ax-x02~	10306	True
admin_1	ax	ax-x04~	808	True
admin_1	ax	ax-x06~	23	True
admin_1	ax	ax-x09~	2652	True
admin_1	ax	ax-x10~	1512	True
admin_1	ax	ax-x11~	215	True
admin_1	ax	ax-x12~	99	True
admin_1	ax	ax-x13~	25	True
admin_1	ax	ax-x14~	46	True
admin_1	ax	ax-x15~	15	True
admin_1	ax	ax-x16~	22	True
admin_1	az	az-abs	432236	True
admin_1	az	az-aga	91000	True
admin_1	az	az-agc	149541	True
admin_1	az	az-agm	195194	True
admin_1	az	az-ags	99534	True
admin_1	az	az-agu	81796	True
admin_1	az	az-ast	108134	True
admin_1	az	az-ba	2420808	True
admin_1	az	az-bab	70581	True
admin_1	az	az-bal	97360	True
admin_1	az	az-bar	174351	True
admin_1	az	az-bey	94795	True
admin_1	az	az-bil	108718	True
admin_1	az	az-cab	67703	True
admin_1	az	az-cal	230348	True
admin_1	az	az-cul	37626	True
admin_1	az	az-das	35219	True
admin_1	az	az-fuz	87314	True
admin_1	az	az-ga	241054	True
admin_1	az	az-gad	96258	True
admin_1	az	az-gor	111854	True
admin_1	az	az-goy	114619	True
admin_1	az	az-gyg	154809	True
admin_1	az	az-hac	70425	True
admin_1	az	az-imi	127937	True
admin_1	az	az-ism	88357	True
admin_1	az	az-kal	97386	True
admin_1	az	az-kan	22772	True
admin_1	az	az-kur	113572	True
admin_1	az	az-la	214145	True
admin_1	az	az-lan	78177	True
admin_1	az	az-ler	88080	True
admin_1	az	az-mas	226456	True
admin_1	az	az-mi	11933	True
admin_1	az	az-na	1454	True
admin_1	az	az-nef	89666	True
admin_1	az	az-nx	104936	True
admin_1	az	az-ogu	44158	True
admin_1	az	az-ord	32104	True
admin_1	az	az-qab	107468	True
admin_1	az	az-qax	55960	True
admin_1	az	az-qaz	88807	True
admin_1	az	az-qba	168707	True
admin_1	az	az-qbi	39708	True
admin_1	az	az-qob	43916	True
admin_1	az	az-qus	84961	True
admin_1	az	az-sa	185004	True
admin_1	az	az-sab	179478	True
admin_1	az	az-sad	13292	True
admin_1	az	az-sah	24120	True
admin_1	az	az-sal	128162	True
admin_1	az	az-sar	89891	True
admin_1	az	az-sat	104904	True
admin_1	az	az-sbn	60155	True
admin_1	az	az-siy	42895	True
admin_1	az	az-skr	214321	True
admin_1	az	az-sm	323309	True
admin_1	az	az-smi	107462	True
admin_1	az	az-smx	53817	True
admin_1	az	az-sr	89331	True
admin_1	az	az-sus	34149	True
admin_1	az	az-tar	108749	True
admin_1	az	az-tov	174952	True
admin_1	az	az-uca	85999	True
admin_1	az	az-x01~	935	True
admin_1	az	az-xa	4176	True
admin_1	az	az-xac	166754	True
admin_1	az	az-xci	80009	True
admin_1	az	az-xiz	19275	True
admin_1	az	az-xvd	47973	True
admin_1	az	az-yar	72766	True
admin_1	az	az-yev	216118	True
admin_1	az	az-zan	42568	True
admin_1	az	az-zaq	132823	True
admin_1	az	az-zar	50764	True
admin_1	ba	ba-bih	2242335	True
admin_1	ba	ba-brc	46864	True
admin_1	ba	ba-srp	62694	True
admin_1	ba	ba-x01~	150805	True
admin_1	ba	ba-x02~	501924	True
admin_1	ba	ba-x03~	127755	True
admin_1	ba	ba-x04~	106774	True
admin_1	ba	ba-x05~	45140	True
admin_1	ba	ba-x06~	39306	True
admin_1	ba	ba-x07~	52016	True
admin_1	bb	bb-01	53505	True
admin_1	bb	bb-02	3703	True
admin_1	bb	bb-03	20752	True
admin_1	bb	bb-04	35902	True
admin_1	bb	bb-05	7071	True
admin_1	bb	bb-06	5055	True
admin_1	bb	bb-07	6549	True
admin_1	bb	bb-08	69117	True
admin_1	bb	bb-09	10742	True
admin_1	bb	bb-10	33187	True
admin_1	bb	bb-11	9236	True
admin_1	bd	bd-a	7752614	True
admin_1	bd	bd-b	30640703	True
admin_1	bd	bd-c	57093598	True
admin_1	bd	bd-d	17268844	True
admin_1	bd	bd-e	21390639	True
admin_1	bd	bd-f	16671619	True
admin_1	bd	bd-g	11864503	True
admin_1	be	be-bru	1200091	True
admin_1	be	be-van	1823133	True
admin_1	be	be-vbr	1226749	True
admin_1	be	be-vli	892089	True
admin_1	be	be-vov	1511554	True
admin_1	be	be-vwv	1219696	True
admin_1	be	be-wbr	416588	True
admin_1	be	be-wht	1409481	True
admin_1	be	be-wlg	1127252	True
admin_1	be	be-wlx	289533	True
admin_1	be	be-wna	515935	True
admin_1	bf	bf-bal	313527	True
admin_1	bf	bf-bam	414176	True
admin_1	bf	bf-ban	372114	True
admin_1	bf	bf-baz	289433	True
admin_1	bf	bf-bgr	208739	True
admin_1	bf	bf-blg	802856	True
admin_1	bf	bf-blk	656036	True
admin_1	bf	bf-com	938542	True
admin_1	bf	bf-gan	443909	True
admin_1	bf	bf-gna	603610	True
admin_1	bf	bf-gou	491788	True
admin_1	bf	bf-hou	1611522	True
admin_1	bf	bf-iob	206940	True
