ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) 5G deployment / Qualitative rating 0-2, 2=best","1.3.5) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.6) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.7) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-3, 3=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,"3.2.8) Open data policies / Qualitative rating 0-2, 2=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-3, 3=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best","4.3.7) Government efforts to promote 5G / Qualitative rating 0-3, 3=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urban population / % of total population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,BG17) Internet access gender gap / Difference in percentage points,BG18) Mobile phone access gender gap / Difference in percentage points,BG19) Internet users (percent of population) / % of population,BG20) Male internet users / % of male population,BG21) Female internet users / % of female population,BG22) Male mobile phone subscribers / % of male population,BG23) Female mobile phone subscribers / % of female population,BG24) Total fixed line broadband subscribers / Number of subscriptions
GH,Ghana,35.5,0.2,130,18,14.3,32440,33360,41,8970,14650,54,18113,96.79,80,34.86,0,0,1,0.34,93,73.2,38.8,3.3,2.9,14.52,34,3702,3648,2,2,1,2,52,1,66,86,42.8,56,1,79,7.2,3,0,2,58,48,34,44,53.1,1,0,0,1,2,1,1,2,1,1,2,1,65.6,29.5,56.1,2130,43.5,4.7,84.3,1.7,19.9,1.8,6.6,41,5.3,0.5,11.36,17.76,9,12,39,50,41,84,72,58808
GR,Greece,71,37.65,115.7,8.3,3.2,6070,25810,37,14340,40740,28,115022,99.9,99.7,98.8,1,2,2,1.9,100,100,64.8,2.15,0.95,1.37,130,3617,3259,3,3,1,2,30,2,80,94,77.6,60,2,97.7,10.5,3,3,2,34,34,20,28,64,2,2,0,0,0,2,1,2,1,1,2,1,217.4,10.5,79.1,19600,36,0.8,100,8.6,72,1.9,7.3,45,6,0.8,7.68,2.85,6,3,73,72,66,93,90,3961864
GT,Guatemala,23.6,3.14,118.7,22.2,13.5,5480,11250,47,15830,18830,32,11642,100,95,40.35,0,2,2,0,91.9,93.8,46.2,3.73,8,5.99,88.8,5229,4623,2,2,2,2,36,1,50,96,37.5,38,2,79.1,6.5,3,2,0,60,38,26,22,52,1,0,0,1,1,0,0,2,1,1,2,0,78.5,17.3,51.1,4410,48.3,2.5,92.8,2.9,44,2.3,5.6,27,5.4,0.5,10.99,5.92,10,10,65,45,35,74,64,531000
HN,Honduras,26.5,3.7,79.2,20.4,3.8,7860,13310,45,12820,24920,52,48886,90.74,78.36,67.46,0,1,0,1.11,85.7,69.7,31.1,10.06,4.77,14.73,88.8,5063,3347,2,3,2,1,44,1,64,96,42.4,58,1,87.2,6.6,1,2,0,64,34,50,22,56,0,0,0,0,0,0,0,0,0,0,2,0,23.8,9,57.1,2330,50.5,6.8,78.8,4.4,35.5,2.3,5.6,29,5.1,0.4,2.99,6.44,10,3,31.7,49,39,80,77,354989
HK,Hong Kong,92.3,36.6,130,10.5,5.3,153320,157640,21,12420,34260,30,8203481,100,99,99,1,2,2,6.78,100,100,65.7,0.57,0.66,0.46,216,3000,3936,3,2,2,2,64,3,62,92,90.5,60,2,96,12,3,0,2,62,50,32,26,46.9,0,0,0,0,2,1,1,2,1,1,2,3,362.7,7.4,100,50310,53.9,0,100,0,95.3,2,6.2,76,8.3,0.7,6.53,0.77,9,5,89.4,86,77,95,90,2688949
HU,Hungary,83.3,31.72,103.4,1.3,2.2,65050,128420,16,15820,43880,27,60929,99.2,99.2,99.2,1,2,2,2.06,100,100,62.2,1.54,1.52,2.02,164,3616,2785,3,3,1,2,72,2,66,96,78.9,72,1,99,11.9,3,0,2,42,28,18,26,40.8,2,2,0,0,2,2,1,2,1,1,2,0,157.6,9.7,71.3,14590,30.4,0.3,100,0,98.7,1.5,6.6,46,6.9,0.7,7.38,2.32,1,2,76.1,78,77,93,91,3079549
IN,India,25.4,1.34,86.9,57.1,16.9,36260,38000,22,4730,11230,61,25942,97,94,94,0,2,2,0.17,99.6,91.9,49.4,0.48,4.02,4.46,19,2701,2719,3,0,2,2,56,3,74,96,57,70,2,74.4,6.5,2,3,2,74,66,28,38,80,3,1,1,1,2,3,1,2,1,1,2,3,2718.3,1352.6,34,2020,35.7,4.3,94.6,0.2,24.4,2.6,7.2,41,5.6,0.6,461.17,877.5,20,15,34.4,35,15,89,74,18170000
ID,Indonesia,66.2,3.28,119.8,8.1,5.6,12420,20350,19,10930,14460,45,43194,98.71,93.39,92.7,1,2,1,0.19,100,96.2,41.8,0.78,1.4,7.96,26,3318,6570,3,2,1,1,86,2,76,92,50.1,82,2,95.7,8,3,0,2,84,58,48,32,73.5,3,2,0,1,1,2,1,1,1,0,2,0,1042.1,262.9,55.4,3840,38.1,0.9,98.3,7,51.2,1.8,6.4,38,5.8,0.5,106.5,161.17,3,4,39.8,37,34,71,67,8781060
IR,Iran,79.6,11.99,108.5,7.4,15.1,9470,14840,45,12620,28490,36,24266,96.5,96.5,88.02,0,2,2,0.49,100,95.7,37.2,0.37,0.66,1.01,63,4655,5899,3,2,2,2,45,3,52,93,76.9,43,2,85.5,10,3,0,2,39,47,26,25,38.3,4,2,1,1,2,3,1,2,1,1,2,1,421.7,81.8,74.9,5470,40,2.3,98.9,1.3,36.3,2.5,2.4,28,3.7,0.6,57.26,24.54,5,14,70,68,63,93,79,9806123
IE,Ireland,89.1,29.68,103.2,-5.9,3.3,27370,75820,25,10340,25500,36,78786,99,95,90,2,0,2,6.23,100,100,90.4,0.51,0.56,1.15,327,3643,2256,3,3,2,2,66,3,68,92,93.3,60,2,100,12.5,3,0,2,46,46,24,32,60,4,2,1,1,2,2,1,2,1,1,0,3,382.8,4.8,63.2,59770,31.8,0.2,100,33.2,92.3,1.4,9.2,73,8.1,0.8,4.07,0.75,-5,3,84.5,85,90,91,88,1430160
IT,Italy,71.7,28.03,130,10.3,2,23160,59220,28,13090,35760,48,33968,100,100,99,2,2,2,1.81,100,100,65.5,0.92,0.43,1.73,206,3012,2638,3,3,2,2,30,3,68,96,81.6,68,2,99.2,10.2,3,2,2,50,20,16,18,62,2,1,1,0,1,2,1,2,1,1,2,2,2085.4,60.6,70.4,33540,35.4,1.4,100,5.1,88.3,1.8,7.7,52,6.6,0.8,45.1,15.53,10,2,74.4,97,87,98,96,16993703
JM,Jamaica,52.9,9.7,101,9.9,1.1,14400,30490,37,10620,29790,39,50355,100,98,73,0,2,2,3.41,100,97.8,42.3,1.49,5.38,8.81,168,5558,5357,3,0,0,2,50,2,68,92,58.2,70,2,88.5,9.8,3,2,0,78,46,26,32,54,3,2,0,1,2,0,1,2,1,1,2,0,14.8,2.9,55.7,4990,45.5,0.4,99,27.3,72.8,2,7,44,5.8,0.5,1.61,1.31,7,1,55.1,71,64,91,90,284756
JP,Japan,98.5,32.16,130,13.2,5.3,120910,103310,26,10090,33490,55,26889,99.9,99.9,99,1,2,2,0.79,100,100,71.2,0.59,1.47,0.99,424,3543,2064,3,1,2,2,16,3,60,90,87.6,80,2,100,12.8,3,4,2,26,42,22,26,38,1,0,0,1,2,3,1,2,1,1,2,3,4970.6,127.2,91.6,41340,32.1,0.2,100,3.8,98.7,1.4,8,73,7.7,0.9,107.85,19.65,10,5,84.6,76,66,94,89,40910708
KZ,Kazakhstan,87.6,13.44,130,-2.7,-2.2,41760,40000,31,12190,18760,41,55068,96.6,87.9,75.3,1,2,2,0.55,100,100,55.6,0.32,0.69,0.89,39,3393,5168,3,3,1,2,48,3,54,92,68.5,42,2,99.8,11.8,3,1,2,28,44,28,18,32,2,2,0,0,2,3,1,2,1,1,2,1,168.7,18.3,57.4,7830,27.5,0,100,0,97,1.9,2.9,31,5.4,0.8,14.45,3.86,-2,-2,78.9,73,75,89,91,2462900
KE,Kenya,33.6,0.72,96.3,21,1.1,14630,16760,43,12090,20580,44,386743,96,86,35,0,2,2,0.39,100,65.7,33,4.05,4.03,37.88,60,4903,2602,2,3,2,2,68,1,74,90,49,66,2,81.5,6.6,3,0,0,62,66,44,22,72,1,0,0,1,2,3,1,2,1,1,2,0,87.9,51.4,27,1620,40.8,11.6,75,1.4,29.8,2.3,5.1,27,4.3,0.5,8.95,41.27,13,1,17.8,62,49,87,86,371498
KW,Kuwait,100,4.76,130,1.1,0,23610,58470,23,20760,43280,25,85057,100,100,100,2,2,2,2.14,100,100,69.2,0.41,0.75,0.35,379,3378,2821,3,2,2,2,32,3,58,96,69.3,58,1,96.1,7.3,3,0,2,54,56,30,40,57.1,2,2,0,0,0,3,1,0,0,0,2,1,141.6,4.7,100,33690,35.3,0,100,8.6,84.3,1.8,3.8,41,6.3,0.7,4.12,0.02,1,0,99.6,95,94,100,100,196757
LA,Laos,24.5,0.64,51.9,-5.9,3.8,22860,22790,18,14820,25090,36,18116,94,78,43,1,0,0,1.42,98.2,93.2,23,2.49,0.64,9.24,8.4,3672,4070,3,0,1,1,38,1,42,98,35.1,62,0,84.7,5.2,2,1,2,52,38,24,52,40.8,2,2,0,0,0,0,0,1,1,0,2,0,18,7.1,35,2460,36.4,5.3,94.9,0,33.3,1.8,2.4,29,5.6,0.3,1.77,5.18,-2,3,25.5,34,36,79,76,45379
LV,Latvia,85.4,27.28,107.3,3.7,-3.2,104370,98850,16,12430,33220,26,134348,99,99,95,1,2,0,10.31,100,100,49.8,0.59,0.91,1.6,139,3356,4101,3,3,1,2,44,2,64,94,81.6,74,2,99.9,12.8,3,1,2,28,44,10,24,48,2,2,0,0,0,2,1,2,1,1,2,1,34.9,1.9,68.1,16740,34.2,0.4,100,15.5,100,1.7,7.4,58,6.4,0.7,1.61,0.32,3,-3,83.6,81,78,94,97,526002
LB,Lebanon,84.4,19.36,64.5,1.1,2.1,6640,7970,41,15960,47990,25,24384,99.5,98.4,98.2,1,2,0,4.87,100,100,40.9,3.05,0,2.55,342,5014,8925,3,1,2,2,30,3,40,96,59.4,48,1,95.1,8.7,3,2,1,46,42,24,28,30.6,2,2,0,0,0,2,0,1,1,0,2,1,56.6,6.2,88.6,7690,31.8,0,100,9.7,88.5,2.8,4.6,28,5.4,0.6,5.33,1.49,1,2,78.2,91,90,94,92,1300000
LR,Liberia,3,0.19,56.6,48.6,19.7,19280,18260,31,8280,1465,55,2983,76,63,29.86,0,0,1,2.08,16.7,5,13.3,18.16,9.68,600,33.6,5531,5849,3,0,1,2,30,1,56,98,16.7,54,1,48.3,4.7,1,2,0,54,52,30,30,58,0,0,0,0,1,1,0,2,1,1,2,0,3.3,4.8,51.2,600,35.3,13,11,2.1,5,1.9,5.4,32,5,0.3,0.38,4.33,18,12,8,37,19,61,49,9000
LT,Lithuania,78.4,28.16,130,3.8,3.2,94750,98380,15,14610,48910,26,350370,100,99.99,98,1,2,2,10.71,100,100,53.7,0.32,0.7,1.03,102,3550,3001,3,3,2,2,54,2,62,96,83.5,68,0,99.8,13,2,3,2,38,42,28,28,60,2,2,0,0,2,2,1,2,1,1,2,0,53.3,2.8,67.7,17350,37.4,0.5,100,10.7,83.7,1.7,7.5,59,6.5,0.8,2.23,0.57,3,3,79.7,79,76,94,91,788743
MG,Madagascar,8.2,0.1,40.6,22.7,22.5,40780,32070,52,8598,4058,61,5590,80,65,25,0,0,2,0.39,46,12.2,23.4,18.72,21.66,191.59,49.2,4057,5771,2,2,0,1,60,1,68,92,22,34,0,74.8,6.1,2,2,2,46,36,26,24,56,0,0,0,0,1,0,1,2,1,1,1,0,11.9,25.9,37.2,440,42.6,39,24.7,1.5,3,1.9,5.2,25,4.9,0.3,2.51,23.06,5,9,9.8,22,17,40,31,27211
MW,Malawi,11.1,0.06,39,61.5,13,7490,7740,47,8772,5478,58,3819,84,54,30,0,0,2,0.52,61.5,5.1,4.1,18.24,16.92,24.17,30.5,5022,5771,2,0,0,2,48,2,42,88,19.7,52,1,62.1,4.6,0,1,2,64,48,32,22,56,1,0,0,1,1,2,1,2,1,1,2,0,7.1,19.1,16.9,360,44.7,29.4,14.6,0,10.2,1.8,5.5,32,4.8,0.3,2.44,15.23,16,7,13.8,26,10,54,47,11373
MY,Malaysia,87,8.55,130,5.1,4.3,49140,78130,21,11940,23300,38,72051,96.3,96.3,93,1,2,2,0.63,100,100,43.3,0.89,2.35,1.15,142,2455,6533,3,2,2,2,56,3,50,96,81.9,70,1,93.7,10.2,3,2,2,72,42,40,42,62,3,2,0,1,2,3,1,2,1,1,2,3,358.6,31.5,76.1,10460,41,0,100,9.2,100,1.5,6.9,47,7.4,0.7,25.6,5.93,4,4,81.2,79,75,93,89,2696000
MX,Mexico,52.9,14.64,93,11.1,0,13570,33400,32,13160,27230,52,37654,89.64,91.35,70.91,0,2,2,0.24,100,100,59.9,1.13,1.06,2.48,83,4768,3004,3,2,2,2,50,3,66,94,47.5,62,2,95.4,8.6,3,2,2,78,32,34,28,75.5,1,0,0,1,2,0,1,2,1,1,2,3,1222.4,126.2,80.2,9180,48.3,0.7,100,0.8,53.4,2.6,6.2,28,6.6,0.7,83,43.19,7,0,65.8,63,56,73,73,18478088
MN,Mongolia,23,9.66,130,-9.9,0,36940,35410,34,15010,20250,51,22399,100,78,45,0,2,2,3.2,99.4,72.4,30.5,2.34,1.81,2.18,69.6,3012,2441,3,3,2,2,64,2,62,88,57.4,88,0,98.4,10.2,1,2,0,30,42,22,18,60,2,2,0,0,1,3,1,1,1,0,2,0,13,3.1,68.4,3580,32.3,0.1,90.9,0,82.8,1.8,6.5,37,5.6,0.6,0.74,2.38,-7,0,23.7,71,78,98,98,306150
MA,Morocco,74.2,4.31,124.2,19.7,8.8,3480,17720,50,13000,33040,35,64601,99.7,98,96,0,2,2,0.28,100,98,36.4,2.21,2.55,4.27,58,3557,9024,3,2,2,2,28,1,38,96,43.4,56,2,73.8,5.5,3,1,2,48,36,18,26,59.6,0,0,0,0,0,1,1,2,1,1,2,0,117.9,36,62.5,3090,39.5,0.2,99.2,1.1,89.1,2.1,5,43,5,0.5,23.35,12.68,12,8,64.8,61,49,91,83,1552599
MZ,Mozambique,10.8,0.24,47.7,0,10.4,6910,8010,50,10200,21690,52,16446,85,67,33,0,1,0,0.34,57,13.3,11.6,7.21,7.02,28.53,48,3468,5771,2,3,0,1,58,1,54,88,21.7,40,2,60.7,3.5,2,0,2,46,36,22,16,58,2,2,0,0,1,3,1,1,0,1,2,0,14.5,29.5,36,440,54,27.5,29,0.7,10.8,2.1,3.8,23,4.9,0.3,2.86,25.78,0,7,10,21,21,67,60,69980
MM,Myanmar,28.3,0.22,113.8,33.9,10.8,18440,18840,21,16300,22980,37,6882,95.15,94.15,75,1,2,2,0.19,82.1,25.8,35.4,0.66,1.62,13.12,37.2,3030,3773,3,1,2,2,26,2,32,100,26.8,50,0,75.6,5,2,2,2,68,54,38,56,27.1,0,0,0,0,2,3,1,2,1,1,1,1,68.2,53.7,30.6,1310,38.1,1.5,43,0.7,5,2.4,3.8,29,5.4,0.3,16.38,37.01,21,9,30.7,62,41,83,74,120733
NA,Namibia,34.6,2.53,112.7,14.1,-2.4,11470,13730,54,10460,14140,34,9744,100,53,39,0,0,0,3.88,77.8,35,46.7,2.88,3.66,9.37,54,8715,6331,3,3,1,1,38,1,74,92,45.3,46,0,91.5,6.9,3,1,0,52,52,20,22,44.4,3,1,1,1,1,1,1,2,1,1,2,0,14.5,2.6,50,5250,59.1,4.6,56.4,7.8,30.8,1.9,6.2,53,4.9,0.5,1.23,1.18,9,-2,51,64,55,82,84,61968
NL,Netherlands,96.2,42.36,120.6,3.2,4.4,55800,106990,15,16280,62860,31,119772,100,99,99,1,2,2,6.98,100,100,62.4,0.61,0.72,1.01,242,3585,3856,3,0,2,2,58,3,68,92,96.4,70,2,100,12.2,3,3,2,30,60,10,18,64,4,2,1,1,1,3,1,2,1,1,2,3,914.8,17.2,91.6,51260,28.2,0,100,5.2,100,1.5,8.9,82,8.3,0.9,16.16,0.9,3,4,94.7,95,92,91,87,7210800
NZ,New Zealand,87.8,34.72,130,2.1,2.1,67100,104830,19,16020,54380,41,166278,98,98,97,2,2,2,8.23,100,100,73.6,0.72,0.69,1.88,652.8,3533,2620,3,3,2,2,76,3,60,98,91.7,70,2,100,12.7,3,3,2,70,54,16,14,70,2,2,0,0,2,3,1,2,1,1,0,3,203.5,4.9,86.5,40820,36.2,0,100,28.8,92.2,1.2,9.3,87,8.4,0.9,4.27,0.43,2,2,90.8,95,93,96,94,1647000
NI,Nicaragua,18.6,2.98,115.1,14,-2.9,6520,12850,35,11450,20900,36,28105,91,85,42,0,2,0,0,100,95.3,26.7,5.18,7.64,15.71,84,4806,5075,2,2,2,1,46,1,54,92,25.2,54,0,82.6,6.8,2,0,2,56,36,40,22,56,0,0,0,0,0,0,0,0,0,0,2,0,13.1,6.5,58.5,2030,46.2,0.7,98,3.1,27.8,2.3,3.6,25,5.5,0.4,1.78,4.61,7,-2,27.9,50,43,70,72,192413
NG,Nigeria,7.5,0.04,88.2,22,14.5,11760,11910,63,7980,16740,52,2255,94.33,75.48,22.34,1,2,2,0.1,85.8,33.9,19.9,1.58,1.87,14.76,35,2846,2676,3,2,2,1,38,1,52,94,53.2,66,1,62,6.5,1,0,2,58,60,30,32,66,2,0,1,1,2,1,1,2,1,1,2,0,421.8,195.9,50.4,1960,43,21.8,60,0.5,18,2.9,4.4,27,4.2,0.4,80.17,110.71,9,12,42,41,32,83,71,73965
OM,Oman,88.6,8.74,130,6.8,4.3,11440,29270,35,17600,40030,35,74087,99.1,99,96.05,1,2,2,0,100,100,51.4,0.81,1.08,3.24,229,5003,4703,3,2,2,2,46,3,62,90,68.2,62,2,95.7,9.7,3,1,2,54,46,34,34,48,3,2,1,0,2,3,1,2,1,1,2,3,79.3,4.6,84.5,15110,35.3,0,100,36.9,87,2,3,52,6.4,0.7,3.74,0.92,5.4,4,80.2,79.4,74,93.5,89.3,422055
PK,Pakistan,22.1,0.85,72.6,70.6,68.2,7210,9330,48,11550,15000,43,20854,88.7,74,68.6,1,2,0,0.05,90.9,68.9,29.5,0.99,7.58,6.26,21,2758,7846,3,3,1,2,38,2,54,98,33.7,50,0,59.1,5.2,2,0,2,54,52,32,50,54.2,2,1,1,0,2,2,1,2,1,1,2,1,314.6,212.2,36.6,1580,33.5,0.5,77,0.6,20.3,3.1,4.2,33,4.4,0.4,32.25,175.66,24,58,15.5,34,10,85,27,1811365
PG,Papua New Guinea,11,0.21,47.6,10.8,9.2,7230,7240,121,8767,5440,54,41973,89,64.35,50,0,0,2,1.16,81.03,50.42,40.9,11.27,14.9,4.37,69.5,8430,4070,1,0,2,1,61.6,1,60.4,96,28.3,68.7,0,63.4,4.6,2,2,2,66,49.8,32.9,34,54,1,0,0,1,1,1,1,1,1,0,2,0,19.6,8.6,13.2,2530,41.9,14.8,54.43,22.1,18.4,2.1,6,28,6.2,0.3,0.95,7.49,6.8,8.2,11.2,62.7,55.9,89.2,81.1,18000
PY,Paraguay,24.4,4.61,107,-1.6,0,10680,33520,20,9460,14160,47,19074,98.5,97,65,0,2,0,1.45,100,98.2,43.8,3.92,2.38,5.15,101,3336,4381,3,3,2,2,58,3,68,92,50.5,54,2,94,8.4,3,1,2,48,34,34,20,58,2,2,0,0,1,2,1,2,1,1,2,0,40.6,6.9,61.6,5680,48.8,0.2,99.3,0,21.6,2.1,6.2,29,5.6,0.5,4.52,2.44,-1,0,65,64,65,87,87,320700
PE,Peru,29.8,7.35,123.8,29,12,7220,35120,33,14390,22940,40,35243,82.89,73.94,52.24,1,2,2,0.31,99.2,86.7,51.8,1.79,2.73,2.98,74,2774,5922,3,3,1,2,64,2,56,94,47.8,58,2,94.4,9.2,3,1,2,56,58,28,36,56,1,1,0,0,2,3,1,2,1,1,2,1,225.4,32.2,77.9,6530,43.3,0.9,96.4,2.2,74.2,2,6.6,35,6.4,0.6,16.81,15.18,18,10,52.5,62,44,83,73,2310217
PH,Philippines,42.7,3.23,110.1,-14,1.2,26710,25690,32,7520,17150,51,18841,95,93,80,0,2,2,0.28,95.7,95,36.3,1.84,1.95,6.52,27,5125,4428,3,2,1,2,68,2,76,98,48.6,60,2,98.2,9.4,2,1,2,54,44,34,24,56,3,2,0,1,2,3,0,2,1,1,0,3,330.5,106.7,46.9,3830,44.4,1.2,95.3,6.4,39.7,2.5,6.7,36,5.9,0.7,63.16,42.01,-7,1,60.1,50,57,84,83,3399291
PL,Poland,84.2,18.86,130,2.6,-1.1,30640,85440,23,10700,34670,34,22886,100,100,100,1,2,2,2.35,100,100,56.7,0.28,0.25,1.75,116,2471,2318,3,3,2,2,72,3,66,86,82.8,60,2,99.8,12.3,3,3,2,16,34,22,32,62,3,2,0,1,2,2,1,2,1,1,2,3,585.7,38.2,60,14150,31.8,0.2,100,0.5,100,1.7,6.7,60,7.1,0.8,29.41,8.52,2,-1,77.5,78,76,92,93,7150494
PT,Portugal,79.4,36.9,115.6,5.5,6.2,49050,103340,15,12870,38030,31,68283,99.88,99.2,99.2,1,2,2,1.94,100,100,66.9,1.12,1.02,1.56,143,3400,3287,3,3,2,2,50,3,80,98,76.8,60,2,96.1,9.2,3,2,2,46,56,18,22,73.5,3,2,1,0,2,1,1,2,1,1,2,0,240.9,10.3,65.2,21680,35.5,0.3,100,28.2,100,1.3,7.8,64,6.9,0.8,7.66,2.6,5,6,74.7,91,86,96,90,3784648
QA,Qatar,94,9.63,130,-0.3,4.3,40620,72480,9,21490,77070,25,106060,100,100,99.5,2,2,2,0,100,100,99.5,0.1,0.51,1.41,389,5308,9494,3,2,2,2,34,3,54,94,74.2,50,2,93.5,9.7,3,4,2,36,60,32,40,60,4,2,1,1,2,3,1,2,1,1,2,3,191.4,2.8,99.1,61190,35.3,0,100,25.2,100,1.7,3.2,62,6.9,0.7,2.77,0.01,-0.3,4,99.7,99.5,99.8,93.5,89.3,267906
RO,Romania,80.9,26.06,116.2,11.5,0,111570,147870,13,14560,37760,30,49885,99.96,99.96,92.56,2,2,2,2.05,100,100,78.1,0.83,0.44,0.83,90,2901,3199,3,3,1,2,64,2,72,98,74.5,70,2,98.8,11,3,2,2,54,64,26,26,66,0,0,0,0,2,2,1,2,1,1,2,1,239.6,19.5,53.9,11290,35.9,1.9,100,0.5,78.3,1.6,6.4,47,6.6,0.7,13.79,5.72,9,0,70.7,78,69,89,89,5083000
RU,Russia,76.6,22.19,130,5.2,1,67570,60730,15,10450,20380,48,68026,91,78,70,1,2,2,1.75,100,100,58.7,0.75,0.78,0.45,63,2521,2429,3,3,2,2,62,3,68,86,77.9,54,2,99.7,12,3,1,2,36,36,20,10,40,2,2,0,0,0,3,1,2,1,1,2,0,1654.2,148.8,74.4,10230,37.7,0,100,0.9,80,3.1,2.9,28,5.4,0.8,117.85,27.89,4,1,80.9,77,73,96,95,32344264
RW,Rwanda,9.3,0.06,78.9,33.3,20,16250,13890,32,4460,10160,42,8850,99.92,96.6,96.6,0,2,1,0.81,76,43.5,2.9,4.66,35.58,138.38,18,5030,3495,2,3,1,1,44,3,60,92,30.9,54,1,73.2,4.4,3,1,2,58,54,40,40,56,3,1,1,1,2,3,1,2,1,1,2,0,9.5,12.3,17.2,780,43.7,20.2,49.1,0,33.2,2,3.4,56,5.3,0.5,2.61,9.37,5,11,21.8,15,10,55,44,7501
SA,Saudi Arabia,94.5,5.64,122.6,0,3,18900,50680,31,18200,51800,40,248839,99.42,98.1,93.1,2,2,0,0.6,100,99.2,56.6,0.55,1.26,1.28,301,3949,7160,3,2,2,2,38,3,64,96,73.3,50,2,95.3,9.7,2,1,2,60,46,20,32,49,3,2,1,0,2,3,1,2,1,1,2,3,786.5,33.4,83.8,21540,45.9,0,99.9,4.8,100,2.4,1.9,49,6.3,0.7,31.45,2.25,0,3,93.3,89,89,100,97,1901306
SN,Senegal,24.2,0.82,104.5,5,10.1,6700,20360,47,9550,20230,61,4385,97.9,92.2,62,0,1,1,0.61,92.8,47.2,27.6,4.4,4.03,24,64.8,3906,9704,2,2,0,1,54,2,62,96,42.7,58,0,51.9,3.1,3,3,2,52,40,50,42,58,4,2,1,1,2,3,1,1,1,0,2,0,24.1,16.3,47.2,1410,40.3,12.8,68.7,2.5,83.2,1.9,6.2,45,5.7,0.3,7.09,8.33,2,8,46,40,38,79,71,129820
