ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) 5G deployment / Qualitative rating 0-2, 2=best","1.3.5) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.6) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.7) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-3, 3=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,"3.2.8) Open data policies / Qualitative rating 0-2, 2=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-3, 3=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best","4.3.7) Government efforts to promote 5G / Qualitative rating 0-3, 3=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urban population / % of total population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,BG17) Internet access gender gap / Difference in percentage points,BG18) Mobile phone access gender gap / Difference in percentage points,BG19) Internet users (percent of population) / % of population,BG20) Male internet users / % of male population,BG21) Female internet users / % of female population,BG22) Male mobile phone subscribers / % of male population,BG23) Female mobile phone subscribers / % of female population,BG24) Total fixed line broadband subscribers / Number of subscriptions
BG,Bulgaria,72.1,26.61,118.1,0,1.1,46070,55220,13,17670,57660,28,274776,100,100,99.71,1,2,2,7.11,100,100,32.9,3.15,1.05,1.74,92,3343,3176,3,3,2,2,68,3,78,96,78.3,62,2,98.4,11.8,3,2,2,34,34,26,16,44,3,2,1,0,2,2,1,2,1,1,2,3,65.1,7,75,8860,37.4,0.5,100,1.4,100,1.6,7,42,6.5,0.7,4.57,2.48,0,1,64.8,66,66,91,90,1876225
BF,Burkina Faso,12.9,0.07,97.9,37.5,18.5,10570,9910,111,8883,6383,53,5915,93,33,0,0,0,0,0.51,63.8,1.6,15.2,14.8,13.98,43.68,66,3833,8837,2,0,0,1,40,1,70,88,18.8,64,2,41.2,1.6,1,3,2,62,48,32,40,50,0,0,0,0,1,3,1,1,1,0,2,0,14.4,19.8,29.4,660,35.3,11.1,19.8,0,2.6,2.2,4.8,41,5.2,0.3,3.07,16.12,9,15,16,24,15,81,66,13818
BI,Burundi,0.3,0.04,56.5,40,26.8,6910,8020,37,8116,126,60,20372,53.65,44.48,20.93,0,0,0,0.89,68.5,2,0,13.31,2.73,322.22,10.8,4223,4731,3,0,0,1,56,1,62,94,9,42,0,68.4,3.1,0,0,0,36,28,24,22,44,0,0,0,0,0,3,1,1,0,1,1,0,3.1,10.9,13,280,38.6,30.4,10.6,0,0.7,2.5,2.3,17,4.5,0.3,0.29,10.54,8,11,2.7,20,12,41,30,3935
KH,Cambodia,40,1.02,119.5,32,14.8,25190,20990,15,12330,13750,44,48404,99,85.1,80.3,1,2,1,1.23,100,63.6,28.9,1.95,1.95,11.71,27.8,3460,5127,3,2,1,1,68,1,66,96,30.8,78,0,80.5,4.8,3,1,0,76,44,24,22,52,0,0,0,0,1,2,1,0,0,0,2,1,24.6,16.2,23.4,1380,37.9,2.3,72.1,1.2,6.6,2.1,3.6,20,5.8,0.4,6.5,9.75,16,12,40,50,34,81,69,166200
CM,Cameroon,21.7,0.07,69.1,11.4,7.4,6580,9920,96,8340,15160,58,2681,95.81,77.33,65.48,0,1,0,0.4,99,33.3,41.6,3.07,6.15,22.92,48,3493,3895,2,1,1,2,34,1,48,86,32,48,0,77.1,6.3,2,1,0,50,50,34,30,59.2,1,1,0,0,1,2,1,0,0,0,2,0,38.5,25.2,56.4,1440,46.6,7.6,70.4,2.4,23.1,2.5,3.3,25,5,0.4,5.7,18.87,5,6,23.2,44,39,81,75,18770
CA,Canada,91.2,38.57,89.2,2.1,6.6,50590,118620,22,15230,67570,36,74792,99.4,99.4,99,1,2,2,4.59,100,100,69.3,0.94,1.09,0.73,509,2712,1482,3,1,2,2,66,2,70,94,91.8,70,2,100,13.3,3,2,2,56,54,16,18,82,4,2,1,1,2,3,1,2,1,1,0,3,1712.2,37.1,81.4,44860,34,0.2,100,2.7,97,1.3,9.2,81,8.4,0.8,33.43,3.31,2,6,91,95,93,91,85,14299293
CL,Chile,87.5,17.37,130,1.4,-1.1,28160,87730,23,13060,19520,37,127751,99,95,88,0,2,2,1.6,100,100,65,2.53,1.39,2.92,151,2614,2720,3,3,2,2,48,3,74,98,67,56,2,96.4,10.4,3,2,2,68,54,40,32,54,3,2,0,1,2,3,1,2,1,1,2,3,298.2,18.7,87.6,14670,46.6,0.4,100,15.5,78,1.6,8,67,7.8,0.7,15.21,3.26,1,-1,82.3,74,73,91,92,3252603
CN,China,59.6,28.54,115,-7.9,-1.1,34260,101280,13,18930,58440,35,27722,99.9,99.4,99.4,2,2,0,0.05,100,100,46.5,1.36,1.03,2.18,100,4329,3194,3,3,2,2,78,2,70,96,68.8,96,2,96.8,7.9,3,1,2,84,78,24,22,88,3,2,0,1,2,2,1,1,0,1,2,3,13368,1385,57.6,9470,38.6,0.2,100,0.3,98,2.2,3.3,39,5.9,0.7,771.61,649.41,-5,-1,54.3,63,68,94,95,407382000
CO,Colombia,50,13.45,129.9,18.3,2.4,15170,27190,41,11640,18410,52,157599,100,100,98,0,2,0,0.4,99.2,85.5,49,2.58,2.48,3.97,65,3503,2494,3,2,2,2,62,3,74,88,60.5,58,2,95.1,8.3,3,2,2,62,46,26,20,62,2,1,1,0,2,3,1,2,1,1,2,3,331,49.7,80.8,6190,49.7,1.6,96.5,2.8,69.9,2.7,7,36,6.1,0.7,30.45,18.46,11,2,62.3,60,49,83,81,6678543
CI,Côte d'Ivoire,15.9,0.7,130,24.1,6.6,7430,15140,144,9880,19470,40,6163,97.12,70,55,0,2,1,0.4,99.5,31.7,32.2,5.47,21.52,26.47,52,3400,9762,2,2,1,1,30,1,48,94,31.3,46,2,47.2,5.2,0,1,2,56,44,42,36,48,0,0,0,0,0,2,1,1,1,0,2,0,43,24.9,50.8,1610,41.5,9.1,63,1.6,13.5,2.2,4.2,35,5.4,0.3,11.74,13.33,13,6,46.8,54,41,91,85,175918
