MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80049620000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1055
80046790000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1968
80002610000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1904
80046780000,89399,Unincorporated ACT,8,Australian Capital Territory,0.04
80056546300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0098
80056514800,89399,Unincorporated ACT,8,Australian Capital Territory,0.0208
80056488900,89399,Unincorporated ACT,8,Australian Capital Territory,0.0243
80056493700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0332
80056491500,89399,Unincorporated ACT,8,Australian Capital Territory,0.026
80046880000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0065
80003020000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0138
80049200000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0114
80003140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0536
80003130000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0139
80049590000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0021
80046870000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0125
80003030000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0096
80003040000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0107
80003050000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0119
80003060000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0078
80003070000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0137
80002740000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0105
80002700000,89399,Unincorporated ACT,8,Australian Capital Territory,0.009
80002720000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0083
80003080000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0111
80002730000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0037
80056494300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0302
80003170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0098
80002580000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0105
80056547000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0314
80056494700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0362
80003150000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0155
80049650000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0024
80046912000,89399,Unincorporated ACT,8,Australian Capital Territory,0.01
80046911000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0116
80002540000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0052
80002550000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0039
80002560000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0101
80046810000,89399,Unincorporated ACT,8,Australian Capital Territory,0.006
80002630000,89399,Unincorporated ACT,8,Australian Capital Territory,0.027
80002620000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0042
80002640000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0093
80002650000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0108
80056545100,89399,Unincorporated ACT,8,Australian Capital Territory,0.0088
80002880000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0127
80056531600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0083
80002900000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0061
80056531500,89399,Unincorporated ACT,8,Australian Capital Territory,0.0029
80056493800,89399,Unincorporated ACT,8,Australian Capital Territory,0.01
80049680000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80049670000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0069
80056484600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0047
80002912000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0819
80056484500,89399,Unincorporated ACT,8,Australian Capital Territory,0.0478
80003013000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0244
80003011000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0247
80002992000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0392
80056530400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0184
80003015000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0143
80002750000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0057
80056488700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0325
80056488600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0117
80056531300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0224
80056531400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0066
80002995000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0385
80056530300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0369
80003014000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0174
80003012000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0098
80002590000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0076
80002600000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0083
80002760000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0074
80056564700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0155
80056506200,89399,Unincorporated ACT,8,Australian Capital Territory,0.0329
80004140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0426
80056489900,89399,Unincorporated ACT,8,Australian Capital Territory,0.0312
80004114000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0264
80004242000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0188
80056489800,89399,Unincorporated ACT,8,Australian Capital Territory,0.065
80004112000,89399,Unincorporated ACT,8,Australian Capital Territory,0.02
80004300000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0162
80004480000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0149
80004270000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0254
80056552700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0164
80056504500,89399,Unincorporated ACT,8,Australian Capital Territory,0.0036
80004092000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0149
80004500000,89399,Unincorporated ACT,8,Australian Capital Territory,0.013
80004260000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0165
80045820000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0095
80004100000,89399,Unincorporated ACT,8,Australian Capital Territory,0.025
80004510000,89399,Unincorporated ACT,8,Australian Capital Territory,0.011
80004120000,89399,Unincorporated ACT,8,Australian Capital Territory,1.6311
80004390000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0159
80004130000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0076
80004440000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0126
80004420000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0077
80004340000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0276
80045810000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0117
80004250000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0178
80004030000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0199
80004290000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0054
80004241000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0156
80004220000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0228
80004450000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0113
80004160000,89399,Unincorporated ACT,8,Australian Capital Territory,0.011
80004093000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0492
80056504200,89399,Unincorporated ACT,8,Australian Capital Territory,0.0262
80004171000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0609
80056490200,89399,Unincorporated ACT,8,Australian Capital Territory,0.037
80004097000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0167
80056525400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0054
80056525300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0067
80056506600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0084
80056525200,89399,Unincorporated ACT,8,Australian Capital Territory,0.0227
80056525100,89399,Unincorporated ACT,8,Australian Capital Territory,0.0326
80056506700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0085
80004080000,89399,Unincorporated ACT,8,Australian Capital Territory,0.2855
80004020000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0611
80045770000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0992
80004060000,89399,Unincorporated ACT,8,Australian Capital Territory,0.9347
80056525600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0869
80055820000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0388
80004330000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1646
80056500200,89399,Unincorporated ACT,8,Australian Capital Territory,0.1193
80049210000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0535
80056505300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0138
80049230000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0102
80056500400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0221
80056505400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0338
80004230000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0389
80004070000,89399,Unincorporated ACT,8,Australian Capital Territory,0.2388
80004410000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0368
80004370000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0268
80049220000,89399,Unincorporated ACT,8,Australian Capital Territory,0.2153
