ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
BDI,1,2,29.3992981,-3.124571187,29.33621876,-3.383808535,2736.318217
BDI,1,3,29.3992981,-3.124571187,29.39679325,-3.498889562,2294.580816
BDI,1,4,29.3992981,-3.124571187,29.55467316,-3.891090639,1165.938303
BDI,1,5,29.3992981,-3.124571187,30.60373689,-3.141902612,280.2686625
BDI,1,6,29.3992981,-3.124571187,29.22911818,-2.818534579,2147.519541
BDI,1,7,29.3992981,-3.124571187,29.92222897,-3.492271133,2884.256951
BDI,1,8,29.3992981,-3.124571187,30.12023466,-3.13738127,1148.993799
BDI,1,9,29.3992981,-3.124571187,29.65892479,-3.007042901,2312.865899
BDI,1,10,29.3992981,-3.124571187,30.15750746,-2.543300473,934.4831874
BDI,1,11,29.3992981,-3.124571187,29.73568669,-4.247748085,617.1413051
BDI,1,12,29.3992981,-3.124571187,29.65185683,-3.271246646,1784.799997
BDI,1,13,29.3992981,-3.124571187,30.34732442,-2.776274752,895.3587224
BDI,1,14,29.3992981,-3.124571187,29.71529972,-3.490551131,707.5835339
BDI,1,15,29.3992981,-3.124571187,29.92458688,-2.874635151,1696.499783
BDI,1,16,29.3992981,-3.124571187,30.09493466,-3.875026852,684.0857663
BDI,1,17,29.3992981,-3.124571187,30.32277574,-3.458014953,772.2030276
BDI,2,1,29.33621876,-3.383808535,29.3992981,-3.124571187,1895.772488
BDI,2,3,29.33621876,-3.383808535,29.39679325,-3.498889562,3654.397161
BDI,2,4,29.33621876,-3.383808535,29.55467316,-3.891090639,2458.432794
BDI,2,5,29.33621876,-3.383808535,30.60373689,-3.141902612,420.5074029
BDI,2,6,29.33621876,-3.383808535,29.22911818,-2.818534579,2224.612637
BDI,2,7,29.33621876,-3.383808535,29.92222897,-3.492271133,4664.47331
BDI,2,8,29.33621876,-3.383808535,30.12023466,-3.13738127,1492.711417
BDI,2,9,29.33621876,-3.383808535,29.65892479,-3.007042901,2586.126561
BDI,2,10,29.33621876,-3.383808535,30.15750746,-2.543300473,1183.536505
BDI,2,11,29.33621876,-3.383808535,29.73568669,-4.247748085,1158.846497
BDI,2,12,29.33621876,-3.383808535,29.65185683,-3.271246646,1895.934179
BDI,2,13,29.33621876,-3.383808535,30.34732442,-2.776274752,1208.633427
BDI,2,14,29.33621876,-3.383808535,29.71529972,-3.490551131,1068.018347
BDI,2,15,29.33621876,-3.383808535,29.92458688,-2.874635151,1967.827296
BDI,2,16,29.33621876,-3.383808535,30.09493466,-3.875026852,1224.532095
BDI,2,17,29.33621876,-3.383808535,30.32277574,-3.458014953,1179.213136
BDI,3,1,29.39679325,-3.498889562,29.3992981,-3.124571187,2246.412427
BDI,3,2,29.39679325,-3.498889562,29.33621876,-3.383808535,5170.197872
BDI,3,4,29.39679325,-3.498889562,29.55467316,-3.891090639,2828.686379
BDI,3,5,29.39679325,-3.498889562,30.60373689,-3.141902612,322.995391
BDI,3,6,29.39679325,-3.498889562,29.22911818,-2.818534579,1443.158286
BDI,3,7,29.39679325,-3.498889562,29.92222897,-3.492271133,3759.929476
BDI,3,8,29.39679325,-3.498889562,30.12023466,-3.13738127,1163.397874
BDI,3,9,29.39679325,-3.498889562,29.65892479,-3.007042901,1912.461013
BDI,3,10,29.39679325,-3.498889562,30.15750746,-2.543300473,883.3127353
BDI,3,11,29.39679325,-3.498889562,29.73568669,-4.247748085,1074.387284
BDI,3,12,29.39679325,-3.498889562,29.65185683,-3.271246646,2142.397577
BDI,3,13,29.39679325,-3.498889562,30.34732442,-2.776274752,916.5940421
BDI,3,14,29.39679325,-3.498889562,29.71529972,-3.490551131,1156.909673
BDI,3,15,29.39679325,-3.498889562,29.92458688,-2.874635151,1404.533077
BDI,3,16,29.39679325,-3.498889562,30.09493466,-3.875026852,1113.975407
BDI,3,17,29.39679325,-3.498889562,30.32277574,-3.458014953,973.3038234
BDI,4,1,29.55467316,-3.891090639,29.3992981,-3.124571187,1143.283959
BDI,4,2,29.55467316,-3.891090639,29.33621876,-3.383808535,3482.259306
BDI,4,3,29.55467316,-3.891090639,29.39679325,-3.498889562,2835.376545
BDI,4,5,29.55467316,-3.891090639,30.60373689,-3.141902612,329.3430269
BDI,4,6,29.55467316,-3.891090639,29.22911818,-2.818534579,841.2681769
BDI,4,7,29.55467316,-3.891090639,29.92222897,-3.492271133,5656.09746
BDI,4,8,29.55467316,-3.891090639,30.12023466,-3.13738127,976.1991451
BDI,4,9,29.55467316,-3.891090639,29.65892479,-3.007042901,1209.412066
BDI,4,10,29.55467316,-3.891090639,30.15750746,-2.543300473,863.7887691
BDI,4,11,29.55467316,-3.891090639,29.73568669,-4.247748085,2415.933325
BDI,4,12,29.55467316,-3.891090639,29.65185683,-3.271246646,1410.126027
BDI,4,13,29.55467316,-3.891090639,30.34732442,-2.776274752,896.7662629
BDI,4,14,29.55467316,-3.891090639,29.71529972,-3.490551131,1253.392647
BDI,4,15,29.55467316,-3.891090639,29.92458688,-2.874635151,1023.741908
BDI,4,16,29.55467316,-3.891090639,30.09493466,-3.875026852,2376.108961
BDI,4,17,29.55467316,-3.891090639,30.32277574,-3.458014953,1070.355167
BDI,5,1,30.60373689,-3.141902612,29.3992981,-3.124571187,519.7174844
BDI,5,2,30.60373689,-3.141902612,29.33621876,-3.383808535,1127.342168
BDI,5,3,30.60373689,-3.141902612,29.39679325,-3.498889562,612.0179532
BDI,5,4,30.60373689,-3.141902612,29.55467316,-3.891090639,623.7193417
BDI,5,6,30.60373689,-3.141902612,29.22911818,-2.818534579,561.7175053
BDI,5,7,30.60373689,-3.141902612,29.92222897,-3.492271133,2092.417486
BDI,5,8,30.60373689,-3.141902612,30.12023466,-3.13738127,1923.704926
BDI,5,9,30.60373689,-3.141902612,29.65892479,-3.007042901,807.0725225
BDI,5,10,30.60373689,-3.141902612,30.15750746,-2.543300473,1150.636025
BDI,5,11,30.60373689,-3.141902612,29.73568669,-4.247748085,512.5170743
BDI,5,12,30.60373689,-3.141902612,29.65185683,-3.271246646,617.1342711
BDI,5,13,30.60373689,-3.141902612,30.34732442,-2.776274752,2314.786428
BDI,5,14,30.60373689,-3.141902612,29.71529972,-3.490551131,338.9659337
BDI,5,15,30.60373689,-3.141902612,29.92458688,-2.874635151,1223.501556
BDI,5,16,30.60373689,-3.141902612,30.09493466,-3.875026852,717.4749868
BDI,5,17,30.60373689,-3.141902612,30.32277574,-3.458014953,1919.784646
BDI,6,1,29.22911818,-2.818534579,29.3992981,-3.124571187,2102.224093
BDI,6,2,29.22911818,-2.818534579,29.33621876,-3.383808535,3156.937786
BDI,6,3,29.22911818,-2.818534579,29.39679325,-3.498889562,1448.76246
BDI,6,4,29.22911818,-2.818534579,29.55467316,-3.891090639,843.9630473
BDI,6,5,29.22911818,-2.818534579,30.60373689,-3.141902612,298.1569671
BDI,6,7,29.22911818,-2.818534579,29.92222897,-3.492271133,1930.771888
