ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
GMB,1,2,-16.65197669,13.44924474,-15.74009609,13.38429731,411.2261759
GMB,1,3,-16.65197669,13.44924474,-14.92807291,13.5953104,700.6330727
GMB,1,4,-16.65197669,13.44924474,-16.00793176,13.5056156,1589.128556
GMB,1,5,-16.65197669,13.44924474,-14.16682343,13.39001271,464.3167036
GMB,1,6,-16.65197669,13.44924474,-16.39297812,13.24328931,5327.230386
GMB,2,1,-15.74009609,13.38429731,-16.65197669,13.44924474,1329.86745
GMB,2,3,-15.74009609,13.38429731,-14.92807291,13.5953104,688.3460022
GMB,2,4,-15.74009609,13.38429731,-16.00793176,13.5056156,975.9926758
GMB,2,5,-15.74009609,13.38429731,-14.16682343,13.39001271,309.9540356
GMB,2,6,-15.74009609,13.38429731,-16.39297812,13.24328931,1981.193035
GMB,3,1,-14.92807291,13.5953104,-16.65197669,13.44924474,1205.967639
GMB,3,2,-14.92807291,13.5953104,-15.74009609,13.38429731,371.2642955
GMB,3,4,-14.92807291,13.5953104,-16.00793176,13.5056156,687.2247035
GMB,3,5,-14.92807291,13.5953104,-14.16682343,13.39001271,1075.707616
GMB,3,6,-14.92807291,13.5953104,-16.39297812,13.24328931,858.7399535
GMB,4,1,-16.00793176,13.5056156,-16.65197669,13.44924474,2691.505358
GMB,4,2,-16.00793176,13.5056156,-15.74009609,13.38429731,517.4264665
GMB,4,3,-16.00793176,13.5056156,-14.92807291,13.5953104,674.9697569
GMB,4,5,-16.00793176,13.5056156,-14.16682343,13.39001271,383.8969121
GMB,4,6,-16.00793176,13.5056156,-16.39297812,13.24328931,2061.576512
GMB,5,1,-14.16682343,13.39001271,-16.65197669,13.44924474,774.2943242
GMB,5,2,-14.16682343,13.39001271,-15.74009609,13.38429731,160.9424651
GMB,5,3,-14.16682343,13.39001271,-14.92807291,13.5953104,1041.04976
GMB,5,4,-14.16682343,13.39001271,-16.00793176,13.5056156,380.5731314
GMB,5,6,-14.16682343,13.39001271,-16.39297812,13.24328931,643.7355674
GMB,6,1,-16.39297812,13.24328931,-16.65197669,13.44924474,6954.727469
GMB,6,2,-16.39297812,13.24328931,-15.74009609,13.38429731,807.3178676
GMB,6,3,-16.39297812,13.24328931,-14.92807291,13.5953104,654.978009
GMB,6,4,-16.39297812,13.24328931,-16.00793176,13.5056156,1595.037606
GMB,6,5,-16.39297812,13.24328931,-14.16682343,13.39001271,510.5703445
