ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
MDG,1,2,47.42169853,-18.42098622,46.14807513,-18.58694923,2459.892083
MDG,1,3,47.42169853,-18.42098622,46.89206544,-19.05434048,4677.861607
MDG,1,4,47.42169853,-18.42098622,46.83565369,-19.72948286,7261.050487
MDG,1,5,47.42169853,-18.42098622,48.9252206,-13.34348632,411.5272536
MDG,1,6,47.42169853,-18.42098622,49.82496943,-14.31231837,513.1474448
MDG,1,7,47.42169853,-18.42098622,46.68902686,-20.49378793,1408.964992
MDG,1,8,47.42169853,-18.42098622,47.24923712,-23.29535572,472.5094041
MDG,1,9,47.42169853,-18.42098622,46.5993547,-21.44278363,885.1283842
MDG,1,10,47.42169853,-18.42098622,46.14592277,-22.51931383,195.9858254
MDG,1,11,47.42169853,-18.42098622,47.86434766,-21.34886951,1023.207807
MDG,1,12,47.42169853,-18.42098622,46.99711188,-17.22583199,1171.72275
MDG,1,13,47.42169853,-18.42098622,46.2176305,-16.27076274,1322.799766
MDG,1,14,47.42169853,-18.42098622,44.80830408,-17.71416931,393.0626537
MDG,1,15,47.42169853,-18.42098622,48.29327119,-15.34285924,852.8889511
MDG,1,16,47.42169853,-18.42098622,48.32109897,-17.92351257,4206.974356
MDG,1,17,47.42169853,-18.42098622,49.36097931,-16.3873578,1049.732957
MDG,1,18,47.42169853,-18.42098622,48.68704187,-19.10030333,3180.817197
MDG,1,19,47.42169853,-18.42098622,45.43908551,-24.82166781,355.2009228
MDG,1,20,47.42169853,-18.42098622,46.25689685,-23.98670939,398.0925088
MDG,1,21,47.42169853,-18.42098622,44.43057924,-23.05597902,609.369638
MDG,1,22,47.42169853,-18.42098622,44.89535375,-20.23062182,734.4671648
MDG,2,1,46.14807513,-18.58694923,47.42169853,-18.42098622,6280.730143
MDG,2,3,46.14807513,-18.58694923,46.89206544,-19.05434048,1723.681285
MDG,2,4,46.14807513,-18.58694923,46.83565369,-19.72948286,2895.426806
MDG,2,5,46.14807513,-18.58694923,48.9252206,-13.34348632,148.2590331
MDG,2,6,46.14807513,-18.58694923,49.82496943,-14.31231837,175.3315769
MDG,2,7,46.14807513,-18.58694923,46.68902686,-20.49378793,640.3414887
MDG,2,8,46.14807513,-18.58694923,47.24923712,-23.29535572,186.8073075
MDG,2,9,46.14807513,-18.58694923,46.5993547,-21.44278363,397.6902796
MDG,2,10,46.14807513,-18.58694923,46.14592277,-22.51931383,82.97578016
MDG,2,11,46.14807513,-18.58694923,47.86434766,-21.34886951,349.808272
MDG,2,12,46.14807513,-18.58694923,46.99711188,-17.22583199,436.5671628
MDG,2,13,46.14807513,-18.58694923,46.2176305,-16.27076274,575.2278456
MDG,2,14,46.14807513,-18.58694923,44.80830408,-17.71416931,432.398835
MDG,2,15,46.14807513,-18.58694923,48.29327119,-15.34285924,262.447134
MDG,2,16,46.14807513,-18.58694923,48.32109897,-17.92351257,656.7846168
MDG,2,17,46.14807513,-18.58694923,49.36097931,-16.3873578,252.1838681
MDG,2,18,46.14807513,-18.58694923,48.68704187,-19.10030333,713.2730733
MDG,2,19,46.14807513,-18.58694923,45.43908551,-24.82166781,142.9172713
MDG,2,20,46.14807513,-18.58694923,46.25689685,-23.98670939,161.8357249
MDG,2,21,46.14807513,-18.58694923,44.43057924,-23.05597902,266.4308105
MDG,2,22,46.14807513,-18.58694923,44.89535375,-20.23062182,885.7923271
MDG,3,1,46.89206544,-19.05434048,47.42169853,-18.42098622,11467.48746
MDG,3,2,46.89206544,-19.05434048,46.14807513,-18.58694923,1656.34779
MDG,3,4,46.89206544,-19.05434048,46.83565369,-19.72948286,6737.265918
MDG,3,5,46.89206544,-19.05434048,48.9252206,-13.34348632,171.5777411
MDG,3,6,46.89206544,-19.05434048,49.82496943,-14.31231837,207.2229354
MDG,3,7,46.89206544,-19.05434048,46.68902686,-20.49378793,891.4299032
MDG,3,8,46.89206544,-19.05434048,47.24923712,-23.29535572,245.3216925
MDG,3,9,46.89206544,-19.05434048,46.5993547,-21.44278363,676.3710924
MDG,3,10,46.89206544,-19.05434048,46.14592277,-22.51931383,109.8933004
