ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
MOZ,1,2,39.36667124,-12.45862045,32.80367204,-23.3203118,205.6267149
MOZ,1,3,39.36667124,-12.45862045,34.51464613,-22.80887901,375.6214785
MOZ,1,4,39.36667124,-12.45862045,33.42907821,-19.02047288,332.7335289
MOZ,1,5,39.36667124,-12.45862045,32.45518189,-25.53845075,729.1953606
MOZ,1,6,39.36667124,-12.45862045,39.24779415,-14.96481585,4141.979453
MOZ,1,7,39.36667124,-12.45862045,36.45962583,-13.06740794,1142.326845
MOZ,1,8,39.36667124,-12.45862045,34.67534109,-19.06197641,369.7831313
MOZ,1,9,39.36667124,-12.45862045,32.76817371,-15.51668265,359.4503729
MOZ,1,10,39.36667124,-12.45862045,36.98316268,-16.65133304,605.7871682
MOZ,2,1,32.80367204,-23.3203118,39.36667124,-12.45862045,396.3529868
MOZ,2,3,32.80367204,-23.3203118,34.51464613,-22.80887901,1983.848428
MOZ,2,4,32.80367204,-23.3203118,33.42907821,-19.02047288,551.1864661
MOZ,2,5,32.80367204,-23.3203118,32.45518189,-25.53845075,2201.415581
MOZ,2,6,32.80367204,-23.3203118,39.24779415,-14.96481585,862.9046347
MOZ,2,7,32.80367204,-23.3203118,36.45962583,-13.06740794,334.2069309
MOZ,2,8,32.80367204,-23.3203118,34.67534109,-19.06197641,405.5315621
MOZ,2,9,32.80367204,-23.3203118,32.76817371,-15.51668265,299.5365117
MOZ,2,10,32.80367204,-23.3203118,36.98316268,-16.65133304,393.3084117
MOZ,3,1,34.51464613,-22.80887901,39.36667124,-12.45862045,390.9783653
MOZ,3,2,34.51464613,-22.80887901,32.80367204,-23.3203118,1079.790499
MOZ,3,4,34.51464613,-22.80887901,33.42907821,-19.02047288,652.8758695
MOZ,3,5,34.51464613,-22.80887901,32.45518189,-25.53845075,766.9313694
MOZ,3,6,34.51464613,-22.80887901,39.24779415,-14.96481585,843.3901421
MOZ,3,7,34.51464613,-22.80887901,36.45962583,-13.06740794,335.0096387
MOZ,3,8,34.51464613,-22.80887901,34.67534109,-19.06197641,788.950592
MOZ,3,9,34.51464613,-22.80887901,32.76817371,-15.51668265,322.5592671
MOZ,3,10,34.51464613,-22.80887901,36.98316268,-16.65133304,434.5553004
MOZ,4,1,33.42907821,-19.02047288,39.36667124,-12.45862045,342.3289504
MOZ,4,2,33.42907821,-19.02047288,32.80367204,-23.3203118,295.2608546
MOZ,4,3,33.42907821,-19.02047288,34.51464613,-22.80887901,647.6156894
MOZ,4,5,33.42907821,-19.02047288,32.45518189,-25.53845075,445.6793639
MOZ,4,6,33.42907821,-19.02047288,39.24779415,-14.96481585,854.6529564
MOZ,4,7,33.42907821,-19.02047288,36.45962583,-13.06740794,322.9632924
MOZ,4,8,33.42907821,-19.02047288,34.67534109,-19.06197641,3121.299971
MOZ,4,9,33.42907821,-19.02047288,32.76817371,-15.51668265,872.7832311
MOZ,4,10,33.42907821,-19.02047288,36.98316268,-16.65133304,659.6805792
MOZ,5,1,32.45518189,-25.53845075,39.36667124,-12.45862045,674.1181371
MOZ,5,2,32.45518189,-25.53845075,32.80367204,-23.3203118,1059.480861
MOZ,5,3,32.45518189,-25.53845075,34.51464613,-22.80887901,683.5704456
MOZ,5,4,32.45518189,-25.53845075,33.42907821,-19.02047288,400.3293424
MOZ,5,6,32.45518189,-25.53845075,39.24779415,-14.96481585,1478.254422
MOZ,5,7,32.45518189,-25.53845075,36.45962583,-13.06740794,579.509372
MOZ,5,8,32.45518189,-25.53845075,34.67534109,-19.06197641,452.696223
MOZ,5,9,32.45518189,-25.53845075,32.76817371,-15.51668265,499.3829049
MOZ,5,10,32.45518189,-25.53845075,36.98316268,-16.65133304,647.5462196
MOZ,6,1,39.24779415,-14.96481585,39.36667124,-12.45862045,2252.636026
MOZ,6,2,39.24779415,-14.96481585,32.80367204,-23.3203118,244.4145283
MOZ,6,3,39.24779415,-14.96481585,34.51464613,-22.80887901,442.3717537
MOZ,6,4,39.24779415,-14.96481585,33.42907821,-19.02047288,451.72896
MOZ,6,5,39.24779415,-14.96481585,32.45518189,-25.53845075,872.9889935
MOZ,6,7,39.24779415,-14.96481585,36.45962583,-13.06740794,1289.077206
MOZ,6,8,39.24779415,-14.96481585,34.67534109,-19.06197641,550.730651
MOZ,6,9,39.24779415,-14.96481585,32.76817371,-15.51668265,525.8219401
MOZ,6,10,39.24779415,-14.96481585,36.98316268,-16.65133304,2537.333107
MOZ,7,1,36.45962583,-13.06740794,39.36667124,-12.45862045,1125.027531
MOZ,7,2,36.45962583,-13.06740794,32.80367204,-23.3203118,171.3537376
MOZ,7,3,36.45962583,-13.06740794,34.51464613,-22.80887901,318.0836428
MOZ,7,4,36.45962583,-13.06740794,33.42907821,-19.02047288,309.0009014
MOZ,7,5,36.45962583,-13.06740794,32.45518189,-25.53845075,619.5216773
MOZ,7,6,36.45962583,-13.06740794,39.24779415,-14.96481585,2342.414633
