ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
SLE,11,12,-11.20140441,7.924460079,-10.69699731,8.085100323,2826.051089
SLE,11,13,-10.94860404,8.68575927,-10.69699731,8.085100323,2122.051474
SLE,11,21,-12.16573374,9.311411395,-10.69699731,8.085100323,607.8577046
SLE,11,22,-12.80703784,9.182208197,-10.69699731,8.085100323,373.7300055
SLE,11,23,-11.34493807,9.452216933,-10.69699731,8.085100323,565.4021932
SLE,11,24,-12.7334609,8.724088455,-10.69699731,8.085100323,531.0308272
SLE,11,25,-11.8753199,8.661761656,-10.69699731,8.085100323,646.2646147
SLE,11,31,-11.71429338,7.953293659,-10.69699731,8.085100323,947.5268971
SLE,11,32,-12.27563865,7.500917649,-10.69699731,8.085100323,444.9449917
SLE,11,33,-12.42651529,8.059308743,-10.69699731,8.085100323,562.5846481
SLE,11,34,-11.56714714,7.294976809,-10.69699731,8.085100323,587.7929493
SLE,11,41,-13.08629166,8.322196506,-10.69699731,8.085100323,617.2458642
SLE,11,42,-13.24438234,8.453214824,-10.69699731,8.085100323,679.3653286
SLE,12,11,-10.69699731,8.085100323,-11.20140441,7.924460079,3324.286737
SLE,12,13,-10.94860404,8.68575927,-11.20140441,7.924460079,2498.562516
SLE,12,21,-12.16573374,9.311411395,-11.20140441,7.924460079,995.9499558
SLE,12,22,-12.80703784,9.182208197,-11.20140441,7.924460079,725.1875082
SLE,12,23,-11.34493807,9.452216933,-11.20140441,7.924460079,844.8353689
SLE,12,24,-12.7334609,8.724088455,-11.20140441,7.924460079,991.0097084
SLE,12,25,-11.8753199,8.661761656,-11.20140441,7.924460079,1735.992213
SLE,12,31,-11.71429338,7.953293659,-11.20140441,7.924460079,4146.675468
SLE,12,32,-12.27563865,7.500917649,-11.20140441,7.924460079,751.4186104
SLE,12,33,-12.42651529,8.059308743,-11.20140441,7.924460079,928.1306875
SLE,12,34,-11.56714714,7.294976809,-11.20140441,7.924460079,2269.861215
SLE,12,41,-13.08629166,8.322196506,-11.20140441,7.924460079,1307.870501
SLE,12,42,-13.24438234,8.453214824,-11.20140441,7.924460079,1473.691921
SLE,13,11,-10.69699731,8.085100323,-10.94860404,8.68575927,2219.437733
SLE,13,12,-11.20140441,7.924460079,-10.94860404,8.68575927,2222.682934
SLE,13,21,-12.16573374,9.311411395,-10.94860404,8.68575927,789.5431128
SLE,13,22,-12.80703784,9.182208197,-10.94860404,8.68575927,586.8415333
SLE,13,23,-11.34493807,9.452216933,-10.94860404,8.68575927,1419.21166
SLE,13,24,-12.7334609,8.724088455,-10.94860404,8.68575927,732.0390796
SLE,13,25,-11.8753199,8.661761656,-10.94860404,8.68575927,1437.899113
SLE,13,31,-11.71429338,7.953293659,-10.94860404,8.68575927,1032.553739
SLE,13,32,-12.27563865,7.500917649,-10.94860404,8.68575927,486.6094649
SLE,13,33,-12.42651529,8.059308743,-10.94860404,8.68575927,654.2420347
SLE,13,34,-11.56714714,7.294976809,-10.94860404,8.68575927,613.5462163
SLE,13,41,-13.08629166,8.322196506,-10.94860404,8.68575927,839.8554713
SLE,13,42,-13.24438234,8.453214824,-10.94860404,8.68575927,954.0166597
SLE,21,11,-10.69699731,8.085100323,-12.16573374,9.311411395,625.4047175
SLE,21,12,-11.20140441,7.924460079,-12.16573374,9.311411395,872.1068836
SLE,21,13,-10.94860404,8.68575927,-12.16573374,9.311411395,777.0641391
SLE,21,22,-12.80703784,9.182208197,-12.16573374,9.311411395,2071.489107
SLE,21,23,-11.34493807,9.452216933,-12.16573374,9.311411395,1493.7974
SLE,21,24,-12.7334609,8.724088455,-12.16573374,9.311411395,1863.119734
SLE,21,25,-11.8753199,8.661761656,-12.16573374,9.311411395,2012.118523
SLE,21,31,-11.71429338,7.953293659,-12.16573374,9.311411395,885.2171453
SLE,21,32,-12.27563865,7.500917649,-12.16573374,9.311411395,476.8910431
SLE,21,33,-12.42651529,8.059308743,-12.16573374,9.311411395,684.0942697
SLE,21,34,-11.56714714,7.294976809,-12.16573374,9.311411395,478.0113441
SLE,21,41,-13.08629166,8.322196506,-12.16573374,9.311411395,1137.962566
SLE,21,42,-13.24438234,8.453214824,-12.16573374,9.311411395,1435.631629
SLE,22,11,-10.69699731,8.085100323,-12.80703784,9.182208197,377.440736
SLE,22,12,-11.20140441,7.924460079,-12.80703784,9.182208197,623.2204648
SLE,22,13,-10.94860404,8.68575927,-12.80703784,9.182208197,566.8439062
SLE,22,21,-12.16573374,9.311411395,-12.80703784,9.182208197,2030.220874
SLE,22,23,-11.34493807,9.452216933,-12.80703784,9.182208197,537.0475102
SLE,22,24,-12.7334609,8.724088455,-12.80703784,9.182208197,2331.365492
SLE,22,25,-11.8753199,8.661761656,-12.80703784,9.182208197,692.6387197
SLE,22,31,-11.71429338,7.953293659,-12.80703784,9.182208197,722.6461568
SLE,22,32,-12.27563865,7.500917649,-12.80703784,9.182208197,410.0905484
SLE,22,33,-12.42651529,8.059308743,-12.80703784,9.182208197,596.7089974
SLE,22,34,-11.56714714,7.294976809,-12.80703784,9.182208197,358.3026707
SLE,22,41,-13.08629166,8.322196506,-12.80703784,9.182208197,1323.583655
SLE,22,42,-13.24438234,8.453214824,-12.80703784,9.182208197,1823.953831
SLE,23,11,-10.69699731,8.085100323,-11.34493807,9.452216933,540.3662039
SLE,23,12,-11.20140441,7.924460079,-11.34493807,9.452216933,687.1059105
